,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports
270,8143661,9429048827256,26 Nov 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8143661,8143661,,"Floor 12, 300 Queen Street, Auckland Central, Auckland, 1010
, New Zealand","Floor 12, 300 Queen Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,,,,,
271,1782758,9429034253274,09 Mar 2006,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1782758,1782758,,"3 Morepork Drive, Waikanae, Waikanae, 5036
, New Zealand","3 Morepork Drive, Waikanae, Waikanae, 5036
, New Zealand",,,,,,,,,,,,
272,5600945,9429041614549,02 Mar 2015,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5600945,5600945,,"120a Sunset Road, Unsworth Heights, Auckland, 0632
, New Zealand","120a Sunset Road, Unsworth Heights, Auckland, 0632
, New Zealand",,,,,,,,,,,,
273,586437,9429038855573,23 Apr 1993,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco586437,586437,,"26b Edendale Road, Howick
, New Zealand",,,,,,,,,,,,,
274,524104,9429039053831,25 Sep 1991,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco524104,524104,,"Level 8, 53 Fort Street, Auckland
, New Zealand","Level 8, 53 Fort Street, Auckland
, New Zealand",June,,,,,,,,,,,
275,83334,9429040567761,08 Feb 1972,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco83334,83334,,"Bdo Auckland, 122 Wairau Road, Takapuna, Auckland
, New Zealand","Bdo Auckland, 122 Wairau Road, Takapuna, Auckland
, New Zealand",,,,,,,,,,,,
276,38568,9429040774312,04 Dec 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco38568,38568,,"203 Willis Str, Wellington
, New Zealand",,,,,,,,,,,,,
277,2356439,9429031789622,01 Dec 2009,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2356439,2356439,,"411 Moray Place, Dunedin
, New Zealand","411 Moray Place, Dunedin
, New Zealand",,,,,,,,,,,,
278,956185,9429037604882,21 Apr 1999,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco956185,956185,,"BDO Invercargill, 136 Spey Street, Invercargill, 9810
, New Zealand","BDO Invercargill, 136 Spey Street, Invercargill, 9810
, New Zealand",,,,,,,,,,,,
279,3199186,9429031304184,17 Nov 2010,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3199186,3199186,,"62 Bay Road, Kilbirnie, Wellington, 6022
, New Zealand","93 Mulberry Street, Maungaraki, Lower Hutt, 5010
, New Zealand",,,,,,,,,,,,
280,2230393,9429032300833,14 Apr 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2230393,2230393,,"33 Carnaveron Drive, Lincoln, 7640
, New Zealand","33 Carnaveron Drive, Lincoln, 7640
, New Zealand",,,,,,,,,,,,
281,6264138,9429046061331,05 Apr 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6264138,6264138,,"Teegan Fortune, 80 Glue Pot Road, Rd 3, Oropi, 3173
, New Zealand","Teegan Fortune, 80 Glue Pot Road, Rd 3, Oropi, 3173
, New Zealand",,,,,,,,,,,,
282,1600165,9429034955451,10 Feb 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1600165,1600165,,"642 Beach Road, Brown, Auckland
, New Zealand","642 Beach Road, Brown, Auckland
, New Zealand",,,,,,,,,,,,
283,656356,9429038569647,23 Aug 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco656356,656356,,"75 Ghuznee Street, Level 4, Wellington
, New Zealand","75 Ghuznee Street, Level 4, Wellington
, New Zealand",,,,,,,,,,,,
284,1973197,9429033202884,06 Aug 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1973197,1973197,,"53-55 Manchester Street, Feilding 4702
, New Zealand","53-55 Manchester Street, Feilding 4702
, New Zealand",,,,,,,,,,,,
285,2514948,9429031497312,16 Jun 2010,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2514948,2514948,,"1 Leith Court, Papatoetoe, Auckland
, New Zealand","1 Leith Court, Papatoetoe, Auckland
, New Zealand",,,,,,,,,,,,
286,5464510,9429041417621,18 Sep 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5464510,5464510,,"499 Avonhead Road, Avonhead, Christchurch, 8042
, New Zealand","499 Avonhead Road, Avonhead, Christchurch, 8042
, New Zealand",,,,,,,,,,,,
287,197000,9429040053660,21 Jun 1977,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco197000,197000,,"C/o R B Lorigan, Duke St, Cambridge
, New Zealand",,,,,,,,,,,,,
288,189773,9429040103181,27 Feb 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco189773,189773,,"C/o Cowley Stanich & Co, Main Street, Huntly
, New Zealand","-
, New Zealand",,,,,,,,,,,,
289,548767,9429038980060,14 May 1992,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco548767,548767,,"Kmg Kendons, Chartered Accountants, 69 Rutherford Street, Lower Hutt
, New Zealand",,,,,,,,,,,,,
290,1283665,9429036081790,25 Mar 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1283665,1283665,,"2 A Aotea Road, New Lynn, Auckland
, New Zealand","2 A Aotea Road, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,
291,1423951,9429035713739,14 Oct 2003,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1423951,1423951,,"C/- Johnston Associates, 202 Ponsonby Rd, Ponsonby, Auckland
, New Zealand","C/- Johnston Associates, 202 Ponsonby Rd, Ponsonby, Auckland
, New Zealand",,,,,,,,,,,,
292,5591326,9429041601389,09 Feb 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5591326,5591326,,"38 Tui Street, Fendalton, Christchurch, 8041
, New Zealand","41a South Terrace, Darfield, Darfield, 7510
, New Zealand",,,,,,,,,,,,
293,823834,9429038250538,23 Aug 1996,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco823834,823834,,"32 Royal Park Drive, Christchurch
, New Zealand","32 Royal Park Drive, Christchurch
, New Zealand",,,,,,,,,,,,
294,1818926,9429034106259,16 May 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1818926,1818926,,"21 Campbell Road, Royal Oak, Auckland
, New Zealand","21 Campbell Road, Royal Oak, Auckland
, New Zealand",,,,,,,,,,,,
295,1127083,9429036952892,28 Mar 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1127083,1127083,,"Whk South, 173 Spey Street, Invercargill, 9810
, New Zealand","Whk South, 173 Spey Street, Invercargill, 9810
, New Zealand",,,,,,,,,,,,
296,1947810,9429033365107,08 Jun 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1947810,1947810,,"78 Glenmore Road, Pakuranga, Manukau 2010
, New Zealand","78 Glenmore Road, Pakuranga, Manukau 2010
, New Zealand",,,,,,,,,,,,
297,91100,9429040510910,14 May 1974,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco91100,91100,,"469 Onehunga Mall, Onehunga, Auckland, 1061
, New Zealand","469 Onehunga Mall, Onehunga, Auckland, 1061
, New Zealand",,,,,,,,,,,,
298,85810,9429040548647,29 Nov 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco85810,85810,,"57 Penzance St, Mairangi Bay
, New Zealand",,,,,,,,,,,,,
299,1261607,9429036211883,06 Dec 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1261607,1261607,,"Brophy Knight & Partners Limited, Chartered Accountants, 144 Tancred Street, Ashburton
, New Zealand","Brophy Knight & Partners Limited, Chartered Accountants, 144 Tancred Street, Ashburton
, New Zealand",,,,,,,,,,,,
300,467195,9429039227874,11 Apr 1990,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco467195,467195,,"43 Howard Road, Eastbourne, Lower Hutt
, New Zealand","43 Howard Road, Eastbourne, Lower Hutt
, New Zealand",,,,,,,,,,,,
301,94398,9429040490465,12 May 1975,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco94398,94398,,"Pricewaterhousecoopers, Level 8, Pricewaterhousecoopers Tower, 188 Quay Street, Auckland
, New Zealand","Pricewaterhousecoopers, Level 8, Pricewaterhousecoopers Tower, 188 Quay Street, Auckland
, New Zealand",,,,,,,,,,,,
302,164306,9429040211886,28 Mar 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco164306,164306,,"Pricewaterhousecoopers, Chartered Accountants, Cnr Raffles & Bower Streets, Napier
, New Zealand","Pricewaterhousecoorpers, Chartered Accountants, Cnr Raffles & Bower Streets, Napier
, New Zealand",,,,,,,,,,,,
303,3724018,9429030794474,13 Feb 2012,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3724018,3724018,,"1/7 Castleton Drive, Howick, Auckland, 2014
, New Zealand","62 Mt Roskill Road, Mt Roskill, Auckland, 1041
, New Zealand",,,,,,,,,,,,
304,1536650,9429035275039,21 Jul 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1536650,1536650,,"39 William Street, Petone
, New Zealand","39 William Street, Petone
, New Zealand",,,,,,,,,,,,
305,5976009,9429042320630,27 Apr 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5976009,5976009,,"65 Rosamund Avenue, New Windsor, Auckland, 0600
, New Zealand","65 Rosamund Avenue, New Windsor, Auckland, 0600
, New Zealand",,,,,,,,,,,,
306,16045,9429040918686,18 Mar 1964,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco16045,16045,,"C/- Bell Gully Buddie Weir, Solicitors, Level 12, Auckland Club Tower, 34, Shortland Str Auckland
, New Zealand","C/- Bell Gully Buddie Weir, Solicitors, Level 12, Auckland Club Tower, 34, Shortland Str Auckland
, New Zealand",,,,,,,,,,,,
307,1300824,9429035998013,09 May 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1300824,1300824,,"C/o Johnston O'shea Ltd, Third Floor, 4 Vinery Lane, Whangarei
, New Zealand","C/o Johnston O'shea Ltd, Third Floor, 4 Vinery Lane, Whangarei
, New Zealand",,,,,,,,,,,,
308,51570,9429040719450,10 Aug 1954,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco51570,51570,,"922 Great South Road, Penrose, Auckland
, New Zealand",,,,,,,,,,,,,
309,6126787,9429043360819,06 Oct 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6126787,6126787,,"36 Baverstock Road, Flat Bush, Auckland, 2016
, New Zealand","36 Baverstock Road, Flat Bush, Auckland, 2016
, New Zealand",,,,,,,,,,,,
310,1823844,9429034083895,31 May 2006,Removed,NZ Limited Company,Yes,DELOITTE LIMITED,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1823844,1823844,,"Deloitte, 80 Queen Street, Auckland Central, Auckland, 1010
, New Zealand","Deloitte, 80 Queen Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,,,,,
311,1477169,9429035572459,23 Jan 2004,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1477169,1477169,,"7 View Road, Mount Eden, Auckland, 1024
, New Zealand","7 View Road, Mount Eden, Auckland, 1024
, New Zealand",,,,,,,,,,,,
312,112273,9429032121827,09 Sep 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco112273,112273,,"Haranui Road, Hellensville
, New Zealand",,,,,,,,,,,,,
313,90911,9429040512020,26 Apr 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco90911,90911,,"C/- B D O Spicers, Homestead Road, Kerikeri
, New Zealand","C/- B D O Spicers, Homestead Road, Kerikeri
, New Zealand",,,,,,,,,,,,
314,3711647,9429030814943,24 Jan 2012,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3711647,3711647,,"116 Hine Street, New Plymouth, New Plymouth, 4310
, New Zealand","WHITELAW WEBER LIMITED, 116 Hine Street, New Plymouth, New Plymouth, 4310
, New Zealand",,,,,,,,,,,,
315,27850,9429040854571,18 Jun 1973,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco27850,27850,,"275 Broadway Ave, Palmerston North
, New Zealand","275 Broadway Ave, Palmerston North
, New Zealand",,,,,,,,,,,,
316,1538624,9429035264767,23 Jul 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1538624,1538624,,"17e Greenmount Drive, East Tamaki, Auckland
, New Zealand","17e Greenmount Drive, East Tamaki, Auckland
, New Zealand",,,,,,,,,,,,
317,107963,9429032255515,26 Mar 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco107963,107963,,"Level 13, Tower 2, Shortland St Shortland Centre, Auckland
, New Zealand",,,,,,,,,,,,,
318,3463632,9429031027366,08 Jul 2011,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3463632,3463632,,"6a Baldwin Street, Moera, Lower Hutt, 5010
, New Zealand","6a Baldwin Street, Moera, Lower Hutt, 5010
, New Zealand",,,,,,,,,,,,
319,84457,9429040557304,22 Jun 1972,Removed,NZ Limited Company,No,Not specified,Showing 2 of 10 directors,httpsapp.companiesoffice.govt.nzco84457,84457,,"Deloitte Touche Tohmatsau, Anchor House, 80 London Street, Hamilton
, New Zealand",,,,,,,,,,,,,
320,1622296,9429034829615,11 Apr 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1622296,1622296,,"C/-porirua Chartered Accountants Ltd, Level 1, 22 Prosser Streeet, Porirua
, New Zealand","C/-porirua Chartered Accountants Ltd, Level 1, 22 Prosser Street, Porirua
, New Zealand",,,,,,,,,,,,
321,811518,9429038306440,24 May 1996,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco811518,811518,,"3/492 Moorhouse Avenue, Christchurch
, New Zealand","3/492 Moorhouse Avenue, Christchurch
, New Zealand",,,,,,,,,,,,
322,21987,9429040890258,01 Apr 1969,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco21987,21987,,"110 Matatua Road, Raumati
, New Zealand","110 Matatua Road, Raumati
, New Zealand",,,,,,,,,,,,
323,973555,9429037510909,09 Aug 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco973555,973555,,"C/- Mervyn Earl Dfk, Chartered Accountant, 159 Gloucester St., Christchurch
, New Zealand","C/- Mervyn Earl Dfk, Chartered Accountant, 95a Totara St., Christchurch
, New Zealand",,,,,,,,,,,,
324,7763057,9429047721005,04 Oct 2019,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7763057,7763057,,"Derek Taylor, 50 Waiwarawara Drive, Ruakaka, 0171
, New Zealand","Derek Taylor, 50 Waiwarawara Drive, Ruakaka, 0171
, New Zealand",,,,,,,,,,,,
325,5871819,9429042135159,08 Jan 2016,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5871819,5871819,,"70 Coachman Drive, Flat Bush, Auckland, 2016
, New Zealand","70 Coachman Drive, Flat Bush, Auckland, 2016
, New Zealand",,,,,,,,,,,,
326,1968925,9429033228570,23 Jul 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1968925,1968925,,"C/-turner Hopkins, Solicitors, 400 Lake Road, Takapuna, Auckland
, New Zealand","C/-turner Hopkins, Solicitors, 400 Lake Road, Takapuna, Auckland
, New Zealand",,,,,,,,,,,,
327,148268,9429040299372,25 Jun 1971,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco148268,148268,,"C/o Hutchison Hull & Co, 9-11 Bond St, Dunedin
, New Zealand",,,,,,,,,,,,,
328,84096,9429040564418,11 May 1972,Removed,NZ Limited Company,No,Not specified,Showing 2 of 6 directors,httpsapp.companiesoffice.govt.nzco84096,84096,,"Augustus Hse, 15 Augustus Tce Box 3744, Parnell, Auckland 1
, New Zealand",,,,,,,,,,,,,
329,98459,9429040453590,09 Jul 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco98459,98459,,"11 Gamma St Roslyn, Dunedin
, New Zealand",,,,,,,,,,,,,
330,6069309,9429042487395,17 Aug 2016,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6069309,6069309,,"721 Kahikatea Flat Road, Rd 1, Waitoki, 0871
, New Zealand","721 Kahikatea Flat Road, Rd 1, Waitoki, 0871
, New Zealand",,,,,,,,,,,,
331,6563923,9429046474049,21 Nov 2017,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6563923,6563923,,"8b Boulton Place, Cambridge, Cambridge, 3434
, New Zealand","8b Boulton Place, Cambridge, Cambridge, 3434
, New Zealand",,,,,,,,,,,,
332,4576279,9429030114487,05 Aug 2013,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4576279,4576279,,"8 Wiremu Street, Mount Eden, Auckland, 1041
, New Zealand","8 Wiremu Street, Mount Eden, Auckland, 1041
, New Zealand",,,,,,,,,,,,
333,1187330,9429036632381,12 Feb 2002,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1187330,1187330,,"Milnes Beatson Ltd, 29 Wallace Street, Motueka, 7120
, New Zealand","Milnes Beatson Ltd, 29 Wallace Street, Motueka, 7120
, New Zealand",,,,,,,,,,,,
334,109388,9429032164145,12 Sep 1980,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco109388,109388,,"51 Paunui St, St Heliers 5
, New Zealand",,,,,,,,,,,,,
335,186029,9429040124339,28 Aug 1963,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco186029,186029,,"C- Peter R Henderson, 19 Manuaute Street, Taumaranui
, New Zealand","C- Peter R Henderson, 19 Manuaute Street, Taumaranui
, New Zealand",,,,,,,,,,,,
336,198113,9429040046815,02 Mar 1979,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco198113,198113,,"41 Commodore Drive,, Lynfield,, Auckland.
, New Zealand",,,,,,,,,,,,,
337,1531262,9429035301875,30 Jun 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1531262,1531262,,"Mcculloch & Partners, Level 2, 11-17 Church Street, Queenstown, 9300
, New Zealand","Mcculloch & Partners, Level 2, 11-17 Church Street, Queenstown, 9300
, New Zealand",,,,,,,,,,,,
338,1258862,9429036228652,22 Nov 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1258862,1258862,,"7 Seaview Road, Glenfield, Auckland
, New Zealand","7 Seaview Road, Glenfield, Auckland
, New Zealand",,,,,,,,,,,,
339,1732513,9429034418918,15 Dec 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1732513,1732513,,"1/52 Felton Mathew Avenue, St Johns, Auckland
, New Zealand","1/52 Felton Mathew Avenue, St Johns, Auckland
, New Zealand",,,,,,,,,,,,
340,1787691,9429034243510,16 Mar 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1787691,1787691,,"111 Avenue Road East, Hastings
, New Zealand","111 Avenue Road East, Hastings
, New Zealand",,,,,,,,,,,,
341,1015569,9429037363451,18 Feb 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1015569,1015569,,"Ashton Wheelans & Hegan, 4th Floor, 127 Armagh Street, Christchurch
, New Zealand","Ashton Wheelans & Hegan, 4th Floor, 127 Armagh Street, Christchurch
, New Zealand",,,,,,,,,,,,
342,27844,9429040857879,15 Jun 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco27844,27844,,"68 Ingestre Street, Wanganui
, New Zealand",,,,,,,,,,,,,
343,1754470,9429034359884,05 Jan 2006,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1754470,1754470,,"113 Hinewa Road, Otumoetai, Tauranga, 3110
, New Zealand","40 Karaka Road, Otumoetai, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
344,1908126,9429033613710,28 Feb 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco1908126,1908126,,"C/-franchise Shop, Level 3 205 Great South Road, Greenlane, Auckalnd
, New Zealand","C/-franchise Shop, Level 3 205 Great South Road, Greenlane, Auckalnd
, New Zealand",,,,,,,,,,,,
345,14086,9429040927053,08 Dec 1961,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco14086,14086,,"C/o Classi Chassis Ltd, 112 Lambton Quay, Wellington
, New Zealand",,,,,,,,,,,,,
346,119382,9429032012774,09 Apr 1970,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco119382,119382,,"59 High Street, Blenheim, 7201
, New Zealand","Peters Doig Limited, Chartered Accountants, 59 High Street, Blenheim, 7201
, New Zealand",,,,,,,,,,,,
347,1965245,9429033249438,27 Jul 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1965245,1965245,,"C/o Gilligan Rowe & Associates Limited, Level 6/135 Broadway, Newmarket, Auckland
, New Zealand","C/o Gilligan Rowe & Associates Limited, Level 6/135 Broadway, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,
348,6067947,9429042485179,27 Jul 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6067947,6067947,,"344 Great South Road, Hunters Corner, Auckland, 2155
, New Zealand","344 Great South Road, Hunters Corner, Auckland, 2155
, New Zealand",,,,,,,,,,,,
349,101535,9429040432007,01 Sep 1977,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco101535,101535,,"31 Cliff Rd, St Heliers
, New Zealand",,,,,,,,,,,,,
350,90028,9429040520735,24 Jan 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco90028,90028,,"4th Floor, 3 Osterley Way, Manukau City
, New Zealand",,,,,,,,,,,,,
351,1556657,9429035179894,24 Sep 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1556657,1556657,,"Suite 6, Professional Suites, 9 Lynden Court, Chartwell Hamilton
, New Zealand","Suite 6, Professional Suites, 9 Lynden Court, Chartwell Hamilton
, New Zealand",,,,,,,,,,,,
352,95053,9429040480589,17 Jul 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco95053,95053,,"116 Riddell Rd, Glendowie, Auckland 5
, New Zealand",,,,,,,,,,,,,
353,5673127,9429041699188,10 Apr 2015,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5673127,5673127,,"MANNING WARNER BROWNE LIMITED, 141 Cameron Road, Tauranga, 3110
, New Zealand","MANNING WARNER BROWNE LIMITED, 141 Cameron Road, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
354,6067068,9429042484295,04 Aug 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6067068,6067068,,"Rodney Francis, 110 Kitchener Road, Milford, Auckland, 0620
, New Zealand","Rodney Francis, 110 Kitchener Road, Milford, Auckland, 0620
, New Zealand",,,,,,,,,,,,
355,4003398,9429030518650,12 Sep 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4003398,4003398,,"138 Carlton Street, Bellevue, Tauranga, 3110
, New Zealand","138 Carlton Street, Bellevue, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
356,449435,9429039278609,13 Oct 1989,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco449435,449435,,"Robert Kale & Associates Ltd, 213e Queen St, Hastings
, New Zealand","Robert Kale & Associates Limited, 213 E Queen Street, Hastings
, New Zealand",,,,,,,,,,,,
357,1898969,9429033671093,10 Jan 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1898969,1898969,,"180 Barrack Road, Mount Wellington, Auckland, 1060
, New Zealand","180 Barrack Road, Mount Wellington, Auckland, 1060
, New Zealand",,,,,,,,,,,,
358,5711007,9429041771693,03 Jun 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5711007,5711007,,"207 New Windsor Road, New Windsor, Auckland, 0600
, New Zealand","207 New Windsor Road, New Windsor, Auckland, 0600
, New Zealand",,,,,,,,,,,,
359,974391,9429037509026,12 Aug 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco974391,974391,,"C/-pricewaterhousecoopers, Level 16, 113 -119 The Terrace, Wellington
, New Zealand","C/-pricewaterhousecoopers, Level 16, 113 -119 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,
