,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,ACN Number:,FRA Reporting Month:,Reports
277,6201369,9429045891441,23 Dec 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6201369,6201369,,"A Sharrock, 20 Omata Road, Westown, New Plymouth, 4310
, New Zealand","A Sharrock, 20 Omata Road, Westown, New Plymouth, 4310
, New Zealand",,,,,,,,,,,,
278,7940016,9429048100489,16 Apr 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7940016,7940016,,"11 Cognac Place, Henderson, Auckland, 0612
, New Zealand","11 Cognac Place, Henderson, Auckland, 0612
, New Zealand",,,,,,,,,,,,
279,2101957,9429032874655,10 Mar 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2101957,2101957,,"21 Ladbrooke Drive, Newlands, Wellington, 6037
, New Zealand","21 Ladbrooke Drive, Newlands, Wellington, 6037
, New Zealand",,,,,,,,,,,,
280,2309385,9429031989350,26 Aug 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2309385,2309385,,"6 Halifax Avenue, Epsom, Auckland
, New Zealand","6 Halifax Avenue, Epsom, Auckland
, New Zealand",,,,,,,,,,,,
281,6780097,9429046679567,26 Mar 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6780097,6780097,,"14 Waiarohia Place, Hobsonville, Auckland, 0616
, New Zealand","14 Waiarohia Place, Hobsonville, Auckland, 0616
, New Zealand",,,,,,,,,,,,
282,524751,9429039051790,30 Sep 1991,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco524751,524751,,"14 Ruapehu Street, Taupo
, New Zealand","14 Ruapehu Street, Taupo
, New Zealand",,,,,,,,,,,,
283,941319,9429037684020,19 Jan 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco941319,941319,,"52 Mcalpine Road, Hawera
, New Zealand","Staples Rodway, 109-113 Powderham Street, New Plymouth
, New Zealand",,,,,,,,,,,,
284,860199,9429038073670,09 Jun 1997,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco860199,860199,,"52 Grove Road, Mayfield, Blenheim, 7201
, New Zealand","27 Inkerman Street, Renwick, Renwick, 7204
, New Zealand",,,,,,,,,,,,
285,4086138,9429030459427,31 Oct 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4086138,4086138,,"Moore Stephens Markhams Hawkes Bay Limited, Business Hq, 308 Queen Street East, Hastings, 4122
, New Zealand","Moore Stephens Markhams Hawkes Bay Limited, Business Hq, 308 Queen Street East, Hastings, 4122
, New Zealand",,,,,,,,,,,,
286,6480,9429040958606,24 Nov 1949,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco6480,6480,,"C/o Colbert Cooper & Company, Antcliffs Building, 275a Oxford Street, Levin
, New Zealand",,,,,,,,,,,,,
287,39394,9429040766270,13 Jul 1982,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco39394,39394,,"345 Broadway Ave, Palmerston North
, New Zealand",,,,,,,,,,,,,
288,666278,9429038525575,08 Jan 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco666278,666278,,"Treadwell Stacey Smith, Mezzanine Floor, 6 Panama Street, Wellington
, New Zealand","Treadwell Stacey Smith, Mezzanine Floor, 6 Panama Street, Wellington
, New Zealand",,,,,,,,,,,,
289,8181993,9429049269277,27 Apr 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8181993,8181993,,"K CHILDS, 2 Oxley Avenue, St Albans, Christchurch, 8014
, New Zealand","K CHILDS, 2 Oxley Avenue, St Albans, Christchurch, 8014
, New Zealand",,,,,,,,,,,,
290,8321401,9429050382040,11 Mar 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8321401,8321401,,"John Hapi, 1 Matilda Way, Bellevue, Tauranga, 3110
, New Zealand","John Hapi, 1 Matilda Way, Bellevue, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
291,62611,9429040678092,23 Feb 1962,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco62611,62611,,"228-232 Orakei Rd, Auckland 5
, New Zealand",,,,,,,,,,,,,
292,845564,9429038144608,25 Feb 1997,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco845564,845564,,"788 Dominion Road, Auckland
, New Zealand","788 Dominion Road, Auckland
, New Zealand",,,,,,,,,,,,
293,434148,9429039324863,19 May 1989,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco434148,434148,,"Gardiner Knobloch Ltd, Chartered Accountants, Wilket House, Shakespeare Road,napier
, New Zealand","Same As Registered Office Address
, New Zealand",,,,,,,,,,,,
294,1283351,9429036083053,14 Mar 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1283351,1283351,,"11 Gover Street, New Plymouth
, New Zealand","56b Queens Road, Glen Avon, New Plymouth, 4312
, New Zealand",,,,,,,,,,,,
295,710742,9429038376061,13 Feb 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco710742,710742,,"Graham Brown & Co Limited, 45-49 Tirau Street, Putaruru
, New Zealand","Graham Brown & Co Limited, 45-49 Tirau Street, Putaruru
, New Zealand",,,,,,,,,,,,
296,37575,9429040783468,02 Apr 1981,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco37575,37575,,"275a Oxford St, Levin
, New Zealand",,,,,,,,,,,,,
297,45726,9429040739830,08 Oct 1946,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco45726,45726,,"Evans Accounting Ltd, Unit 15, 101 Apollo Drive, Rosedale, Auckland, 0632
, New Zealand","Evans Accounting Ltd, Unit 15, 101 Apollo Drive, Rosedale, Auckland, 0632
, New Zealand",,,,,,,,,,,,
298,7628217,9429047589407,25 Jul 2019,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7628217,7628217,,"Level 6, 5 Short Street, Newmarket, Auckland, 1049
, New Zealand","Level 6, 5 Short Street, Newmarket, Auckland, 1049
, New Zealand",,,,,,,,,,,,
299,821813,9429038258701,20 Aug 1996,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco821813,821813,,"Johnston O'shea Limited, 1a Douglas Street, Whangarei, 0112
, New Zealand","Johnston O'shea Limited, 1a Douglas Street, Whangarei, 0112
, New Zealand",,,,,,,,,,,,
300,1895080,9429033693286,15 Dec 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1895080,1895080,,"Endeavour Chartered Accountants Ltd, '71 Hansen Road, Gisborne, 4071
, New Zealand","Endeavour Chartered Accountants Ltd, '71 Hansen Road, Gisborne, 4071
, New Zealand",,,,,,,,,,,,
301,123793,9429031978828,31 Oct 1983,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco123793,123793,,"G.r.leech & Co, 248 East Street, Ashburton
, New Zealand",,,,,,,,,,,,,
302,150276,9429040293714,15 Dec 1976,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco150276,150276,,"The National Mutual Centre, 10 George Street, Dunedin
, New Zealand","-
, New Zealand",,,,,,,,,,,,
303,379931,9429039491961,10 May 1988,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco379931,379931,,"Sovereign Palms Accounting Limited, 96 Sutherland Drive, Kaiapoi, Kaiapoi, 7630
, New Zealand","Sovereign Palms Accounting Limited, 96 Sutherland Drive, Kaiapoi, Kaiapoi, 7630
, New Zealand",,,,,,,,,,,,
304,234932,9429039969774,30 Apr 1984,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco234932,234932,,"1 Motetere Ave, Taupo
, New Zealand","1 Motetere Ave, Taupo
, New Zealand",,,,,,,,,,,,
305,6102934,9429042570653,26 Sep 2016,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6102934,6102934,,"DELOITTE WELLINGTON 2, Level 16, 10 Brandon Street, Wellington, 6011
, New Zealand","DELOITTE WELLINGTON 2, Level 16, 10 Brandon Street, Wellington, 6011
, New Zealand",,,,,,,,,,,,
306,1013909,9429037371524,10 Feb 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1013909,1013909,,"445 Great North Road, Henderson, Auckland
, New Zealand","445 Great North Road, Henderson, Auckland
, New Zealand",,,,,,,,,,,,
307,76697,9429040610030,27 May 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco76697,76697,,"Prince Black & Co, 5th Fl, 67 Custom St East, Auckland
, New Zealand",,,,,,,,,,,,,
308,1268687,9429036172160,29 Jan 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1268687,1268687,,"Nightingale Associates Limited, Level 1, 67-73 Hurstmere Road, Takapuna, Auckland, 0622
, New Zealand","Nightingale Associates Limited, Level 1, 67-73 Hurstmere Road, Takapuna, Auckland, 0622
, New Zealand",,,,,,,,,,,,
309,38324,9429040776750,02 Oct 1981,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco38324,38324,,"2 Whitechapel Grove, Stokes Valley, Lower Hutt
, New Zealand","2 Whitechapel Grove, Stokes Valley, Lower Hutt
, New Zealand",,,,,,,,,,,,
310,939235,9429037696818,15 Dec 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco939235,939235,,"8/18 Tahora Avenue, Remuera, Auckland
, New Zealand","8/18 Tahora Avenue, Remuera, Auckland
, New Zealand",,,,,,,,,,,,
311,963175,9429037567774,30 Jun 1999,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco963175,963175,,"Smith McCoy Alford Limited, First Floor, 149 Victoria Street, Christchurch
, New Zealand","Smith McCoy Alford Limited, First Floor, 149 Victoria Street, Christchurch
, New Zealand",,,,,,,,,,,,
312,840005,9429038172564,20 Dec 1996,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco840005,840005,,"97 Bethells Road, Henderson, 0781
, New Zealand","97 Bethells Road, Henderson, 0781
, New Zealand",,,,,,,,,,,,
313,2380050,9429031720489,16 Dec 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2380050,2380050,,"4 Arrenway Drive, Albany, Auckland
, New Zealand","4 Arrenway Drive, Albany, Auckland
, New Zealand",,,,,,,,,,,,
314,656159,9429038570773,14 Aug 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco656159,656159,,"1 Athlone Drive, Cambridge
, New Zealand","1 Athlone Drive, Cambridge
, New Zealand",,,,,,,,,,,,
315,51265,9429040721262,30 Apr 1954,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco51265,51265,,"84 Stanleys Road, Harewood, Christchurch
, New Zealand",,,,,,,,,,,,,
316,1062739,9429037154264,28 Aug 2000,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1062739,1062739,,"26 Bruce Rd, Glenfield, North Shore, Auckland
, New Zealand","26 Bruce Rd, Glenfield, North Shore, Auckland
, New Zealand",,,,,,,,,,,,
317,34040,9429040815909,17 Nov 1977,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco34040,34040,,"6 Hair Street, Marton
, New Zealand",,,,,,,,,,,,,
318,298125,9429039758460,12 Mar 1986,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco298125,298125,,"21 Riverbank Road, Wanganui
, New Zealand","21 Riverbank Road, Wanganui
, New Zealand",,,,,,,,,,,,
319,2185413,9429032503852,26 Nov 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2185413,2185413,,"348 Riddell Road, Glendowie, Auckland, 1071
, New Zealand","112 Gladstone Road, Parnell, Auckland, 1052
, New Zealand",,,,,,,,,,,,
320,1220761,9429036437634,21 Jun 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1220761,1220761,,"7 Neville St, Warkworth
, New Zealand","7 Neville St, Warkworth
, New Zealand",,,,,,,,,,,,
321,1944273,9429033386492,18 May 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1944273,1944273,,"9 Te Ara Place, Papamoa 3118
, New Zealand","9 Te Ara Place, Papamoa 3118
, New Zealand",,,,,,,,,,,,
322,1549377,9429035213208,26 Aug 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1549377,1549377,,"2 -48 Titirangi Road, Titirangi
, New Zealand","2 -48 Titirangi Road, Titirangi
, New Zealand",,,,,,,,,,,,
323,2195713,9429032454703,11 Dec 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2195713,2195713,,"165 Foley Quarry Rd, Albany 0792
, New Zealand","165 Foley Quarry Rd, Albany 0792
, New Zealand",,,,,,,,,,,,
324,977214,9429037493189,30 Sep 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco977214,977214,,"45 Rewi Street, Torbay, Auckland 10
, New Zealand","45 Rewi Street, Torbay, Auckland 10
, New Zealand",,,,,,,,,,,,
325,435545,9429039319845,09 Jun 1989,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco435545,435545,,"C/o Yovich Kaywood & Pevats, Rust Building, Rust Avenue, Whangarei
, New Zealand",,,,,,,,,,,,,
326,2299729,9429032043662,14 Aug 2009,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2299729,2299729,,"20 Oxford Street, Richmond, 7020
, New Zealand","20 Oxford Street, Richmond, 7020
, New Zealand",,,,,,,,,,,,
327,5319821,9429041288689,19 Jun 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5319821,5319821,,"22 Laureston Avenue, Papatoetoe, Auckland, 2025
, New Zealand","22 Laureston Avenue, Papatoetoe, Auckland, 2025
, New Zealand",,,,,,,,,,,,
328,111307,9429032133981,20 May 1981,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco111307,111307,,"29 Hamel Road, Glendene, Auckland
, New Zealand",,,,,,,,,,,,,
329,7513716,9429047493537,06 Jun 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7513716,7513716,,"Unit 1, 146 Bassett Road, Remuera, Auckland, 1050
, New Zealand","Unit 1, 146 Bassett Road, Remuera, Auckland, 1050
, New Zealand",,,,,,,,,,,,
330,37191,9429040790503,03 Dec 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco37191,37191,,"Grays Road, R D 1, Plimmerton
, New Zealand",,,,,,,,,,,,,
331,1530691,9429035306184,02 Jul 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1530691,1530691,,"987 Wainui Road, Silverdale, Auckland
, New Zealand","987 Wainui Road, Silverdale, Auckland
, New Zealand",,,,,,,,,,,,
332,1024860,9429037312404,28 Mar 2000,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1024860,1024860,,"23 Empire Street, Cambridge
, New Zealand","23 Empire Street, Cambridge
, New Zealand",,,,,,,,,,,,
333,37692,9429040785257,04 May 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco37692,37692,,"Strand Buildings, 83 The Square, Palmerston North
, New Zealand",,,,,,,,,,,,,
334,937699,9429037704148,09 Dec 1998,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco937699,937699,,"Mellow Business Group, 189 Collingwood Street, Hamilton Lake, Hamilton, 3204
, New Zealand","Mellow Business Group, 189 Collingwood Street, Hamilton Lake, Hamilton, 3204
, New Zealand",,,,,,,,,,,,
335,616817,9429038743771,03 Feb 1994,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco616817,616817,,"C/- Official Assignee, 6th Floor, 3 Kingston Street, Auckland
, New Zealand",,,,,,,,,,,,,
336,1186534,9429036636907,04 Feb 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1186534,1186534,,"C/-yovich Hayward Pevats Johnston Ltd, 23 Rathbone Street, Whangarei
, New Zealand","C/-yovich Hayward Pevats Johnston Ltd, 23 Rathbone Street, Whangarei
, New Zealand",,,,,,,,,,,,
337,557240,9429038949647,31 Jul 1992,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco557240,557240,,"Cnr O'rourke Road And Station Road, Penrose, Auckland
, New Zealand","Cnr O'rourke Road And Station Road, Penrose, Auckland
, New Zealand",,,,,,,,,,,,
338,1021705,9429037328535,21 Mar 2000,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1021705,1021705,,"6-25 Wingate Street, Avondale, Auckland
, New Zealand","6-25 Wingate Street, Avondale, Auckland
, New Zealand",,,,,,,,,,,,
339,1577660,9429035074021,16 Nov 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1577660,1577660,,"105 Remuera Rd, Remuera, Auckland
, New Zealand","105 Remuera Rd, Remuera, Auckland
, New Zealand",,,,,,,,,,,,
340,497709,9429039139337,05 Apr 1991,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco497709,497709,,"50 Torrance Street, Epsom, Auckland
, New Zealand","50 Torrance St, Epsom, Auckland
, New Zealand",,,,,,,,,,,,
341,5309061,9429041282526,01 Jul 2014,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5309061,5309061,,"433 Port Road, Whangamata, 3620
, New Zealand","433 Port Road, Whangamata, 3620
, New Zealand",,,,,,,,,,,,
342,401855,9429039422774,07 Oct 1988,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco401855,401855,,"C/o D Graham, 32 Tirau Street, Putaruru
, New Zealand",,,,,,,,,,,,,
343,12052,9429040933399,22 Jun 1959,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco12052,12052,,"Allan Mcneill, 16 High Street, Marton
, New Zealand","Allan Mcneill, 16 High Street, Marton
, New Zealand",,,,,,,,,,,,
344,428773,9429039340832,06 Jun 1989,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco428773,428773,,"2 Hardy Street, Waterloo, Lower Hutt
, New Zealand","2 Hardy Street, Waterloo, Lower Hutt
, New Zealand",,,,,,,,,,,,
345,462909,9429039239860,27 Feb 1990,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco462909,462909,,"C/- Papakura Taxation Service Limited, 87 O'shannessey Street, Papakura, Auckland
, New Zealand","C/- Papakura Taxation Service Limited, 87 O'shannessey Street, Papakura, Auckland
, New Zealand",,,,,,,,,,,,
346,639781,9429038644245,15 Feb 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco639781,639781,,"388 Memorial Avenue, Christchurch
, New Zealand","388 Memorial Ave, Christchurch
, New Zealand",,,,,,,,,,,,
347,921949,9429037779665,28 Sep 1998,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco921949,921949,,"COOPERAITKEN LIMITED, 42 Moorhouse Street, Morrinsville, 3300
, New Zealand","COOPERAITKEN LIMITED, 42 Moorhouse Street, Morrinsville, 3300
, New Zealand",,,,,,,,,,,,
348,1162647,9429036769414,14 Sep 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1162647,1162647,,"C/o Gdt Limited, 4a Martin Street, Hamilton
, New Zealand","G D T Limited, Donna Taylor, 4a Martin Street, Hamilton
, New Zealand",,,,,,,,,,,,
349,5651568,9429041680599,01 Apr 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5651568,5651568,,"490 Hillsborough Road, Mount Roskill, Auckland, 1041
, New Zealand","490 Hillsborough Road, Mount Roskill, Auckland, 1041
, New Zealand",,,,,,,,,,,,
350,550070,9429038974823,06 Jul 1992,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco550070,550070,,"Crowe Horwath (NZ) Limited, 208-210 Avenue Road East, Hastings, 4122
, New Zealand","208-210 Avenue Road East, Hastings, 4122
, New Zealand",,,,,,,,,,,,
351,832291,9429038211300,29 Oct 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco832291,832291,,"C/- Kevin Rowe, 6000 State Highway One, Horotiu
, New Zealand","Same As Registered Office Address
, New Zealand",,,,,,,,,,,,
352,47415,9429040733739,24 Jun 1949,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco47415,47415,,"10 Homewood Place, Birkenhead
, New Zealand",,,,,,,,,,,,,
353,32362,9429040825885,28 May 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco32362,32362,,"9 Gladstone Rd, Gisborne
, New Zealand",,,,,,,,,,,,,
354,1875665,9429033808727,19 Oct 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1875665,1875665,,"10-130 Great South Rd, Remuera
, New Zealand","10-130 Great South Rd, Remuera
, New Zealand",,,,,,,,,,,,
355,5661889,9429041686522,13 Apr 2015,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5661889,5661889,,"CAMPBELL TYSON LIMITED, 116 Great South Road, Papakura, Papakura, 2110
, New Zealand","Appt 103/10 Fox Street, Parnell, Auckland, 1052
, New Zealand",,,,,,,,,,,,
356,172808,9429040159430,23 May 1977,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco172808,172808,,"C/o Messrs Capper Mcdonald, Taranaki Farmers Building, Cnr Broadway & Regan Streets, Stratford
, New Zealand","-
, New Zealand",,,,,,,,,,,,
357,4194338,9429030393738,23 Jan 2013,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4194338,4194338,,"18 Onewa Road, Northcote Point, Auckland, 0627
, New Zealand","18 Onewa Road, Northcote Point, Auckland, 0627
, New Zealand",,,,,,,,,,,,
358,4159458,9429030411470,06 Dec 2012,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4159458,4159458,,"Coombe Smith PN Ltd, 168 Broadway Avenue, Palmerston North, Palmerston North, 4410
, New Zealand","Coombe Smith PN Ltd, 168 Broadway Avenue, Palmerston North, Palmerston North, 4410
, New Zealand",,,,,,,,,,,,
359,931575,9429037732141,03 Nov 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco931575,931575,,"3 Lincoln Close, Browns Bay, Auckland
, New Zealand","3 Lincoln Close, Browns Bay, Auckland
, New Zealand",,,,,,,,,,,,
360,6753073,9429046641304,08 Mar 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6753073,6753073,,"14 Walsall Street, Avondale, Auckland, 1026
, New Zealand","14 Walsall Street, Avondale, Auckland, 1026
, New Zealand",,,,,,,,,,,,
361,1985222,9429033135717,18 Sep 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1985222,1985222,,"19 School Road, Rd 2, Mosgiel, 9092
, New Zealand","19 School Road, Rd 2, Mosgiel, 9092
, New Zealand",,,,,,,,,,,,
362,868596,9429038032912,28 May 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco868596,868596,,"151a Colwill Road, Massey, Auckland
, New Zealand","151a Colwill Road, Massey, Auckland
, New Zealand",,,,,,,,,,,,
363,2108545,9429032851403,25 Mar 2008,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2108545,2108545,,"17b Hayley Grove, Papamoa 3118
, New Zealand","17b Hayley Grove, Papamoa 3118
, New Zealand",,,,,,,,,,,,
364,1549357,9429035212713,24 Aug 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1549357,1549357,,"2 Airborne Road, Rosedale, North Shore City, 0632
, New Zealand","2 Airborne Road, Rosedale, North Shore City, 0632
, New Zealand",,,,,,,,,,,,
365,1731860,9429034419847,22 Nov 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1731860,1731860,,"464 Coalpit Road, Van Smirren Accounting, 4 Drd Oamaru, 9492
, New Zealand","464 Coalpit Road, Van Smirren Accounting, 4 Drd Oamaru, 9492
, New Zealand",,,,,,,,,,,,
366,3717078,9429030806153,03 Feb 2012,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3717078,3717078,,"84 Halesowen Avenue, Mount Eden, Auckland, 1041
, New Zealand","84 Halesowen Avenue, Mount Eden, Auckland, 1041
, New Zealand",,,,,,,,,,,March,
367,197704,9429040047300,21 Jul 1978,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco197704,197704,,"12 Longford Court, Hamilton
, New Zealand","12 Longford Court, Hamilton
, New Zealand",,,,,,,,,,,,
