,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
267,1443700,9429035673071,11 Nov 2003,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1443700,1443700,,"BDO Auckland, Level 10, Bdo Tower, 19 Como Street, Takapuna, Auckland, 0622
, New Zealand","BDO Auckland, Level 10, Bdo Tower, 19 Como Street, Takapuna, Auckland, 0622
, New Zealand",,,,,,,,,,,,
268,196505,9429040058467,11 Oct 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco196505,196505,,"Baker Reid & Kytola, 178 The Strand, Whakatane
, New Zealand",,,,,,,,,,,,,
269,1797156,9429034198063,31 Mar 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1797156,1797156,,"Switch Accounting, 235 Moray Place, Dunedin Central, Dunedin, 9016
, New Zealand","235 Moray Place, Dunedin Central, Dunedin, 9016
, New Zealand",,,,,,,,,,,,
270,55353,9429040704487,21 Jun 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco55353,55353,,"13 Richard Ave, Bucklands Beach, Auckland
, New Zealand",,,,,,,,,,,,,
271,2024764,9429033069913,26 Oct 2007,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2024764,2024764,,"Abacus Administration Limited, 53-61 Whitaker Street, Te Aroha, 3320
, New Zealand","Abacus Administration Limited, 53-61 Whitaker Street, Te Aroha, 3320
, New Zealand",,,,,,,,,,,,
272,37261,9429040783710,19 Dec 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco37261,37261,,"Shop 24 Copperfield Shopping Cnt, Paraparaumu Beach
, New Zealand",,,,,,,,,,,,,
273,145366,9429040315102,21 Dec 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco145366,145366,,"Shand Thomson Mactavish & Co, 102-104 Clyde St, Balclutha
, New Zealand",,,,,,,,,,,,,
274,86780,9429040544441,02 Apr 1973,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco86780,86780,,"Hukerenui, R.d. Hikurangi
, New Zealand","Hukerenui, R.d. Hikurangi
, New Zealand",,,,,,,,,,,,
275,4350460,9429030313019,18 Mar 2013,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4350460,4350460,,"Neil Wakefield, 1 Collingwood Road, Waiuku, Waiuku, 2123
, New Zealand","Neil Wakefield, 1 Collingwood Road, Waiuku, Waiuku, 2123
, New Zealand",,,,,,,,,,,,
276,1500231,9429035464549,31 Mar 2004,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1500231,1500231,,"Harrop & Hargrave Ltd, 142 Ocean View Road, Oneroa, Waiheke Island, 1081
, New Zealand","Harrop & Hargrave Ltd, 142 Ocean View Road, Oneroa, Waiheke Island, 1081
, New Zealand",,,,,,,,,,,,
277,1498370,9429031783132,29 Mar 2004,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1498370,1498370,,"RSM New Zealand (Auckland), Rsm House, Level 2, 62 Highbrook Drive, East Tamaki, Auckland, 2013
, New Zealand","RSM New Zealand (Auckland), Rsm House, Level 2, 62 Highbrook Drive, East Tamaki, Auckland, 2013
, New Zealand",,,,,,,,,,,,
278,4690119,9429030032439,07 Oct 2013,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4690119,4690119,,"Flat 3, 22 Marr Road, Manurewa, Auckland, 2102
, New Zealand","Flat 3, 22 Marr Road, Manurewa, Auckland, 2102
, New Zealand",,,,,,,,,,,,
279,1600577,9429034953242,11 Feb 2005,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1600577,1600577,,"919 Colombo Street, Christchurch Central, Christchurch, 8013
, New Zealand","919 Colombo Street, Christchurch Central, Christchurch, 8013
, New Zealand",,,,,,,,,,,,
280,164862,9429040210537,17 Feb 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco164862,164862,,"Nesbitt & Nesbitt, Chartered Accountants, 90 Station Street, Napier
, New Zealand","-
, New Zealand",,,,,,,,,,,,
281,680208,9429038469312,04 Jul 1995,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco680208,680208,,"Then Mansions Building, 64 Eruera Street, Level 2 Suite 4, Rotorua
, New Zealand","The Mansions Building, 64 Eruera Street, Level 2 Suite 4, Rotorua
, New Zealand",,,,,,,,,,,,
282,2153009,9429032652765,29 Aug 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2153009,2153009,,"1/152 Old Wairoa Road, Papakura, Auckland
, New Zealand","1/152 Old Wairoa Road, Papakura, Auckland
, New Zealand",,,,,,,,,,,,
283,1581581,9429035054832,23 Dec 2004,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1581581,1581581,,"Phibbs & Co Limited, 8 Murdoch Road, Grey Lynn, Auckland, 1021
, New Zealand","Phibbs & Co Limited, 8 Murdoch Road, Grey Lynn, Auckland, 1021
, New Zealand",,,,,,,,,,,,
284,115085,9429032075502,18 Aug 1982,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco115085,115085,,"Brown & Walker, 3045 Great North Rd, New Lynn, Auckland 7
, New Zealand",,,,,,,,,,,,,
285,72782,9429040629223,01 Jun 1967,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco72782,72782,,"187 Kitchener Rd, Pukekohe
, New Zealand",,,,,,,,,,,,,
286,258046,9429039894106,02 Nov 1984,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco258046,258046,,"18 Stranolar Drive, Mt Roskill, Auckland
, New Zealand","18 Stranolar Drive, Mt Roskill
, New Zealand",,,,,,,,,,,,
287,172237,9429040166094,18 Feb 1974,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco172237,172237,,"C/o N D Day, 18 Norman St, New Plymouth
, New Zealand",,,,,,,,,,,,,
288,1543037,9429035243489,06 Aug 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1543037,1543037,,"Kumeu Professional Centre, 2 Shamrock Drive, Kumeu 0814, Auckland West
, New Zealand","32 Rheingold Place, Huapai, Auckland West
, New Zealand",,,,,,,,,,,,
289,8199713,9429049443790,01 Jul 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8199713,8199713,,"36 Bridger Street, Maryhill, Dunedin, 9011
, New Zealand","36 Bridger Street, Maryhill, Dunedin, 9011
, New Zealand",,,,,,,,,,,,
290,2129057,9429032753660,12 May 2008,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2129057,2129057,,"82 Lincoln Tai Tapu Road, Tai-tapu,, Christchurch, Christchurch
, New Zealand","82, Lincoln Tai Tapu Road,, Tai-tapu,, Rd 2, Christchurch
, New Zealand",,,,,,,,,,,,
291,1518260,9429035366584,24 Jun 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1518260,1518260,,"Ashton Wheelans Limited, 6 Lancaster Street, Waltham, Christchurch, 8011
, New Zealand","Ashton Wheelans Limited, 6 Lancaster Street, Waltham, Christchurch, 8011
, New Zealand",,"PURVIS, John Leslie",PKF GOLDSMITH FOX,64 3 3666706,,10 Sep 2009,"The receivers and managers have been appointed in respect of all of the undertakings and property, present and future, including uncalled and unpaid capital, of the company","Final Receivers Report 
      						
      							
      								Filed
    							
    							
							
							 19 Oct 2011",,,,
292,1523380,9429035343226,08 Jun 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1523380,1523380,,"Shop 5, Ground Floor Civic Arcade, 46 Bank Street, Whangarei
, New Zealand","Shop 5, Ground Floor Civic Arcade, 46 Bank Street, Whangarei
, New Zealand",,,,,,,,,,,,
293,70142,9429040645148,15 Mar 1966,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco70142,70142,,"6 Blease St, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,,
294,5969801,9429042313908,26 Apr 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5969801,5969801,,"W Alder, 44l Portage Road, New Lynn, Auckland, 0604
, New Zealand","W Alder, 44l Portage Road, New Lynn, Auckland, 0604
, New Zealand",,,,,,,,,,,,
295,609324,9429038775048,05 Nov 1993,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco609324,609324,,"Suite 7, 49 Totara Street, Mount Maunganui, Mount Maunganui, 3116
, New Zealand","Suite 7, 49 Totara Street, Mount Maunganui, Mount Maunganui, 3116
, New Zealand",,,,,,,,,,,,
296,2116082,9429032809541,17 Apr 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2116082,2116082,,"1168 Amohia Street, Rotorua, 3010
, New Zealand","1168 Amohia Street, Rotorua, 3010
, New Zealand",,,,,,,,,,,,
297,494346,9429039149480,22 Feb 1991,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco494346,494346,,"Hintons Limited, Chartered Accountants, 20 Oxford Street, Richmond, Nelson
, New Zealand","Hintons Limited, Chartered Accountants, 20 Oxford Street, Richmond, Nelson
, New Zealand",,,,,,,,,,,,
298,929451,9429037741600,05 Nov 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco929451,929451,,"4 Greenwich Grove, Stokes Valley
, New Zealand","4 Greenwich Grove, Stokes Valley
, New Zealand",,,,,,,,,,,,
299,1115506,9429037008475,12 Feb 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1115506,1115506,,"Gilligan Sheppard Limited, Level 4, Smith & Caughey Building, 253 Queen Street, Auckland, 1010
, New Zealand","Gilligan Sheppard Limited, Level 4, Smith & Caughey Building, 253 Queen Street, Auckland, 1010
, New Zealand",,,,,,,,,,,,
300,199155,9429040034133,16 Jul 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco199155,199155,,"127 Collingwood Street, Hamilton
, New Zealand",,,,,,,,,,,,,
301,1809774,9429034145661,12 May 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1809774,1809774,,"C/o Kevin Temperton Chartered Accountant, Suite 406 Level 4, North City Shopping Centre, Porirua City
, New Zealand","C/o Kevin Temperton Chartered Accountant, Suite 406 Level 4, North City Shopping Centre, Porirua City
, New Zealand",,,,,,,,,,,,
302,139805,9429040352107,09 Aug 1979,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco139805,139805,,"297 Russley Rd, Christchurch
, New Zealand",,,,,,,,,,,,,
303,513425,9429039090157,23 Jul 1991,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco513425,513425,,"19 Wellington Street, Howick
, New Zealand","19 Wellington Street, Howick
, New Zealand",,,,,,,,,,,,
304,1265006,9429036192014,20 Dec 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1265006,1265006,,"1/400, Titirangi Road, Titirangi,, Auckland
, New Zealand","1/400, Titirangi Road,, Titirangi,, Auckland
, New Zealand",,,,,,,,,,,,
305,1368682,9429035840046,05 Aug 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1368682,1368682,,"Shop 3, 570 Te Atatu Road, Te Atatu Peninsula, Auckland
, New Zealand","Shop 3, 570 Te Atatu Road, Te Atatu Peninsula, Auckland
, New Zealand",,,,,,,,,,,,
306,1289192,9429036048694,10 Apr 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1289192,1289192,,"Level 4, New Zeland Post Building, 51 Hurstmere Road, Takapuna, Auckland 9
, New Zealand","Level 4, New Zealand Post Building, 51 Hurstmere Road, Takapuna, Auckland 9
, New Zealand",,,,,,,,,,,,
307,921727,9429037780463,19 Aug 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco921727,921727,,"1st Floor, 1180 Lake Road, Rotorua
, New Zealand","1st Floor, 1180 Lake Road, Rotorua
, New Zealand",,,,,,,,,,,,
308,1239586,9429036331246,23 Sep 2002,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1239586,1239586,,"4011 Great North Road, Kelston, Auckland
, New Zealand","4011 Great North Road, Kelston, Auckland
, New Zealand",,,,,,,,,,,,
309,1032050,9429037276157,20 Apr 2000,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1032050,1032050,,"Office Of James Lau And Associates, Accountant, 39 Thackeray Street, Hamilton
, New Zealand","Office Of James Lau And Associates, Accountant, 39 Thackeray Street, Hamilton
, New Zealand",,,,,,,,,,,,
310,893058,9429037919078,16 Feb 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco893058,893058,,"Walker Lee & Dick, Chartered Accountants Limited, 24 Veronica Street, New Lynn
, New Zealand","Walker Lee & Dick, Chartered Accountants, 24 Veronica Street, New Lynn
, New Zealand",,,,,,,,,,,,
311,1115502,9429037008406,12 Feb 2001,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1115502,1115502,,"4th Floor, Smith & Caughey Building, 253 Queen Street, Auckland, 1141
, New Zealand","4th Floor, Smith & Caughey Building, 253 Queen Street, Auckland, 1141
, New Zealand",,,,,,,,,,,,
312,6392153,9429046301215,16 Aug 2017,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6392153,6392153,,"Haglund Consulting Ltd, Unit 1, 392 Queen Street, Masterton, Masterton, 5810
, New Zealand","Haglund Consulting Ltd, Unit 1, 392 Queen Street, Masterton, Masterton, 5810
, New Zealand",,,,,,,,,,,,
313,135726,9429031851596,10 Jul 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco135726,135726,,"3rd Floor, 151 Worcester Street, Christchurch
, New Zealand","3rd Floor, 151 Worcester Street, Christchurch
, New Zealand",,,,,,,,,,,,
314,412969,9429039390264,22 Nov 1988,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco412969,412969,,"7 Te Makiri Road, Onetangi, Waiheke Island, 1081
, New Zealand","7 Te Makiri Road, Onetangi, Waiheke Island, 1081
, New Zealand",,,,,,,,,,,,
315,557533,9429038948039,28 Jul 1992,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco557533,557533,,"27 Belmont Terrace, Milford, Auckland
, New Zealand","27 Belmont Terrace, Milford, Auckland
, New Zealand",,,,,,,,,,,,
316,6730356,9429046615855,21 Feb 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6730356,6730356,,"11 Conie Glen Lane, Broomfield, Christchurch, 8042
, New Zealand","Shop 2, 249 Stanmore Road, Richmond, Christchurch, 8013
, New Zealand",,,,,,,,,,,,
317,932350,9429037728229,05 Nov 1998,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco932350,932350,,"27 Bernera St, Karitane, Otago
, New Zealand","27 Bernera St, Karitane, Otago
, New Zealand",,,,,,,,,,,,
318,39323,9429040767499,21 Jun 1982,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco39323,39323,,"Farquhar Brooking, Level 7, Axa Centre, Fitzherbert Avenue, Palmerston North
, New Zealand","Farquhar Brooking, Level 7, Axa Centre, Fitzherbert Avenue, Palmerston North
, New Zealand",,,,,,,,,,,,
319,1951276,9429033344751,03 Jul 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1951276,1951276,,"103 Commerce St, Kaitaia
, New Zealand","103 Commerce Street, Kaitaia
, New Zealand",,,,,,,,,,,,
320,3041153,9429031443890,17 Aug 2010,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3041153,3041153,,"COLIN OLESEN CHARTERED ACCOUNTANTS, Cnr Jocelyn & Queen Streets, Te Puke, 3119
, New Zealand","COLIN OLESEN CHARTERED ACCOUNTANTS, Cnr Jocelyn & Queen Streets, Te Puke, 3119
, New Zealand",,,,,,,,,,,,
321,1147267,9429036853113,23 Jul 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1147267,1147267,,"91 College Hill, Freemans Bay, Auckland, 1011
, New Zealand","91 College Hill, Freemans Bay, Auckland, 1011
, New Zealand",,,,,,,,,,,,
322,62735,9429040679235,20 Mar 1962,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco62735,62735,,"Mcculloch Menzies, 458 Riddell Rd, Glendowie, Auckland
, New Zealand",,,,,,,,,,,,,
323,117026,9429032043006,13 Apr 1983,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco117026,117026,,"130 Main Highway, Ellerslie, Auckland
, New Zealand","130 Main Highway, Ellerslie, Auckland
, New Zealand",,,,,,,,,,,,
324,1801402,9429034174265,18 Apr 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1801402,1801402,,"83 Centenial Drive, Whitianga
, New Zealand","83 Centanial Drive, Whitianga
, New Zealand",,,,,,,,,,,,
325,1526311,9429035326878,05 Jul 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1526311,1526311,,"Harvie Green Wyatt, Chartered Accountants, Level 5,229 Moray Place, Dunedin 9016
, New Zealand","Harvie Green Wyatt, Chartered Accountants, Level 5,229 Moray Place, Dunedin 9016
, New Zealand",,,,,,,,,,,,
326,7932656,9429048054201,25 Mar 2020,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7932656,7932656,,"Taylor Irwin Limited, First Floor 192 Papanui Road, Merivale, Christchurch, 8014
, New Zealand","Taylor Irwin Limited, First Floor 192 Papanui Road, Merivale, Christchurch, 8014
, New Zealand",,,,,,,,,,,,
327,5026340,9429041130605,07 Mar 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5026340,5026340,,"31 Castletown Place, New Brighton, Christchurch, 8083
, New Zealand","31 Castletown Place, New Brighton, Christchurch, 8083
, New Zealand",,,,,,,,,,,,
328,107810,9429032258189,10 Mar 1980,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco107810,107810,,"C/- Allen & Allen Limited, Chartered Accountants, 67 Normanby Street, Dargaville
, New Zealand","Same As Registered Office
, New Zealand",,,,,,,,,,,,
329,1500744,9429035462262,02 Apr 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1500744,1500744,,"Peter Bould Ca Limited, Level 3, 255 Broadway, Newmarket
, New Zealand","Peter Bould Ca Limited, Level 3, 255 Broadway, Newmarket
, New Zealand",,,,,,,,,,,,
330,868945,9429038032622,19 Aug 1997,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco868945,868945,,"Etiam Limited, Level 1, 6 Como Street, Takapuna, Auckland, 0622
, New Zealand","Etiam Limited, Level 1, 6 Como Street, Takapuna, Auckland, 0622
, New Zealand",,,,,,,,,,,,
331,2105503,9429032860467,10 Mar 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2105503,2105503,,"1/42 Jackson Tce, Ranui Heights, Porirua
, New Zealand","11 Lincoln Ave, Tawa, Wellington
, New Zealand",,,,,,,,,,,,
332,803934,9429038346699,18 Apr 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco803934,803934,,"61 Tallyho Street, Rotorua
, New Zealand","61 Tallyho Street, Rotorua
, New Zealand",,,,,,,,,,,,
333,187549,9429040118727,03 Dec 1965,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco187549,187549,,"77 Blomfield Street, Rotorua 3201
, New Zealand","Same As Registered Office
, New Zealand",,,,,,,,,,,,
334,138168,9429040367019,09 Mar 1977,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco138168,138168,,"26 Cresswell Street, Dunedin
, New Zealand",,,,,,,,,,,,,
335,2118768,9429032797701,11 Apr 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2118768,2118768,,"94 Doncaster Drive, Papamoa Beach, Papamoa, 3118
, New Zealand","94 Doncaster Drive, Papamoa Beach, Papamoa, 3118
, New Zealand",,,,,,,,,,,,
336,111567,9429032131253,19 Jun 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco111567,111567,,"44 Woodford Ave, Henderson
, New Zealand",,,,,,,,,,,,,
337,48685,9429040730745,12 Feb 1951,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco48685,48685,,"Crooks Rd, East Tamaki
, New Zealand",,,,,,,,,,,,,
338,1515797,9429035381907,19 May 2004,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1515797,1515797,,"154 Carruth Road, Papatoetoe, Auckland, 2025
, New Zealand","154 Carruth Road, Papatoetoe, Auckland, 2025
, New Zealand",,,,,,,,,,,,
339,1814852,9429034119327,18 May 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1814852,1814852,,"169 School Road, Clive, Hastings, 4102
, New Zealand","169 School Road, Clive, Hastings, 4102
, New Zealand",,,,,,,,,,,,
340,3649351,9429030888166,24 Nov 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3649351,3649351,,"19 Dudding Ave, Northcote, Auckland, 0627
, New Zealand","19 Dudding Ave, Northcote, Auckland, 0627
, New Zealand",,,,,,,,,,,,
341,1270327,9429036162789,27 Jan 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1270327,1270327,,"5/51 Brown St, Ponsonby, Auckland
, New Zealand","172 - 176 Ponsonby Road, Ponsonby, Auckland
, New Zealand",,,,,,,,,,,,
342,54425,9429040710150,31 Oct 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco54425,54425,,"Kumeu
, New Zealand",,,,,,,,,,,,,
343,32213,9429040827995,14 Apr 1976,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco32213,32213,,"Kelvin Grove Road, R D 10, Palmerston North
, New Zealand","Kelvin Grove Road, R D 10, Palmerston North
, New Zealand",,,,,,,,,,,,
344,1791238,9429034229934,27 Mar 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1791238,1791238,,"C/-impact Chartered Accountants Limited, First Floor, Cnr Ranolf & Amohau Streets, Rotorua
, New Zealand","C/-impact Chartered Accountants Limited, First Floor, Cnr Ranolf & Amohau Streets, Rotorua
, New Zealand",,,,,,,,,,,,
345,1597709,9429034970522,07 Feb 2005,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1597709,1597709,,"DRK Chartered Accountants Limited, 83b Ingram Road, Rd 3, Drury, 2579
, New Zealand","49 George Crescent, Rd 2, Pukekohe, 2677
, New Zealand",,,,,,,,,,,,
346,3778259,9429030709850,12 Apr 2012,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3778259,3778259,,"TAXATION PROFESSIONALS LIMITED, 16 Clevedon Road, Papakura, Auckland, 2110
, New Zealand","TAXATION PROFESSIONALS LIMITED, 16 Clevedon Road, Papakura, Auckland, 2110
, New Zealand",,,,,,,,,,,,
347,1988885,9429033115481,01 Oct 2007,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1988885,1988885,,"Knobloch & Associates Ltd, 34 Cavendish Drive, Manukau, Auckland, 2104
, New Zealand","Knobloch & Associates Ltd, 34 Cavendish Drive, Manukau, Auckland, 2104
, New Zealand",,,,,,,,,,,,
348,5138761,9429041191620,14 Apr 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5138761,5138761,,"Trevor Laing & Associates Ltd, Level 6, Forsyth Barr House, Cnr The Octagon & Stuart St, Dunedin, 9016
, New Zealand","Trevor Laing & Associates Ltd, Level 6, Forsyth Barr House, Cnr The Octagon & Stuart St, Dunedin, 9016
, New Zealand",,,,,,,,,,,,
349,37090,9429040791982,31 Oct 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco37090,37090,,"3rd Floor, Borthwick House, 85 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,,
350,4272038,9429030356443,07 Feb 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4272038,4272038,,"22 Wernham Place, Northcote, Auckland, 0626
, New Zealand","22 Wernham Place, Northcote, Auckland, 0626
, New Zealand",,,,,,,,,,,,
351,646855,9429038610813,20 Apr 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco646855,646855,,"Lynch Phibbs Ltd, Level 5, 60 Parnell Road, Parnell, Auckland
, New Zealand","Lynch Phibbs Ltd, Level 5, 60 Parnell Road, Parnell, Auckland
, New Zealand",,,,,,,,,,,,
352,138909,9429040359489,01 May 1978,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco138909,138909,,"77 Deans Avenue, Christchurch
, New Zealand",,,,,,,,,,,,,
