,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,ACN Number:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
204,6933737,9429046905253,17 Jul 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6933737,6933737,,"MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand","MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand",,,,,,,,,,,,
205,258683,9429039892027,06 Dec 1984,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco258683,258683,,"89 Snodgrass Road, Westport
, New Zealand","89 Snodgrass Road, Westport
, New Zealand",,,,,,,,,,,,
206,653835,9429038582806,07 Nov 1994,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco653835,653835,,"46 Attwood Road, Paremoremo, Auckland, 0632
, New Zealand","46 Attwood Road, Paremoremo, Auckland, 0632
, New Zealand",,,,,,,,,,,,
207,156471,9429040258515,22 May 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco156471,156471,,"72 Trafalgar St, Nelson
, New Zealand",,,,,,,,,,,,,
208,1035265,9429037261832,10 May 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1035265,1035265,,"Uhy Haines Norton (auckland) Limited, 22 Catherine Street, Henderson, Auckland 0612
, New Zealand","Uhy Haines Norton (auckland) Limited, 22 Catherine Street, Henderson, Auckland 0612
, New Zealand",,,,,,,,,,,,
209,936172,9429037710606,30 Nov 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco936172,936172,,"99 Bream Bay Drive, Paradise Shores, Ruakaka
, New Zealand","99 Bream Bay Drive, Paradise Shores, Ruakaka
, New Zealand",,,,,,,,,,,,
210,8030591,9429048336277,12 Jun 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8030591,8030591,,"50 Springside Drive, Flat Bush, Auckland, 2019
, New Zealand","50 Springside Drive, Flat Bush, Auckland, 2019
, New Zealand",,,,,,,,,,,,
211,1554503,9429035192763,07 Sep 2004,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1554503,1554503,,"Unit 10, 333 Harewood Road, Bishopdale, Christchurch, 8053
, New Zealand","Unit 10, 333 Harewood Road, Bishopdale, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
212,8607926,9429051126384,20 Feb 2023,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8607926,8607926,,"24c Little Gem Road, Wigram, Christchurch, 8025
, New Zealand","24c Little Gem Road, Wigram, Christchurch, 8025
, New Zealand",,,,,,,,,,,,
213,113908,9429032096866,07 Apr 1982,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco113908,113908,,"45 Marriott Road, Pakuranga, Auckland
, New Zealand","45 Marriott Road, Pakuranga, Auckland
, New Zealand",,,,,,,,,,,,
214,1021286,9429037333652,10 Mar 2000,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1021286,1021286,,"Baker Tilly Staples Rodway Taranaki Limited, 109 Powderham Street, New Plymouth, New Plymouth, 4310
, New Zealand","Baker Tilly Staples Rodway Taranaki Limited, 109 Powderham Street, New Plymouth, New Plymouth, 4310
, New Zealand",,,,,,,,,,,,
215,6933742,9429046905284,17 Jul 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6933742,6933742,,"MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand","MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand",,,,,,,,,,,,
216,138822,9429040361482,07 Mar 1978,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco138822,138822,,"127 Armagh Street, Christchurch
, New Zealand",,,,,,,,,,,,,
217,5765169,9429041878415,30 Jul 2015,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5765169,5765169,,"Bay of Islands Taxation Ltd, The Meridian Centre, 93 Kerikeri Road, Kerikeri, 0230
, New Zealand","Bay of Islands Taxation Ltd, The Meridian Centre, 93 Kerikeri Road, Kerikeri, 0230
, New Zealand",,,,,,,,,,,,
218,91068,9429040513034,10 May 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco91068,91068,,"Murray Lee Chartered Accountants Limited, 3049 Great North Road, New Lynn, Auckland
, New Zealand","Murray Lee Chartered Accountants Limited, 3049 Great North Road, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,
219,879010,9429037982973,05 Nov 1997,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco879010,879010,,"C/-middleton Holland & Associates Ltd, 27c William Pickering Drive, Albany, Auckland
, New Zealand","C/-middleton Holland & Associates Ltd, 27c William Pickering Drive, Albany, Auckland
, New Zealand",,,,,,,,,,,,
220,84300,9429040557410,06 Jun 1972,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco84300,84300,,"Henning & Associates Ltd, Chartered, Accountants, 1st Floor, Spicers, House, 2 Burns Ave, Takapuna
, New Zealand","Henning & Associates Ltd, Chartered, Accountants, 1st Floor, Spicers, House, 2 Burns Ave, Takapuna
, New Zealand",,,,,,,,,,,,
221,6630033,9429046532787,04 Jan 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6630033,6630033,,"48 Killarney Road, Frankton, Hamilton, 3204
, New Zealand","48 Killarney Road, Frankton, Hamilton, 3204
, New Zealand",,,,,,,,,,,,
222,268174,9429039859303,23 Apr 1985,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco268174,268174,,"C/o Landrigan Waite, 10 Young Street, New Plymouth
, New Zealand","-
, New Zealand",,,,,,,,,,,,
223,70816,9429040638553,23 Jun 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco70816,70816,,"Hunts Building, 178 Great South Road, Manurewa
, New Zealand",,,,,,,,,,,,,
224,1668182,9429034641606,20 Jul 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1668182,1668182,,"Chatfield & Co, Level 10, 44 Khyber Pass Road, Grafton, Auckland, 1150
, New Zealand","Chatfield & Co, Level 10, 44 Khyber Pass Road, Grafton, Auckland, 1150
, New Zealand",,,,,,,,,,,,
225,1928803,9429033480459,11 May 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1928803,1928803,,"Shop 121 Queens Arcade, 40 Queen Street, Auckland
, New Zealand","Shop 121 Queens Arcade, 40 Queen Street, Auckland
, New Zealand",,,,,,,,,,,,
226,6933977,9429046905864,17 Jul 2018,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6933977,6933977,,"MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand","MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand",,,,,,,,,,,,
227,2315429,9429031952934,04 Sep 2009,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2315429,2315429,,"Crowe Horwath (NZ) Limited, 208-210 Avenue Road East, Hastings, 4122
, New Zealand","208-210 Avenue Road East, Hastings, 4122
, New Zealand",,,,,,,,,,,,
228,126381,9429031954358,03 Nov 1960,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco126381,126381,,"90 Hereford St, Christchurch 1
, New Zealand",,,,,,,,,,,,,
229,149794,9429034061244,30 May 1977,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco149794,149794,,"17 Edinburgh Place, Balclutha
, New Zealand",,,,,,,,,,,,,
230,6290912,9429046153081,25 May 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6290912,6290912,,"14 Awanui Avenue, Te Kauwhata, Te Kauwhata, 3710
, New Zealand","14 Awanui Avenue, Te Kauwhata, Te Kauwhata, 3710
, New Zealand",,,,,,,,,,,,
231,6672773,9429046567901,31 Jan 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6672773,6672773,,"MOORE WALKER DAVEY SEARELLS LIMITED, Level 2, Building One, 181 High Street, Christchurch, 8144
, New Zealand","MOORE WALKER DAVEY SEARELLS LIMITED, Level 2, Building One, 181 High Street, Christchurch, 8144
, New Zealand",,,,,,,,,,,,
232,1368225,9429035841210,05 Aug 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1368225,1368225,,"3/39a Sylvia Road, St Heliers, Auckland
, New Zealand","3/39a Sylvia Road, St Heliers, Auckland
, New Zealand",,,,,,,,,,,,
233,476465,9429039201300,24 Aug 1990,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco476465,476465,,"The Office Of The Liquidator, 11 St Aidans Way, Tawa, Wellington
, New Zealand",,,,,,,,,,,,,
234,578807,9429038878718,25 Feb 1993,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco578807,578807,,"63a Picton St, Civic House, Rices Mall, Howick
, New Zealand",,,,,,,,,,,,,
235,8742068,9429051323097,10 May 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8742068,8742068,,"23 Pharazyn Street, Melling, Lower Hutt, 5010
, New Zealand","23 Pharazyn Street, Melling, Lower Hutt, 5010
, New Zealand",,,,,,,,,,,,
236,7916804,9429047996052,13 Mar 2020,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco7916804,7916804,,"MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand","MAUDE & MILLER, Level 7, Bnz Tower, 14 Hartham Place, Porirua, Porirua, 5022
, New Zealand",,,,,,,,,,,,
237,6273893,9429046098726,02 May 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6273893,6273893,,"Nacha Kasemkiatsakool, 13 Casheltown Way, Flat Bush, Auckland, 2019
, New Zealand","Nacha Kasemkiatsakool, 13 Casheltown Way, Flat Bush, Auckland, 2019
, New Zealand",,,,,,,,,,,,
238,1296438,9429036010417,13 May 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1296438,1296438,,"Level 2, Pwc Building, 36 Munroe Street
, New Zealand","Level 2, Pwc Building, 36 Munroe Street
, New Zealand",,,,,,,,,,,,
239,8294604,9429050254460,01 Feb 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8294604,8294604,,"205j Ingram Road, Rd 3, Bombay, 2579
, New Zealand","205j Ingram Road, Rd 3, Bombay, 2579
, New Zealand",,,,,,,,,,,,
240,1332666,9429035929932,12 Jun 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1332666,1332666,,"51 Lynn Road, Glenfield, Auckland
, New Zealand","51 Lynn Road, Glenfield, Auckland
, New Zealand",,,,,,,,,,,,
241,870342,9429038025433,11 Aug 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco870342,870342,,"10b Burnmurdoch Street, St Andrews, Hamilton
, New Zealand","10b Burnmurdoch Street, St Andrews, Hamilton
, New Zealand",,,,,,,,,,,,
242,816575,9429038283178,01 Jul 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco816575,816575,,"C/- Kpmg, 18 Viaduct Harbour Avenue, Maritime Square , Auckland
, New Zealand","C/- Kpmg, 18 Viaduct Harbour Avenue, Maritime Square , Auckland
, New Zealand",June,,,,,,,,,,,
243,199992,9429040032030,22 Jun 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco199992,199992,,"C/o Cowley Staich & Co, Main Street, Huntly
, New Zealand","-
, New Zealand",,,,,,,,,,,,
244,70228,9429040642536,25 Mar 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco70228,70228,,"2nd Floor Lorne Towers, Lorne Street, Auckland
, New Zealand",,,,,,,,,,,,,
245,1612567,9429034879559,16 Mar 2005,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1612567,1612567,,"4b Rajputana Way, Wellington 6035
, New Zealand","4b Raptutana Way, Wellington
, New Zealand",,,,,,,,,,,,
246,5895507,9429042205227,24 Feb 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5895507,5895507,,"95 Medallion Drive, Oteha, Auckland, 0632
, New Zealand","95 Medallion Drive, Oteha, Auckland, 0632
, New Zealand",,,,,,,,,,,,
247,1924554,9429033508245,22 Mar 2007,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1924554,1924554,,"Vanburwray Chartered Accountants Limited, 7 Liardet Street, New Plymouth, 4310
, New Zealand","Vanburwray Chartered Accountants Limited, 7 Liardet Street, New Plymouth, 4310
, New Zealand",,,,,,,,,,,,
248,186039,9429040125138,04 Sep 1963,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco186039,186039,,"Lowe Road, R D 6, Tauranga
, New Zealand",,,,,,,,,,,,,
249,145498,9429040316260,30 Jul 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco145498,145498,,"C/o Barr Burgess & Stewart, N Z Express Co Bldg, 9 11 Bond St, Dunedin
, New Zealand",,,,,,,,,,,,,
250,1014616,9429037367978,25 Feb 2000,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1014616,1014616,,"Keith Yardley & Associates Limited, 237 Wairakei Road, Bryndwr, Christchurch, 8053
, New Zealand","Keith Yardley & Associates Limited, 237 Wairakei Road, Bryndwr, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
251,1009917,9429037392758,19 Jan 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1009917,1009917,,"Level 2, Bayleys Building, 678 Victoria Street
, New Zealand","Level 2, Bayleys Building, 678 Victoria Street
, New Zealand",,"RODEWALD, Thomas Lee",BDO TAURANGA LIMITED 750,64 7 5716280,,04 Jun 2014,"In respect of all the company's present and afteracquired property, and all personal property in which the Company has rights, whether now or in the future.","Notice of End of Receivership 
      						
      							
      								Filed
    							
    							
							
							 28 Oct 2014",,,,
252,6208459,9429045908941,23 Jan 2017,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6208459,6208459,,"19 Evelyn Place, Hillcrest, Auckland, 0627
, New Zealand","19 Evelyn Place, Hillcrest, Auckland, 0627
, New Zealand",March,,,,,,,,,,,
253,5941567,9429042274551,04 Apr 2016,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5941567,5941567,,"25 Kilear Close, Pinehill, Auckland, 0632
, New Zealand","25 Kilear Close, Pinehill, Auckland, 0632
, New Zealand",,,,,,,,,,,,
254,106503,9429040383439,06 Sep 1979,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco106503,106503,,"67 Birkenhead Ave, Birkenhead, Auckland 10
, New Zealand",,,,,,,,,,,,,
255,709312,9429038377532,21 Dec 1995,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco709312,709312,,"J & J Bain, 2 Isipho Court, Feilding, Feilding, 4702
, New Zealand","J & J Bain, 2 Isipho Court, Feilding, Feilding, 4702
, New Zealand",,,,,,,,,,,,
256,4904159,9429041061053,17 Jan 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4904159,4904159,,"27 Matuku Street, Selwyn Heights, Rotorua, 3010
, New Zealand","27 Matuku Street, Selwyn Heights, Rotorua, 3010
, New Zealand",,,,,,,,,,,,
257,3949438,9429030556386,14 Aug 2012,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3949438,3949438,,"59 Jimeda Road, Rd 2, Pokeno, 2472
, New Zealand","59 Jimeda Road, Rd 2, Pokeno, 2472
, New Zealand",,,,,,,,,,,,
258,592220,9429038834844,21 Jun 1993,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco592220,592220,,"7th Floor, Price Waterhouse Centre, 11-17 Church Street, Wellington
, New Zealand",,,,,,,,,,,,,
259,83063,9429040567440,13 Dec 1971,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco83063,83063,,"11 A Putini Rd, Mangere, Auckland
, New Zealand","11 A Putini Rd, Mangere, Auckland
, New Zealand",,,,,,,,,,,,
260,93904,9429040489629,24 Mar 1975,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco93904,93904,,"39 Andrew Road, Howick, Auckland
, New Zealand","39 Andrew Road, Howick, Auckland
, New Zealand",,,,,,,,,,,,
261,648270,9429038605574,18 May 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco648270,648270,,"13 Cranwell Street, Churton Park, Wellington
, New Zealand","13 Cramwell Street, Churton Park, Wellington
, New Zealand",,,,,,,,,,,,
262,302436,9429039744487,04 Apr 1986,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco302436,302436,,"Anderson Kendall Limited, 2nd Floor, N Z I Building, 507 Lake Road, Takapuna, Auckland
, New Zealand","Anderson Kendall Limited, 2nd Floor, N Z I Building, 507 Lake Road, Takapuna, Auckland
, New Zealand",,,,,,,,,,,,
263,5917229,9429042242444,16 Mar 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5917229,5917229,,"1073b Huia Road, Huia, Auckland, 0604
, New Zealand","1073b Huia Road, Huia, Auckland, 0604
, New Zealand",,,,,,,,,,,,
264,169968,9429040177748,28 Apr 1944,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco169968,169968,,"C/o Messrs Vanburnray Associates, 7 Liardet Street, New Plymouth
, New Zealand","-
, New Zealand",,,,,,,,,,,,
265,5339341,9429041298053,25 Jun 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5339341,5339341,,"Leech & Partners Limited, 44 Mandeville Street, Riccarton, Christchurch, 8011
, New Zealand","Leech & Partners Limited, 44 Mandeville Street, Riccarton, Christchurch, 8011
, New Zealand",,,,,,,,,,,,
266,4309458,9429030337459,26 Feb 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4309458,4309458,,"18 Valley View, Bethlehem, Tauranga, 3110
, New Zealand","18 Valley View, Bethlehem, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
267,8711,9429040949307,21 Jun 1954,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco8711,8711,,"69 Rutherford St, Lower Hutt
, New Zealand",,,,,,,,,,,,,
268,1036000,9429037257491,23 May 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1036000,1036000,,"11 Devoy Drive, Rotorua
, New Zealand","11 Devoy Drive, Rotorua
, New Zealand",,,,,,,,,,,,
269,851227,9429038118166,09 Apr 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco851227,851227,,"4th Floor, Insignis House, 192 Cashel Street, Christchurch
, New Zealand","4th Floor, Insignis House, 192 Cashel Street, Christchurch
, New Zealand",,,,,,,,,,,,
270,3210606,9429031290159,02 Dec 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3210606,3210606,,"ACCOUNTING & TAXATION CENTRE LIMITED, 13-17 Putaitai Street, Stoke, Nelson, 7041
, New Zealand","ACCOUNTING & TAXATION CENTRE LIMITED, 13-17 Putaitai Street, Stoke, Nelson, 7041
, New Zealand",,,,,,,,,,,,
271,806517,9429038330889,29 Apr 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco806517,806517,,"C/- Brian Byers & Co Ltd, ""lindale"", Main Road North, Paraparaumu
, New Zealand","C/- Brian Byers & Co Ltd, ""lindale"", Main Road North, Paraparaumu
, New Zealand",,,,,,,,,,,,
272,112192,9429032126242,01 Sep 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco112192,112192,,"23 Hattaway Ave, Bucklands Beach, Auckland
, New Zealand",,,,,,,,,,,,,
273,6120528,9429043350001,29 Sep 2016,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6120528,6120528,,"Flat 1, 125 Ash Street, Avondale, Auckland, 1026
, New Zealand","Flat 1, 125 Ash Street, Avondale, Auckland, 1026
, New Zealand",,,,,,,,,,,,
274,165656,9429040201443,19 Dec 1979,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco165656,165656,,"Gardiner Knobloch & Gust, Chartered Accountants, Wilket House, Shakespeare Road, Napier
, New Zealand","-
, New Zealand",,,,,,,,,,,,
275,7853070,9429047831704,04 Dec 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7853070,7853070,,"Suite 18, 18 Link Drive, Wairau Valley, Auckland, 0627
, New Zealand","Suite 18, 18 Link Drive, Wairau Valley, Auckland, 0627
, New Zealand",,,,,,,,,,,,
276,1981209,9429033157535,03 Sep 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1981209,1981209,,"C/-rise Accountants Counties Ltd, 48 Queen Street, Waiuku, 2341
, New Zealand","C/-rise Accountants Counties Ltd, 48 Queen Street, Waiuku, 2341
, New Zealand",,,,,,,,,,,,
277,2120333,9429032791105,24 Apr 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2120333,2120333,,"37a Hei Hei Road, Hei Hei, Christchurch, 8042
, New Zealand","37a Hei Hei Road, Hei Hei, Christchurch, 8042
, New Zealand",,,,,,,,,,,,
278,58326,9429040694290,10 Jul 1959,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco58326,58326,,"Whitelaw Weber Ltd, 2 Clifford Street, Kaikohe
, New Zealand","Whitelaw Weber Ltd, 2 Clifford Street, Kaikohe
, New Zealand",,,,,,,,,,,,
279,82686,9429040572161,21 Oct 1971,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco82686,82686,,"C/- Kpmg, 18 Viaduct Harbour Avenue, Maritime Square , Auckland
, New Zealand","C/- Kpmg, 18 Viaduct Harbour Avenue, Maritime Square , Auckland
, New Zealand",,,,,,,,,,,,
280,6092860,9429042535669,25 Aug 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6092860,6092860,,"37 Wilson Road, Waihi Beach, Waihi Beach, 3611
, New Zealand","37 Wilson Road, Waihi Beach, Waihi Beach, 3611
, New Zealand",,,,,,,,,,,,
281,1411050,9429035739647,30 Sep 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1411050,1411050,,"42 Whau Valley Road, Whau Valley, Whangarei, 0112
, New Zealand","42 Whau Valley Road, Whau Valley, Whangarei, 0112
, New Zealand",,,,,,,,,,,,
282,1753113,9429034363652,05 Jan 2006,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1753113,1753113,,"12 Monarch Boulevard, Kaiapoi, 7630
, New Zealand","12 Monarch Boulevard, Kaiapoi, 7630
, New Zealand",,,,,,,,,,,,
283,4984380,9429041106617,25 Feb 2014,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4984380,4984380,,"10 Collins Street, Morningside, Auckland, 1025
, New Zealand","10 Collins Street, Morningside, Auckland, 1025
, New Zealand",,,,,,,,,,,,
284,5746826,9429041850633,13 Jul 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5746826,5746826,,"65 Castor Bay Road, Castor Bay, Auckland, 0620
, New Zealand","65 Castor Bay Road, Castor Bay, Auckland, 0620
, New Zealand",,,,,,,,,,,,
285,79137,9429040593647,13 May 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco79137,79137,,"C/o J C R Sturrock, Matauri Bay Rd, Kaeo R D 2, North Auckland
, New Zealand",,,,,,,,,,,,,
286,92215,9429040503585,19 Aug 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco92215,92215,,"127 Victoria St, Dargaville
, New Zealand",,,,,,,,,,,,,
287,76861,9429040605609,20 Jun 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco76861,76861,,"C/o Slight & Mazur, Chartered Accountants, 157 Great South Rd, Manurewa
, New Zealand",,,,,,,,,,,,,
288,130126,9429031915052,27 Sep 1967,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco130126,130126,,"244 Antigua Street, Christchurch
, New Zealand","244 Antigua Street, Christchurch
, New Zealand",,,,,,,,,,,,
289,1740890,9429034398661,06 Dec 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1740890,1740890,,"1/18 White Swan Road, Mt. Roskill, Auckland
, New Zealand","1/18 White Swan Road, Mt.roskill, Auckland
, New Zealand",,,,,,,,,,,,
