,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,FRA Reporting Month:
143,23337,9429040881416,17 Mar 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco23337,23337,,"36 Manaia Road, Tairua
, New Zealand",,,
144,,,,,,,,,1827144,,,,,
145,,,,,,,,,97552,,,,,
146,,,,,,,,,981084,,,,,
147,,,,,,,,,2241246,,,,,
148,967917,9429037541675,06 Jul 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco967917,967917,,"72 Vale Rd, St Heliers, Auckland
, New Zealand","72 Vale Rd, St Heliers, Auckland
, New Zealand",Showing 2 of 4 directors,
149,,,,,,,,,163768,,,,,
150,,,,,,,,,7547077,,,,,
151,,,,,,,,,6079982,,,,,
152,,,,,,,,,627173,,,,,
153,16858,9429040912226,17 Nov 1964,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco16858,16858,,"11 Watt Street, Wanganui
, New Zealand",,,
154,,,,,,,,,167592,,,,,
155,,,,,,,,,3537754,,,,,
156,,,,,,,,,201459,,,,,
157,,,,,,,,,118677,,,,,
158,1277412,9429036119455,21 Feb 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1277412,1277412,,"Rsm Prince, 17c Corinthian Drive, Albany, North Shore City
, New Zealand","Rsm Prince, 17c Corinthian Drive, Albany, North Shore City
, New Zealand",Showing 1 of 1 directors,
159,,,,,,,,,10475,,,,,
160,,,,,,,,,4007598,,,,,
161,,,,,,,,,88514,,,,,
162,,,,,,,,,82040,,,,,
163,1919596,9429033542492,30 Mar 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1919596,1919596,,"267 Estuary Road, South Brighton, Christchurch
, New Zealand","267 Estuary Road, South Brighton, Christchurch
, New Zealand",Showing 1 of 1 directors,
164,,,,,,,,,699643,,,,,
165,,,,,,,,,3086845,,,,,
166,,,,,,,,,8169352,,,,,
167,,,,,,,,,4648780,,,,,
168,201104,9429040014258,01 Oct 1982,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco201104,201104,,"Cowley Stanich & Co, 224 Main St, P O Box 103, Huntly
, New Zealand",,Showing 2 of 2 directors,
169,,,,,,,,,2186163,,,,,
170,,,,,,,,,927821,,,,,
171,,,,,,,,,11992,,,,,
172,,,,,,,,,31391,,,,,
173,186572,9429040121413,12 Aug 1964,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco186572,186572,,"2 Judkins Cres, Howick, Auckland
, New Zealand",,,
174,,,,,,,,,2226047,,,,,
175,,,,,,,,,5166661,,,,,
176,,,,,,,,,706523,,,,,
177,,,,,,,,,153853,,,,,
178,174220,9429040151410,23 Dec 1931,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco174220,174220,,"C/o W H Somerville, 6 Neal St, Putaruru
, New Zealand",,,
179,,,,,,,,,924080,,,,,
180,,,,,,,,,17166,,,,,
181,,,,,,,,,911092,,,,,
182,,,,,,,,,175576,,,,,
183,622869,9429038717611,29 Jun 1994,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco622869,622869,,"5th Floor, 44 Queens Drive, Lower Hutt
, New Zealand","C/- Hethington Johnston, 5th Floor , 44 Queens Drive, Lower Hutt
, New Zealand",Showing 2 of 2 directors,
184,,,,,,,,,1800302,,,,,
185,,,,,,,,,8466994,,,,,
186,,,,,,,,,817415,,,,,
187,,,,,,,,,16555,,,,,
188,157603,9429040251554,17 Jun 1976,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco157603,157603,,"C/- Coopers & Lybrand, Ground Floor, Forsyth Barr House, The Octagon, Dunedin
, New Zealand","C/- Coopers Lybrand, Forsyth Barr House, The Octagon, Dunedin
, New Zealand",Showing 2 of 2 directors,
189,,,,,,,,,167832,,,,,
190,,,,,,,,,103100,,,,,
191,,,,,,,,,1921001,,,,,
192,,,,,,,,,5085661,,,,,
193,1687941,9429034567784,04 Sep 2005,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1687941,1687941,,"22b White Street, Taradale, Napier, 4112
, New Zealand","22b White Street, Taradale, Napier, 4112
, New Zealand",Showing 2 of 3 directors,
194,,,,,,,,,2053873,,,,,
195,,,,,,,,,9647,,,,,
196,,,,,,,,,81949,,,,,
197,108276,9429032252576,02 May 1980,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco108276,108276,,"208 Gt Sth Rd, Hunters Cnrs, Papatoetoe
, New Zealand",,,
198,,,,,,,,,1732399,,,,,
199,,,,,,,,,1150583,,,,,
200,,,,,,,,,635138,,,,,
201,,,,,,,,,61260,,,,,
202,946995,9429037657376,22 Mar 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco946995,946995,,"48 Holbrook Street, Blockhouse Bay, Auckland
, New Zealand","48 Holbrook Street, Blockhouse Bay, Auckland
, New Zealand",Showing 2 of 2 directors,
203,,,,,,,,,90194,,,,,
204,,,,,,,,,1808918,,,,,
205,,,,,,,,,86537,,,,,
206,,,,,,,,,2182660,,,,,
207,131119,9429031905008,03 Apr 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco131119,131119,,"1 Rimu St, Christchurch
, New Zealand",,,
208,,,,,,,,,1594203,,,,,
209,,,,,,,,,6710354,,,,,
210,,,,,,,,,2073196,,,,,
211,,,,,,,,,1198982,,,,,
212,9948,9429040944838,06 Jul 1956,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco9948,9948,,"27 Kings Crescent, Lower Hutt
, New Zealand",,,
213,,,,,,,,,60893,,,,,
214,,,,,,,,,674747,,,,,
215,,,,,,,,,927661,,,,,
216,,,,,,,,,5969088,,,,,
217,4549828,9429030135864,17 Jul 2013,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco4549828,4549828,,"Flat 1, 21a Tennyson Avenue, Avalon, Lower Hutt, 5011
, New Zealand","Flat 1, 21a Tennyson Avenue, Avalon, Lower Hutt, 5011
, New Zealand",Showing 1 of 1 directors,
218,,,,,,,,,1199633,,,,,
219,,,,,,,,,8148928,,,,,
220,,,,,,,,,184419,,,,,
221,,,,,,,,,3320451,,,,,
222,5595739,9429041610244,16 Feb 2015,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5595739,5595739,,"Brian A Stewart, 16 Te Ana Place, Lynmore, Rotorua, 3010
, New Zealand","Brian A Stewart, 16 Te Ana Place, Lynmore, Rotorua, 3010
, New Zealand",Showing 1 of 1 directors,
223,,,,,,,,,1214992,,,,,
224,,,,,,,,,1193953,,,,,
225,,,,,,,,,127092,,,,,
226,,,,,,,,,2064166,,,,,
227,697507,9429038412677,04 Oct 1995,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco697507,697507,,"C/- Offices Of David Graham Law Office, Solicitors, 13 Queens Road, Panmure, Auckland
, New Zealand","C/- Offices Of David Graham Law Office, Solicitors, 13 Queens Road, Panmure, Auckland
, New Zealand",Showing 2 of 2 directors,
228,,,,,,,,,62922,,,,,
229,,,,,,,,,1287856,,,,,
230,,,,,,,,,3775738,,,,,
231,49000,9429040728438,05 Jul 1951,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco49000,49000,,"1st Floor, Ian Packers Building, Queen Street, Warkworth
, New Zealand",,,
232,,,,,,,,,2322359,,,,,
233,,,,,,,,,3300388,,,,,
234,,,,,,,,,154448,,,,,
235,,,,,,,,,49350,,,,,
236,27069,9429040860275,18 Dec 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco27069,27069,,"W R F Mills Esq, Chartered Accountant, 223 Victoria Avenue, Palmerston North
, New Zealand",,,
237,,,,,,,,,1171028,,,,,
238,,,,,,,,,1019489,,,,,
239,,,,,,,,,1217564,,,,,
240,,,,,,,,,1214557,,,,,
241,1584942,9429035044208,09 Dec 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1584942,1584942,,"89 Market Street, Te Awamutu
, New Zealand","89 Market Street, Te Awamutu
, New Zealand",Showing 2 of 2 directors,
242,,,,,,,,,6262148,,,,,
243,195693,9429040068374,16 Oct 1975,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco195693,195693,,"C/o Mclaren Guise Associates, 15/19 Edsel Street, Henderson, Auckland 8
, New Zealand","-
, New Zealand",,
244,,,,,,,,,927219,,,,,
245,,,,,,,,,19573,,,,,
246,,,,,,,,,166584,,,,,
247,,,,,,,,,150222,,,,,
248,1839577,9429034001172,27 Jul 2006,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1839577,1839577,,"74 Simla Crescent, Khandallah, Wellington, 6035
, New Zealand","74 Simla Crescent, Khandallah, Wellington, 6035
, New Zealand",Showing 1 of 1 directors,
249,,,,,,,,,2310340,,,,,
250,,,,,,,,,4096118,,,,,
251,,,,,,,,,948450,,,,,
252,,,,,,,,,3395554,,,,,
253,68576,9429040652436,26 May 1965,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco68576,68576,,"80 Greys Ave, Auckland
, New Zealand",,,
254,,,,,,,,,5556141,,,,,
255,,,,,,,,,5525805,,,,,
256,,,,,,,,,61164,,,,,
257,,,,,,,,,9830,,,,,
258,22243,9429040888507,11 Jun 1969,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco22243,22243,,"Grant Thornton, 8th Floor, 120 Victoria Street, Wellington
, New Zealand","Grant Thornton, 8th Floor, 120 Victoria Street, Wellington
, New Zealand",Showing 1 of 1 directors,
259,,,,,,,,,2307709,,,,,
260,,,,,,,,,616523,,,,,
261,,,,,,,,,62648,,,,,
262,,,,,,,,,3261,,,,,
263,1106614,9429037053703,19 Dec 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1106614,1106614,,"Insolvency Management Limited, Level 1, 148 Victoria Street, Christchurch
, New Zealand","Insolvency Management Limited, Level 1, 148 Victoria Street, Christchurch
, New Zealand",Showing 1 of 1 directors,
264,,,,,,,,,1892846,,,,,
265,,,,,,,,,1071048,,,,,
266,,,,,,,,,147559,,,,,
267,,,,,,,,,7488120,,,,,
268,1061299,9429037158958,19 Sep 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1061299,1061299,,"89c Namata Rd, One Tree Hill, Auckland
, New Zealand","89c Namata Rd, One Tree Hill, Auckland
, New Zealand",Showing 1 of 1 directors,
269,,,,,,,,,2162584,,,,,
270,,,,,,,,,66128,,,,,
271,,,,,,,,,69614,,,,,
272,,,,,,,,,952469,,,,,
273,68342,9429040655390,15 Apr 1965,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco68342,68342,,"Spicer & Oppenheim, Homestead Road, Kerikeri
, New Zealand","Spicer & Oppenheim, Homestead Road, Kerikeri
, New Zealand",Showing 2 of 2 directors,
274,,,,,,,,,6355813,,,,,
275,,,,,,,,,153202,,,,,
276,,,,,,,,,25151,,,,,
277,,,,,,,,,1252698,,,,,
278,5431081,9429041378410,22 Aug 2014,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5431081,5431081,,"12 Picton Street, Howick, Auckland, 2014
, New Zealand","12 Picton Street, Howick, Auckland, 2014
, New Zealand",Showing 1 of 1 directors,
279,,,,,,,,,2179956,,,,,
280,,,,,,,,,10848,,,,,
281,,,,,,,,,62665,,,,,
282,,,,,,,,,1518193,,,,,
283,4185,9429040966588,18 May 1942,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco4185,4185,,"Main Rd, Paraparaumu
, New Zealand",,Showing 2 of 2 directors,
284,,,,,,,,,604321,,,,,
285,,,,,,,,,160585,,,,,
286,,,,,,,,,1017572,,,,,
287,,,,,,,,,6130587,,,,,
288,4608900,9429030089488,22 Aug 2013,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco4608900,4608900,,"47 Chancery Street, Auckland Central, Auckland, 1010
, New Zealand","17a Wapiti Avenue, Epsom, Auckland, 1051
, New Zealand",Showing 1 of 1 directors,
289,,,,,,,,,187979,,,,,
290,,,,,,,,,49541,,,,,
291,,,,,,,,,802501,,,,,
292,,,,,,,,,1927273,,,,,
293,,,,,,,,,1133805,,,,,
294,866860,9429038039669,31 Jul 1997,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco866860,866860,,"10 Pepperdine Place, Albany, Auckland
, New Zealand","10 Pepperdine Place, Albany, Auckland
, New Zealand",Showing 1 of 1 directors,
295,,,,,,,,,54091,,,,,
296,,,,,,,,,98659,,,,,
297,,,,,,,,,1511112,,,,,
298,,,,,,,,,105481,,,,,
299,1544250,9429035236313,10 Aug 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1544250,1544250,,"Suite 6 Professional Suites, 9 Lynden Court, Chartwell, Hamilton
, New Zealand","Suite 6 Professional Suites, 9 Lynden Court, Chartwell, Hamilton
, New Zealand",Showing 2 of 2 directors,
300,,,,,,,,,194818,,,,,
301,,,,,,,,,187917,,,,,
302,,,,,,,,,154905,,,,,
303,,,,,,,,,60717,,,,,
304,1043736,9429037220990,23 Jun 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1043736,1043736,,"Hfk Limited, 567 Wairakei Road, Christchurch
, New Zealand","Croys Ltd, Level 2, 161 Burnett Street, Ashburton 7700
, New Zealand",Showing 1 of 1 directors,
305,,,,,,,,,133834,,,,,
306,180857,9429040135946,25 Oct 1957,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco180857,180857,,"Marsden Rd, Waitangi
, New Zealand",,,
307,,,,,,,,,18805,,,,,
308,,,,,,,,,1272633,,,,,
309,,,,,,,,,1504996,,,,,
310,,,,,,,,,2419068,,,,,
311,154748,9429040268958,11 Jun 1947,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco154748,154748,,"Gore St, Bluff
, New Zealand",,,
312,,,,,,,,,122338,,,,,
313,,,,,,,,,54543,,,,,
314,,,,,,,,,42225,,,,,
315,,,,,,,,,83220,,,,,
316,1619083,9429034843260,21 Apr 2005,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1619083,1619083,,"Howard Padman, Chartered Accountants Limited, 18 Napier Road, Havelock North
, New Zealand","Howard Padman, Chartered Accountants Limited, 18 Napier Road, Havelock North
, New Zealand",Showing 1 of 1 directors,
317,,,,,,,,,1491374,,,,,
318,69400,9429040646053,07 Oct 1965,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco69400,69400,,"1411 Whangaparaoa Road, Whangaparaoa
, New Zealand","1411 Whangaparaoa Road, Whangaparaoa
, New Zealand",Showing 1 of 1 directors,
319,,,,,,,,,1602235,,,,,
320,,,,,,,,,105394,,,,,
321,,,,,,,,,198919,,,,,
322,,,,,,,,,1565128,,,,,
323,1233997,9429036363353,19 Aug 2002,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1233997,1233997,,"Level 17, 126 Vincent Street, Auckland
, New Zealand","Level 17, 126 Vincent Street, Auckland
, New Zealand",Showing 1 of 1 directors,
324,,,,,,,,,87882,,,,,
325,,,,,,,,,532659,,,,,
326,,,,,,,,,75961,,,,,
327,,,,,,,,,163710,,,,,
328,161495,9429040233499,07 Nov 1963,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco161495,161495,,"MCI & Associates, Chartered Accountants, 6 Gordon Street, Dannevirke, 4930
, New Zealand","Mci & Associates, 6 Gordon Street, Dannevirke, 4930
, New Zealand",Showing 1 of 1 directors,
329,,,,,,,,,189713,,,,,
330,,,,,,,,,8154806,,,,,
331,,,,,,,,,1218230,,,,,
332,,,,,,,,,2234286,,,,,
333,,,,,,,,,1897410,,,,,
334,887294,9429037946746,09 Dec 1997,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco887294,887294,,"C/- Terry Carter, Chartered Accountant, 21 Garland Road, Greenlane, Auckland
, New Zealand","C/- Terry Carter, Chartered Accountant, 21 Garland Road, Greenlane, Auckland
, New Zealand",Showing 2 of 2 directors,
335,,,,,,,,,14578,,,,,
336,,,,,,,,,65549,,,,,
337,,,,,,,,,3453611,,,,,
338,,,,,,,,,10425,,,,,
339,592546,9429038835377,08 Jun 1993,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco592546,592546,,"Gerard Hulst & Associates, Ground Floor, 26 Hobson Street, Auckland 1
, New Zealand","Gerard Hulst & Associates, Ground Floor, 26 Hobson Street, Auckland 1
, New Zealand",Showing 2 of 2 directors,
340,,,,,,,,,3213189,,,,,
341,,,,,,,,,1698205,,,,,
342,,,,,,,,,1818775,,,,,
343,,,,,,,,,69702,,,,,
344,,,,,,,,,1234901,,,,,
345,961961,9429037571825,03 Jun 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco961961,961961,,"Prosser Quirke Limited, 6 Blake Street, Rangiora
, New Zealand","Prosser Quirke Limited, 6 Blake Street, Rangiora
, New Zealand",Showing 2 of 2 directors,
346,,,,,,,,,65986,,,,,
347,2426748,9429031638531,05 Mar 2010,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2426748,2426748,,"2697 State Highway 2, R D 2, Katikati 3178
, New Zealand","2697 State Highway 2, R D 2, Katikati 3178
, New Zealand",Showing 2 of 2 directors,
348,,,,,,,,,172204,,,,,
349,,,,,,,,,524906,,,,,
350,,,,,,,,,143357,,,,,
351,,,,,,,,,428826,,,,,
352,959373,9429037588120,19 May 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco959373,959373,,"32 St Ives Drive, Camborne, Wellington
, New Zealand","32 St Ives Drive, Camborne, Wellington
, New Zealand",Showing 1 of 1 directors,
353,,,,,,,,,69913,,,,,
354,5759,9429040959795,28 Jun 1948,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco5759,5759,,"Arthur Young, Level 11 Bnz Centre, 1 Willis Street, Wellington
, New Zealand",,,
355,,,,,,,,,1503415,,,,,
356,,,,,,,,,132208,,,,,
357,,,,,,,,,1728282,,,,,
358,,,,,,,,,1940783,,,,,
359,101861,9429040424965,21 Oct 1977,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco101861,101861,,"Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand","Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand",Showing 1 of 1 directors,
360,,,,,,,,,8142517,,,,,
361,,,,,,,,,1045148,,,,,
362,,,,,,,,,1442490,,,,,
363,,,,,,,,,28214,,,,,
364,128670,9429031929493,23 Aug 1965,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco128670,128670,,"12 Main North Road, Christchurch
, New Zealand",,Showing 2 of 3 directors,
365,,,,,,,,,160459,,,,,
366,5971497,9429042322276,02 May 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5971497,5971497,,"RYAN ACCOUNTING LIMITED, 86 Trig Road, Whenuapai, Waitakere, 0618
, New Zealand","RYAN ACCOUNTING LIMITED, 86 Trig Road, Whenuapai, Waitakere, 0618
, New Zealand",Showing 2 of 2 directors,
367,,,,,,,,,138791,,,,,
368,,,,,,,,,134405,,,,,
369,,,,,,,,,2364081,,,,,
370,,,,,,,,,932727,,,,,
371,,,,,,,,,71408,,,,,
372,137379,9429040373553,30 Mar 1976,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco137379,137379,,"Ashton Wheelans & Hegan, 127 Armagh St, Christchurch
, New Zealand",,Showing 1 of 1 directors,
373,,,,,,,,,163856,,,,,
374,2302655,9429032020571,26 Aug 2009,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2302655,2302655,,"C/- C & C Strategic Limited, Level 1, 26 Crummer Road, Grey Lynn, Auckland, 1021
, New Zealand","C/- C & C Strategic Limited, Level 1, 26 Crummer Road, Grey Lynn, Auckland, 1021
, New Zealand",Showing 1 of 1 directors,
375,,,,,,,,,1276399,,,,,
376,,,,,,,,,188831,,,,,
377,,,,,,,,,98232,,,,,
378,,,,,,,,,5638168,,,,,
379,,,,,,,,,4279898,,,,,
380,1611230,9429034888797,15 Mar 2005,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1611230,1611230,,"46 Kuratawhiti Street, Greytown, 5712
, New Zealand","46 Kuratawhiti Street, Greytown, 5712
, New Zealand",Showing 1 of 1 directors,
381,,,,,,,,,187290,,,,,
382,16737,9429040914466,09 Oct 1964,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco16737,16737,,"104 Tireti Rd, Titahi Bay, Wellington
, New Zealand",,Showing 2 of 2 directors,
383,,,,,,,,,8658,,,,,
384,,,,,,,,,125262,,,,,
385,,,,,,,,,1042563,,,,,
386,,,,,,,,,2075839,,,,,
387,,,,,,,,,1209117,,,,,
388,3663871,9429030877153,25 Nov 2011,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3663871,3663871,,"220 Waimea Road, Bishopdale, Nelson, 7011
, New Zealand","220 Waimea Road, Bishopdale, Nelson, 7011
, New Zealand",Showing 2 of 3 directors,March
389,,,,,,,,,4791499,,,,,
390,1981241,9429033156033,20 Sep 2007,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1981241,1981241,,"C/-yovich Hayward Pevats Johnston Ltd, 23 Rathbone Street, Whangarei
, New Zealand","C/-yovich Hayward Pevats Johnston Ltd, 23 Rathbone Street, Whangarei
, New Zealand",Showing 1 of 1 directors,
391,,,,,,,,,1855672,,,,,
392,,,,,,,,,5728601,,,,,
393,,,,,,,,,1754058,,,,,
394,,,,,,,,,870299,,,,,
395,,,,,,,,,2027794,,,,,
396,873554,9429038008023,02 Sep 1997,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco873554,873554,,"C/-accounting Solutions Ltd, Level 1, 22 Foster Str, Riccarton, Christchurch
, New Zealand","198a Clifton Terrace, Redcliffs, Christchurch
, New Zealand",Showing 1 of 1 directors,
397,,,,,,,,,1432081,,,,,
398,1806164,9429034163665,20 Apr 2006,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1806164,1806164,,"32 Ribbonwood Crescent, Manukau Heights
, New Zealand","32 Ribbonwood Crescent, Manukau Heights
, New Zealand",Showing 1 of 1 directors,
399,,,,,,,,,4416,,,,,
400,486022,9429039173324,12 Sep 1990,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco486022,486022,,"203 Edgeware Road, Christchurch
, New Zealand",,Showing 2 of 2 directors,
401,,,,,,,,,682380,,,,,
402,146133,9429040313726,28 Apr 1961,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco146133,146133,,"Shand Thomson & Co, 102-104 Clyde Street, Balclutha
, New Zealand","-
, New Zealand",Showing 2 of 2 directors,
403,,,,,,,,,127404,,,,,
404,,,,,,,,,1187355,,,,,
405,,,,,,,,,20182,,,,,
406,,,,,,,,,5055160,,,,,
407,,,,,,,,,181264,,,,,
408,493365,9429039151926,15 Jan 1932,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco493365,493365,,"64-66 Huia Road, Otahuhu, Auckland
, New Zealand",,Showing 1 of 1 directors,
409,,,,,,,,,856835,,,,,
410,,,,,,,,,1775465,,,,,
411,,,,,,,,,166303,,,,,
412,,,,,,,,,2379139,,,,,
413,,,,,,,,,8197029,,,,,
414,1186478,9429036637331,26 Feb 2002,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1186478,1186478,,"10 Tennyson Street, Petone, Lower Hutt, 5012
, New Zealand","10 Tennyson Street, Petone, Lower Hutt, 5012
, New Zealand",Showing 1 of 1 directors,
415,,,,,,,,,890858,,,,,
416,,,,,,,,,972376,,,,,
417,,,,,,,,,151679,,,,,
418,,,,,,,,,1468504,,,,,
419,1836555,9429034012956,07 Jul 2006,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1836555,1836555,,"740 Wainui Road, Rd 2, Silverdale, 0992
, New Zealand","740 Wainui Road, Rd 2, Silverdale, 0992
, New Zealand",Showing 1 of 1 directors,
420,,,,,,,,,1730764,,,,,
421,9640,9429040946344,22 Dec 1955,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco9640,9640,,"102 Main Rd, Wainuiomata
, New Zealand",,,
422,,,,,,,,,3524751,,,,,
423,1564270,9429035141631,06 Oct 2004,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1564270,1564270,,"14 Ti Kouka Way, Rd 2, Kaiwaka, 0573
, New Zealand","14 Ti Kouka Way, Rd 2, Kaiwaka, 0573
, New Zealand",Showing 1 of 1 directors,
424,,,,,,,,,11332,,,,,
425,,,,,,,,,4085038,,,,,
426,,,,,,,,,6797494,,,,,
427,,,,,,,,,1979898,,,,,
428,,,,,,,,,14081,,,,,
429,885969,9429037952266,22 Dec 1997,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco885969,885969,,"Bdo, 29 Customs Street West, Auckland
, New Zealand","Bdo, 29 Customs Street West, Auckland
, New Zealand",Showing 1 of 1 directors,
430,,,,,,,,,528315,,,,,
431,,,,,,,,,2103874,,,,,
432,,,,,,,,,123348,,,,,
433,,,,,,,,,60390,,,,,
434,,,,,,,,,2134195,,,,,
435,6714894,9429046602527,16 Feb 2018,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6714894,6714894,,"Harpreet Gill, 1/101 Antigua Street, Christchurch, 8024
, New Zealand","Harpreet Gill, 1/101 Antigua Street, Christchurch, 8024
, New Zealand",Showing 1 of 1 directors,
436,,,,,,,,,1911039,,,,,
437,3236512,9429031258388,07 Jan 2011,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3236512,3236512,,"34 Atarangi Road, Greenlane, Auckland, 1051
, New Zealand","34 Atarangi Road, Greenlane, Auckland, 1051
, New Zealand",Showing 1 of 1 directors,
438,,,,,,,,,1244633,,,,,
439,926787,9429037757120,25 Sep 1998,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco926787,926787,,"New Zealand Insolvency & Trustee Service, Level 9, Boulcott House, 47 Boulcott Street, Wellington
, New Zealand","New Zealand Insolvency & Trustee Service, Level 9, Boulcott House, 47 Boulcott Street, Wellington
, New Zealand",Showing 1 of 1 directors,
440,,,,,,,,,2361421,,,,,
441,5153881,9429041200285,17 Apr 2014,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5153881,5153881,,"GURJI ACCOUNTING & TAXATION LIMITED, 5a Kinmont Rise, East Tamaki Heights, Auckland, 2016
, New Zealand","GURJI ACCOUNTING & TAXATION LIMITED, 5a Kinmont Rise, East Tamaki Heights, Auckland, 2016
, New Zealand",Showing 2 of 2 directors,
442,,,,,,,,,7132694,,,,,
443,,,,,,,,,54002,,,,,
444,,,,,,,,,154360,,,,,
445,,,,,,,,,1968373,,,,,
446,,,,,,,,,42806,,,,,
