,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ
263,27649,9429040858708,09 May 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco27649,27649,,"80a Queens Dr, Lower Hutt
, New Zealand",,,,,,
264,499635,9429039133595,20 Feb 1991,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco499635,499635,,"34 Beresford Street, Bayswater
, New Zealand",,Showing 2 of 2 directors,,,,
265,2101716,9429032876246,17 Mar 2008,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco2101716,2101716,,"6 Blake Street, Rangiora
, New Zealand","6 Blake Street, Rangiora
, New Zealand",Showing 2 of 2 directors,,,,
266,166793,9429040197012,02 Oct 1950,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco166793,166793,,"38 Halifax St, Nelson
, New Zealand","-
, New Zealand",,,,,
267,3730624,9429030784314,13 Mar 2012,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco3730624,3730624,,"MGI Auckland Limited, Chartered Accountants, Level 2, 81 Carlton Gore Road, Newmarket, Auckland, 1023
, New Zealand","MGI Auckland Limited, Chartered Accountants, Level 2, 81 Carlton Gore Road, Newmarket, Auckland, 1023
, New Zealand",Showing 1 of 1 directors,,,,
268,115774,9429032063646,05 Nov 1982,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco115774,115774,,"11 Anzac Street, Takapuna
, New Zealand",,Showing 2 of 2 directors,,,,
269,1476618,9429035575764,04 Feb 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1476618,1476618,,"19 Omana Avenue, Epsom, Auckland 1001
, New Zealand","19 Omana Avenue, Epsom, Auckland 1001
, New Zealand",Showing 1 of 1 directors,,,,
270,122183,9429031990660,02 Feb 1944,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco122183,122183,,"Official Assignee, Cnr Gloucester Street & Oxford Terrace, Christchurch
, New Zealand",,,,,,
271,1983406,9429033145440,25 Sep 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1983406,1983406,,"3/67 Boundary Road, Manukau, Auckland
, New Zealand","3/67 Boundary Road, Manukau, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
272,176096,9429040148229,30 Aug 1950,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco176096,176096,,"331 Gt South Rd, Auckland 5
, New Zealand",,,,,,
273,1976311,9429033186559,14 Aug 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1976311,1976311,,"5/71 Manston Road, Mangere, Auckland
, New Zealand","5/71 Manston Road, Mangere, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
274,296176,9429039765192,13 Mar 1986,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco296176,296176,,"Official Assignee 6th Floor, Justice Departmental Building, 3 Kingston Street, Auckland
, New Zealand","-
, New Zealand",,,,,
275,5903900,9429042224532,08 Mar 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5903900,5903900,,"2 Flotilla Drive, Whitby, Welllington, 0000
, New Zealand","2 Flotilla Drive, Whitby, Welllington, 0000
, New Zealand",Showing 2 of 2 directors,,,,
276,83468,9429040564494,28 Feb 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco83468,83468,,"200 Waimumu Rd, Massey, Auckland 8
, New Zealand",,,,,,
277,63505,9429040674704,24 Aug 1962,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco63505,63505,,"1230 Dominion Rd, Auckland 4
, New Zealand",,,,,,
278,1732065,9429034420133,01 Dec 2005,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1732065,1732065,,"Milne Maingay Chartered Accountants Limited, 2nd Floor, 15b Vestey Drive, Mt Wellington, Auckland, 1060
, New Zealand","Milne Maingay Chartered Accountants Limited, 2nd Floor, 15b Vestey Drive, Mt Wellington, Auckland, 1060
, New Zealand",Showing 2 of 2 directors,,,,
279,1448700,9429035662136,14 Nov 2003,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1448700,1448700,,"Biz Solutions Ltd, Chartered Accountants, Level 1, 46 Stanley Street, Parnell, Auckland, 1010
, New Zealand","Biz Solutions Ltd, Chartered Accountants, Level 1, 46 Stanley Street, Parnell, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,
280,2295154,9429032069440,15 Sep 2009,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2295154,2295154,,"326 Brook Street, The Brook, Nelson, 7010
, New Zealand","326 Brook Street, The Brook, Nelson, 7010
, New Zealand",Showing 1 of 1 directors,,,,
281,152056,9429040281124,31 May 1966,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco152056,152056,,"Whitehorse Drive, Whakatane
, New Zealand",,,,,,
282,1194514,9429036590803,11 Mar 2002,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1194514,1194514,,"7 Moxham Avenue, Hataitai, Wellington
, New Zealand","7 Moxham Avenue, Hataitai, Wellington
, New Zealand",Showing 2 of 3 directors,,,,
283,2454132,9429031580656,14 Apr 2010,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2454132,2454132,,"2/7 Nimstedt Ave, Albany, North Shore City, Auckland
, New Zealand","34 Compton St, Hillcrest, North Shore City, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
284,155621,9429040263007,23 Sep 1960,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco155621,155621,,"Official Assignee, 4th Floor M L C Building, Corner Princes & Manse Streets, Dunedin
, New Zealand",,,,,,
285,1307248,9429035968368,21 May 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1307248,1307248,,"1 Christie St, Mt Roskill, Auckland
, New Zealand","1 Christie St, Mt Roskill, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
286,162775,9429040224978,03 Dec 1968,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco162775,162775,,"43 Corunna Road, Milford, Auckland
, New Zealand",,,,,,
287,155993,9429040263564,17 Jun 1964,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco155993,155993,,"Messrs Cook Adam & Co, 181 Spey Street, Invercargill
, New Zealand",,,,,,
288,618288,9429038738647,26 May 1993,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco618288,618288,,"24 Nile Street, Nelson
, New Zealand","24 Nile Street, Nelson
, New Zealand",Showing 2 of 2 directors,,,,
289,4643462,9429030065437,11 Sep 2013,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco4643462,4643462,,"Stretton & Co Limited, 44 Heuheu Street, Taupo, Taupo, 3330
, New Zealand","Stretton & Co Limited, 44 Heuheu Street, Taupo, Taupo, 3330
, New Zealand",Showing 1 of 1 directors,,,,
290,644084,9429038625091,30 Mar 1994,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco644084,644084,,"Bill Ccarroll, First Floor, 8 Raroa Road, Lower Hutt
, New Zealand","33 Waterloo Road, Lower Hutt
, New Zealand",Showing 2 of 2 directors,,,,
291,828285,9429038229565,21 Oct 1996,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco828285,828285,,"16a Izard Road, Khandallah, Wellington, 6035
, New Zealand","16a Izard Road, Khandallah, Wellington, 6035
, New Zealand",Showing 1 of 1 directors,,,,
292,41551,9429040750583,28 Feb 1923,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco41551,41551,,"Kirk Barclay, 8th Flr Westpac Twr, 120 Albert St, Auckland
, New Zealand",,,,,,
293,364472,9429039542397,25 Sep 1987,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco364472,364472,,"C/- Mcdonald Brummer & Co, Legal House, 130 Queen Street East, Hastings
, New Zealand","-
, New Zealand",Showing 2 of 2 directors,,,,
294,114849,9429032082159,23 Jul 1982,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco114849,114849,,"Official Assignee, 6th Fl, Justice Departmental Building, 3 Kingston Street, Auckland
, New Zealand",,,,,,
295,2174262,9429032554175,29 Sep 2008,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2174262,2174262,,"FTM Holdings Ltd, 13 Queen Victoria Street, Motueka, 7120
, New Zealand","FTM Holdings Ltd, 13 Queen Victoria Street, Motueka, 7120
, New Zealand",Showing 1 of 1 directors,,,,
296,1046773,9429037205973,04 Jul 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1046773,1046773,,"4 Billabong Place, Howick, Auckland
, New Zealand","4 Billabong Place, Howick, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
297,1264204,9429036196746,13 Dec 2002,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1264204,1264204,,"267 Broadway Ave, Palmerston North
, New Zealand","267 Broadway Ave, Palmerston North
, New Zealand",Showing 2 of 2 directors,,,,
298,1493194,9429035481751,17 Mar 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1493194,1493194,,"1133 South Street, Papakura, Auckland
, New Zealand","1133 South Street, Papakura, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
299,1842314,9429033988924,17 Jul 2006,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1842314,1842314,,"Lowthers Auckland Ltd, Level 12, 191 Queen Street, Auckland
, New Zealand","Lowthers Auckland Ltd, Level 12, 191 Queen Street, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
300,198568,9429040042107,28 Sep 1979,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco198568,198568,,"603 State Highway 25, Waiomu, Thames Coast
, New Zealand","603 State Highway 25, Waiomu, Thames Coast
, New Zealand",Showing 2 of 2 directors,,,,
301,9861,9429040943060,30 May 1956,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco9861,9861,,"35 Burden Ave, Wainuiomata
, New Zealand",,,,,,
302,1244955,9429036299119,04 Oct 2002,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1244955,1244955,,"35 West Ridge Drive, Western Heights, Hamilton
, New Zealand","35 West Ridge Drive, Western Heights, Hamilton
, New Zealand",Showing 1 of 1 directors,,,,
303,98866,9429040452630,24 Aug 1976,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco98866,98866,,"Slight & Company, 157 Great South Road, Manurewa
, New Zealand",,,,,,
304,2016715,9429033083483,25 Oct 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2016715,2016715,,"Russell Turner, Chartered Accountants, 58 Otaika Road, Whangarei 0110
, New Zealand","Russell Turner, Chartered Accountants, 58 Otaika Road, Whangarei 0110
, New Zealand",Showing 1 of 1 directors,,,,
305,1551517,9429035205906,27 Aug 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1551517,1551517,,"42 Boon Street, Beckenham, Christchurch 8023
, New Zealand","42 Boon Street, Beckenham, Christchurch 8023
, New Zealand",Showing 1 of 1 directors,,,,
306,81518,9429040576497,05 May 1971,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco81518,81518,,"C/- Lock & Partners Limited, 1st Level, 171 Hobson Street, Auckland
, New Zealand","C/- Lock & Partners Limited, 1st Level, 171 Hobson Street, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
307,15038,9429040923260,27 Feb 1963,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco15038,15038,,"16 Royal Street, Upper Hutt
, New Zealand",,,,,,
308,1926918,9429033494036,04 Apr 2007,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1926918,1926918,,"35 Main South Road, Christchurch
, New Zealand","35 Main South Road, Christchurch
, New Zealand",Showing 2 of 2 directors,,,,
309,2151334,9429032659351,10 Jul 2008,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2151334,2151334,,"78 Mount Albert Road, Mount Albert, Auckland, 1025
, New Zealand","78 Mount Albert Road, Mount Albert, Auckland, 1025
, New Zealand",Showing 2 of 2 directors,,,,
310,119430,9429032012781,19 Nov 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco119430,119430,,"46 Adams Lane, Blenheim
, New Zealand",,Showing 2 of 2 directors,,,,
311,3203647,9429031298414,24 Nov 2010,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco3203647,3203647,,"Markhams Otago Limited, 2 Clark Street, Dunedin Central, Dunedin, 9016
, New Zealand","Markhams Otago Limited, 2 Clark Street, Dunedin Central, Dunedin, 9016
, New Zealand",Showing 2 of 2 directors,,,,
312,144660,9429040319247,24 Apr 1952,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco144660,144660,,"109 Doon Street, Dunedin
, New Zealand",,,,,,
313,1494449,9429035474531,04 May 2004,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1494449,1494449,,"62 Church Road, Rd 2, Papakura, 2582
, New Zealand","62 Church Road, Rd 2, Papakura, 2582
, New Zealand",Showing 1 of 1 directors,,,,
314,1831182,9429034038352,16 Jun 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1831182,1831182,,"Level 5, 57 Fort Street, Auckland, 1010
, New Zealand","Level 5, 57 Fort Street, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,
315,124580,9429031971676,24 Aug 1955,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco124580,124580,,"12 Denby Place, Hanmer Springs
, New Zealand","12 Denby Place, Hanmer Springs
, New Zealand",Showing 2 of 2 directors,,,,
316,27076,9429040860817,19 Dec 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco27076,27076,,"289 Heads Road, Wanganui
, New Zealand",,,,,,
317,2327153,9429031892971,23 Sep 2009,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2327153,2327153,,"offices Of Crosbie & Associates Ltd, Level 2, 3055 Gt North Road, New Lynn Auckland, 0600
, New Zealand","offices Of Crosbie & Associates Ltd, Level 2, 3055 Gt North Road, New Lynn Auckland, 0600
, New Zealand",Showing 2 of 2 directors,,,,
318,84374,9429040559315,13 Jun 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco84374,84374,,"Markham And Partners, 3rd Floor, Mainline Bldg, 58 Symonds Str Auckland
, New Zealand",,,,,,
319,6010207,9429042382195,15 Jun 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6010207,6010207,,"305 State Highway 30, Rd 4, Rotorua, 3074
, New Zealand","305 State Highway 30, Rd 4, Rotorua, 3074
, New Zealand",Showing 2 of 2 directors,,,,
320,981754,9429037468972,24 Sep 1999,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco981754,981754,,"5/1 Maybury Street, Glen Innes, Auckland
, New Zealand","5/1 Maybury Street, Glen Innes, Auckland
, New Zealand",Showing 1 of 1 directors,,,,
321,1133128,9429036930333,23 Apr 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1133128,1133128,,"C/-carpenter Pratt C.a. Limited, 333 Great South Road, Papakura 2110, Auckland
, New Zealand","C/-carpenter Pratt C.a. Limited, 333 Great South Road, Papakura 2110, Auckland
, New Zealand",Showing 2 of 3 directors,,,,
322,1494225,9429035474258,13 Apr 2004,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1494225,1494225,,"62 Church Road No 2 Rd Papakura, Ardmore, Auckland, 2582
, New Zealand","62 Church Road No 2 Rd Papakura, Ardmore, Auckland, 2582
, New Zealand",Showing 1 of 1 directors,,,,
323,2090706,9429032923711,13 Feb 2008,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2090706,2090706,,"72 Access Road, Kumeu, Auckland, 0810
, New Zealand","72 Access Road, Kumeu, Auckland, 0810
, New Zealand",Showing 2 of 2 directors,,,,
324,1596384,9429034979044,02 Feb 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1596384,1596384,,"Kendons Scott Macdonald Limited, 119 Blenheim Road Riccarton, Christchurch
, New Zealand","Kendons Scott Macdonald Limited, 119 Blenheim Road Riccarton, Christchurch
, New Zealand",Showing 1 of 1 directors,,,,
325,417964,9429039376619,15 Dec 1988,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco417964,417964,,"C/- Kensington Swan, Level 3 89 The Terrace, Wellington
, New Zealand","C/- Kensington Swan, Level 3 89 The Terrace, Wellington
, New Zealand",Showing 2 of 8 directors,,,,
326,1714939,9429034475041,19 Oct 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1714939,1714939,,"11 Rimutaka Street, Paraparaumu
, New Zealand","11 Rimutaka Street, Paraparaumu
, New Zealand",Showing 2 of 2 directors,,,,
327,169394,9429040184517,20 Oct 1982,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco169394,169394,,"Strawbridge & Associates Ltd, Level 1, 47 Bridge Street, Nelson, 7010
, New Zealand","Strawbridge & Associates Ltd, Level 1, 47 Bridge Street, Nelson, 7010
, New Zealand",Showing 2 of 2 directors,,,,
328,657845,9429038564932,09 Dec 1994,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco657845,657845,,"Level 10, 33 Federal Street, Auckland, 1010
, New Zealand","Level 10, 33 Federal Street, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,
329,2211091,9429032384864,16 Feb 2009,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2211091,2211091,,"59 Otaika Road, Raumanga, Whangarei 0110
, New Zealand","59 Otaika Road, Raumanga, Whangarei 0110
, New Zealand",Showing 2 of 2 directors,,,,
330,11143,9429040940199,07 Feb 1958,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco11143,11143,,"8 Tui Street, Taihape
, New Zealand",,Showing 2 of 2 directors,,,,
331,163237,9429040222660,06 Jul 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco163237,163237,,"C/- Walker & Heron, Marine Parade 'box 113=, Wairoa
, New Zealand",,,,,,
332,1494264,9429035473770,04 May 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1494264,1494264,,"44 Khyber Pass Road, Grafton, Auckland
, New Zealand","44 Khyber Pass Road, Grafton, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
333,2163946,9429032601244,04 Sep 2008,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2163946,2163946,,"8 Cleland Crescent, Naenae, Lower Hutt, 5011
, New Zealand","8 Cleland Crescent, Naenae, Lower Hutt, 5011
, New Zealand",Showing 1 of 1 directors,,,,
334,2229243,9429032307139,14 Apr 2009,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2229243,2229243,,"Whitelaw Weber Limited, Chartered Accountants, 10 Fairway Drive, Kerikeri 0230
, New Zealand","Whitelaw Weber Limited, Chartered Accountants, 10 Fairway Drive, Kerikeri 0230
, New Zealand",Showing 2 of 2 directors,,,,
335,125711,9429031959049,25 Sep 1958,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco125711,125711,,"Mitchell Mccleary, 57a Theodosia Street, Timaru, 7910
, New Zealand","Mitchell Mccleary, 57a Theodosia Street, Timaru, 7910
, New Zealand",Showing 2 of 2 directors,,,,
336,203822,9429040006055,01 Dec 1983,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco203822,203822,,"Unit F, Tamariki Plaza, Orewa, Auckland
, New Zealand","Unit F, Tamariki Plaza, Orewa, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
337,124546,9429031972369,21 Jul 1955,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco124546,124546,,"48 Sparks Rd, Christchurch
, New Zealand",,,,,,
338,149597,9429034062906,15 Jul 1976,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco149597,149597,,"Milnes Beatson Ltd, 29 Wallace Street, Motueka, 7120
, New Zealand","Milnes Beatson Ltd, 29 Wallace Street, Motueka, 7120
, New Zealand",Showing 1 of 1 directors,,,,
339,1254445,9429036255092,19 Nov 2002,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1254445,1254445,,"C/- Chatfield & Co, Level 10/newcall Tower, 44 Khyber Pass Road, Auckland
, New Zealand","C/- Chatfield & Co, Level 10/newcall Tower, 44 Khyber Pass Road, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
340,192586,9429040090276,06 Sep 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco192586,192586,,"Simmonds & Ball Ltd, 1222 Arawa Street, Rotorua
, New Zealand","Simmonds & Ball Ltd, 1222 Arawa Street, Rotorua
, New Zealand",Showing 2 of 2 directors,,,,
341,6191287,9429045869815,09 Dec 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6191287,6191287,,"Milne Maingay, Chartered Accountants, 2nd Floor, 15b Vestey Drive, Mt Wellington, 1060
, New Zealand","Milne Maingay, Chartered Accountants, 2nd Floor, 15b Vestey Drive, Mt Wellington, 1060
, New Zealand",Showing 2 of 2 directors,,,,
342,1666392,9429034647127,18 Jul 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1666392,1666392,,"11/2 Progressive Way, Botany South, Auckland
, New Zealand","11/2 Progressive Way, Botany South, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
343,1848419,9429033960449,23 Aug 2006,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1848419,1848419,,"1 Mabbett Lane, Waimauku, Auckland
, New Zealand","1 Mabbett Lane, Waimauku, Auckland
, New Zealand",Showing 2 of 2 directors,,,,
344,40509,9429040753904,24 Jun 1983,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco40509,40509,,"Ddo Spicers, Level 2, 116 Harris Road, East Tamaki
, New Zealand","Bdo Spicers, Level 2, 116 Harris Road, East Tamaki
, New Zealand",Showing 1 of 1 directors,,,,
345,1385664,9429035797265,28 Aug 2003,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1385664,1385664,,"Business Like NZ Limited, 116e Cavendish Drive, Manukau, Auckland, 2104
, New Zealand","Business Like NZ Limited, 116e Cavendish Drive, Manukau, Auckland, 2104
, New Zealand",Showing 2 of 2 directors,,,,
346,166153,9429040198040,04 May 1982,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco166153,166153,,"2/65 Long Drive, St Heliers, Auckland
, New Zealand",,Showing 2 of 2 directors,,,,
347,34450,9429040807188,12 Dec 1968,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco34450,34450,,"42 Carroll St, Palmerston North
, New Zealand",,,,,,
348,2229372,9429032304343,23 Apr 2009,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2229372,2229372,,"286 Mt Wellington Highway, Mount Wellington, Auckland
, New Zealand","286 Mount Wellington Highway, Mount Wellington, Auckland, 1023
, New Zealand",Showing 1 of 1 directors,,,,
349,5772348,9429041890783,07 Aug 2015,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5772348,5772348,,"JOHN BATTERSBY LAW LIMITED, 1237 Whakatau Street, Rotorua, Rotorua, 3010
, New Zealand","JOHN BATTERSBY, 15 Calder Road, Rd 5, Rotorua, 3076
, New Zealand",Showing 1 of 1 directors,,,,
350,953832,9429037617035,26 Apr 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco953832,953832,,"335 Victoria Street, Hamilton
, New Zealand","7 Prior Pl, Hamilton
, New Zealand",Showing 2 of 2 directors,,,,
351,187065,9429040118222,28 Apr 1965,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco187065,187065,,"2-8 Commerce Street, Putaruru
, New Zealand",,Showing 2 of 2 directors,,,,
352,3904138,9429030605053,04 Jul 2012,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco3904138,3904138,,"188 Quay Street, Auckland Central, Auckland, 1010
, New Zealand","188 Quay Street, Auckland Central, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,
353,1924025,9429033513966,29 Mar 2007,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1924025,1924025,,"Croys Ltd, Level 2, 161 Burnett Street, Ashburton
, New Zealand","Croys Ltd, Level 2, 161 Burnett Street, Ashburton
, New Zealand",Showing 2 of 2 directors,,,,
354,15123,9429040920740,29 Mar 1963,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco15123,15123,,"Investment Centre, Cnr Featherston & Ballance Sts, Wellington
, New Zealand",,,,,,
355,47610,9429040732701,16 Sep 1949,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco47610,47610,,"Main Road, Waimauku, Auckland
, New Zealand","Main Road, Waimauku
, New Zealand",Showing 1 of 1 directors,,,,
356,81782,9429040576978,14 Jun 1971,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco81782,81782,,"Commercial Street, Kawakawa
, New Zealand",,,,,,
357,79450,9429040588339,22 Jun 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco79450,79450,,"Rust Building, Rust Avenue, Whangarei
, New Zealand",,,,,,
358,35977,9429040798097,23 Oct 1979,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco35977,35977,,"41 Perry Street, Masterton
, New Zealand",,,,,,
359,1801588,9429034177242,12 Apr 2006,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1801588,1801588,,"Business One Limited, Chartered Accountants, 433 Pollen Street, Thames 3500
, New Zealand","Business One Ltd, Chartered Accountants, 433 Pollen Street, Thames 3500
, New Zealand",Showing 1 of 1 directors,,,,
360,1022039,9429037330200,15 Mar 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1022039,1022039,,"C/o Williamson & Co, 61 Edinburgh Street, Pukekohe
, New Zealand","C/o Williamson & Co, 61 Edinburgh Street, Pukekohe
, New Zealand",Showing 1 of 1 directors,,,,
361,109905,9429032150919,09 Jun 1960,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco109905,109905,,"Ferrier Hodgson & Co, 16th Floor, Southpac Tower, 45 Queen Street, Auckland 1
, New Zealand","Ferrier Hodgson & Co, 16th Floor, Southpac Tower, 45 Queen Street, Auckland 1
, New Zealand",Showing 2 of 2 directors,,,,
