,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
271,981084,9429037474294,22 Sep 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco981084,981084,,"20 Swanson Oaks, Swanson, Waitakere, 0612
, New Zealand","20 Swanson Oaks, Swanson, Waitakere, 0612
, New Zealand",,,,,,,,,,,,
272,4279898,9429030352551,11 Feb 2013,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4279898,4279898,,"Cnr Paerata Road Heights Road, Pukekohe, 2747
, New Zealand","Cnr Paerata Road Heights Road, Pukekohe, 2747
, New Zealand",,,,,,,,,,,,
273,4791499,9429040983622,18 Nov 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4791499,4791499,,"114 Melrose Road, Mount Roskill, Auckland, 1041
, New Zealand","114 Melrose Road, Mount Roskill, Auckland, 1041
, New Zealand",,,,,,,,,,,,
274,54091,9429040710983,17 Aug 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco54091,54091,,"3/25 Takutai Ave, Bucklands Beach, Auckland
, New Zealand",,,,,,,,,,,,,
275,21624,9429040890418,05 Dec 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco21624,21624,,"Mahara Place, Waikanae
, New Zealand",,,,,,,,,,,,,
276,504722,9429039116512,17 May 1991,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco504722,504722,,"Raynes Gibson & Matthews Accountants Ltd, 110 St Lukes Rd, Sandringham, Auckland
, New Zealand","Raynes Gibson & Matthews Accountants Ltd, 110 St Lukes Rd, Sandringham, Auckland
, New Zealand",,,,,,,,,,,,
277,3496991,9429030998056,04 Aug 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3496991,3496991,,"425/2 Tapora Street, Aucklad Cbd, Auckland, 1010
, New Zealand","425/2 Tapora Street, Aucklad Cbd, Auckland, 1010
, New Zealand",,,,,,,,,,,,
278,1154990,9429036811755,21 Aug 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1154990,1154990,,"210 Wade River Road, Whangaparaoa
, New Zealand","210 Wade River Road, Whangaparaoa
, New Zealand",,,,,,,,,,,,
279,132208,9429031891356,07 Jul 1970,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco132208,132208,,"164 River Road,, Tai Tapu,, No. 2 R.d., Christ Church, 8021
, New Zealand","164 River Road, Greenpark
, New Zealand",,,,,,,,,,,,
280,190978,9429040098890,07 Jul 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco190978,190978,,"C/o G J Velowijk, Cambridge Rd, R D 3 Box 9392, Hamilton
, New Zealand",,,,,,,,,,,,,
281,201459,9429040013947,12 Apr 1983,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco201459,201459,,"C/o Reeder Smith & Co, Eruera St, Rotorua
, New Zealand","-
, New Zealand",,,,,,,,,,,,
282,106627,9429040380537,05 Feb 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco106627,106627,,"12a Donovan Ave, Massey, Auckland
, New Zealand",,,,,,,,,,,,,
283,1350733,9429035876014,06 Aug 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1350733,1350733,,"29 Phoenicia Court, The Gardens, Manurewa, Manukau, 2015
, New Zealand","29 Phoenicia Court, The Gardens, Manurewa, Manukau, 2015
, New Zealand",,,,,,,,,,,,
284,69702,9429040644615,01 Dec 1965,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco69702,69702,,"26 Hakea Place, Manurewa, Auckland
, New Zealand","26 Hakea Place, Manurewa, Auckland
, New Zealand",,,,,,,,,,,,
285,8137568,9429048777476,10 Nov 2020,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8137568,8137568,,"6 Denimes Crescent, Rolleston, Rolleston, 7614
, New Zealand","6 Denimes Crescent, Rolleston, Rolleston, 7614
, New Zealand",,,,,,,,,,,,
286,304416,9429039737267,30 Apr 1986,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco304416,304416,,"37-39 Buchan Street, Sydenham, Christchurch
, New Zealand","37-39 Buchan Street, Sydenham, Christchurch
, New Zealand",,,,,,,,,,,,
287,1129704,9429036945696,03 Apr 2001,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1129704,1129704,,"Lellman Wearne Ltd, 78 First Avenue, Tauranga, Tauranga, 3110
, New Zealand","Lellman Wearne Ltd, 78 First Avenue, Tauranga, Tauranga, 3110
, New Zealand",,,,,,,,,,,,
288,1615291,9429034864647,29 Mar 2005,Removed,NZ Limited Company,Yes,No,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco1615291,1615291,,"Hudson Taylor Chartered Accountants Ltd, Level 3, 44 Victoria Street, Wellington, 6011
, New Zealand","Hudson Taylor Chartered Accountants Ltd, Level 3, 44 Victoria Street, Wellington, 6011
, New Zealand",,,,,,,,,,,,
289,52357,9429040716046,31 Mar 1955,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco52357,52357,,"5th Fl, Achilles Hse, 47 Customs St, Auckland
, New Zealand",,,,,,,,,,,,,
290,160459,9429040236063,10 Oct 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco160459,160459,,"C/- Morel Chapman & Co, Suncourt Shopping Centre, Taupo Box 749
, New Zealand",,,,,,,,,,,,,
291,94440,9429040489292,15 May 1975,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco94440,94440,,"27 Carroll Place, Owhata, Rotorua, 3010
, New Zealand","27 Carroll Place, Owhata, Rotorua, 3010
, New Zealand",,,,,,,,,,,,
292,3086845,9429031399630,31 Aug 2010,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3086845,3086845,,"77 Titiraupenga Street, Taupo, Taupo, 3330
, New Zealand","77 Titiraupenga Street, Taupo, Taupo, 3330
, New Zealand",,,,,,,,,,,,
293,119528,9429032008890,09 Sep 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco119528,119528,,"7a Winning Tce, Dinsdale, Hamilton
, New Zealand",,,,,,,,,,,,,
294,53981,9429040711348,19 Jul 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco53981,53981,,"14 Galway St, Onehunga
, New Zealand",,,,,,,,,,,,,
295,269608,9429039854551,02 May 1985,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco269608,269608,,"Markham & Partners, 249 Wicksteed Street, Wanganui
, New Zealand","-
, New Zealand",,,,,,,,,,,,
296,45448,9429040741949,08 Apr 1946,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco45448,45448,,"C/o M/s Farrell Green & Co, A S B Bldg, Broadway, Papakura
, New Zealand",,,,,,,,,,,,,
297,807407,9429038325823,09 May 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco807407,807407,,"Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand","Level 1, 547 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand",,,,,,,,,,,,
298,8123876,9429048631877,17 Sep 2020,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8123876,8123876,,"Rawiri Bhana, Flat 1, 197 Forrest Hill Road, Forrest Hill, Auckland, 0620
, New Zealand","Rawiri Bhana, Flat 1, 197 Forrest Hill Road, Forrest Hill, Auckland, 0620
, New Zealand",,,,,,,,,,,,
299,1573778,9429035093749,12 Nov 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1573778,1573778,,"Graham & Dobson Ltd, 393 Gladstone Road, Gisborne
, New Zealand","Graham & Dobson Ltd, 393 Gladstone Road, Gisborne
, New Zealand",,,,,,,,,,,,
300,8658,9429040949017,28 May 1954,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco8658,8658,,"14a Gregory Street, Naenae, Lower Hutt
, New Zealand",,,,,,,,,,,,,
301,92708,9429040499864,10 Oct 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco92708,92708,,"C/o Gilfillan Morris & Co, National Mutual Centre, 41 Shortland St, Auckland
, New Zealand",,,,,,,,,,,,,
302,5166661,9429041207642,24 Apr 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5166661,5166661,,"15 Norwood Road, Bayswater, Auckland, 0622
, New Zealand","15 Norwood Road, Bayswater, Auckland, 0622
, New Zealand",,,,,,,,,,,,
303,1271145,9429036157891,31 Jan 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1271145,1271145,,"Hana Consulting Level 5, 53 Fort Street, Auckland
, New Zealand","Hana Consulting Level 5, 53 Fort Street, Auckland
, New Zealand",,,,,,,,,,,,
304,1844824,9429033977164,20 Jul 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1844824,1844824,,"Kpmg Centre, 18 Viaduct Harbour Ave, Auckland, 1140
, New Zealand","Kpmg Centre, 18 Viaduct Harbour Ave, Auckland, 1140
, New Zealand",,,,,,,,,,,,
305,188364,9429040111360,16 Dec 1966,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco188364,188364,,"306 Alexandra Street,, Te Awamutu.
, New Zealand",,,,,,,,,,,,,
306,128719,9429031929431,17 Sep 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco128719,128719,,"Coopers & Lybrand, 14th Floor Robt. Jones House, 764 Colombo Street
, New Zealand",,,,,,,,,,,,,
307,6698173,9429046587800,20 Feb 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6698173,6698173,,"70b Buckley Road, Southgate, Wellington, 6023
, New Zealand","70b Buckley Road, Southgate, Wellington, 6023
, New Zealand",,,,,,,,,,,,
308,1101403,9429037079154,12 Jan 2001,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1101403,1101403,,"Suite 262, 2a Byron Ave, Takapuna
, New Zealand","Suite 262, 2a Byron Ave, Takapuna
, New Zealand",,,,,,,,,,,,
309,22251,9429040885803,12 Jun 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco22251,22251,,"8th Floor, Wellington Trade Centre, 173-175 Victoria Street, Wellington
, New Zealand",,,,,,,,,,,,,
310,5728601,9429041807620,17 Jun 2015,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5728601,5728601,,"DAVID WARD CHARTERED ACCOUNTANT LIMITED, Level 1, 12 Main North Road, Papanui, 8053
, New Zealand","DAVID WARD CHARTERED ACCOUNTANT LIMITED, Level 1, 12 Main North Road, Papanui, 8053
, New Zealand",,,,,,,,,,,,
311,1155227,9429036810000,10 Aug 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1155227,1155227,,"Lee & Holden Chartered Accountants Ltd, 3049 Great North Road, New Lynn, Auckland
, New Zealand","Lee & Holden Chartered Accountants Ltd, 3049 Great North Road, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,
312,8466994,9429050810635,01 Sep 2022,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco8466994,8466994,,"H Singh, 8 Monterey Key, Papamoa Beach, Papamoa, 3118
, New Zealand","H Singh, 8 Monterey Key, Papamoa Beach, Papamoa, 3118
, New Zealand",,,,,,,,,,,,
313,8387502,9429050632725,27 Jun 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8387502,8387502,,"M Webb Limited, 20 Seaview Road, Remuera, Auckland, 1050
, New Zealand","M Webb Limited, 20 Seaview Road, Remuera, Auckland, 1050
, New Zealand",,,,,,,,,,,,
314,1906687,9429033624013,02 Feb 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1906687,1906687,,"2 Cameron Road, Tauranga
, New Zealand","2 Cameron Road, Tauranga
, New Zealand",,,,,,,,,,,,
315,140517,9429040346441,01 Aug 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco140517,140517,,"601 Colombo St, Christchurch
, New Zealand",,,,,,,,,,,,,
316,3470651,9429031020725,13 Jul 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3470651,3470651,,"7 Seager Lane, Hillmorton, Christchurch, 8024
, New Zealand","17 Coniston Avenue, Ilam, Christchurch, 8041
, New Zealand",,,,,,,,,,,,
317,2427770,9429031637039,03 Mar 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2427770,2427770,,"28 Tussock Avenue, Mangere, Auckland
, New Zealand","28 Tussock Avenue, Mangere, Auckland
, New Zealand",,,,,,,,,,,,
318,9040292,9429051812096,08 Jan 2024,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco9040292,9040292,,"Suite 6, 129 Great South Road, Papatoetoe, Auckland, 2025
, New Zealand","10 Hames Terrace, Hillsborough, Auckland, 1042
, New Zealand",,,,,,,,,,,,
319,6136977,9429043381395,01 Dec 2016,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco6136977,6136977,,"Matthew Innes, 36 Overtoun Terrace, Hataitai, Wellington, 6021
, New Zealand","Matthew Innes, 36 Overtoun Terrace, Hataitai, Wellington, 6021
, New Zealand",,,,,,,,March,,,,
320,2217048,9429032357356,06 Mar 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2217048,2217048,,"40 Grassways Avenue, Pakuranga, Auckland
, New Zealand","40 Grassways Avenue, Pakuranga, Auckland
, New Zealand",,,,,,,,,,,,
321,55629,9429040705491,05 Aug 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco55629,55629,,"222 St Andrews Rd, Epsom, Auckland 3
, New Zealand",,,,,,,,,,,,,
322,883976,9429037963132,07 Nov 1997,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco883976,883976,,"C/- Pwc, 113-119 The Terrace, Wellington
, New Zealand","C/- Pwc, 113-119 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,
323,2053873,9429033042336,14 Nov 2007,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2053873,2053873,,"3/18 Whiteswan Road,, Mt. Roskill., Aucklnad
, New Zealand","3/18 Whiteswan Road,, Mt. Roskill., Aucklnad
, New Zealand",,,,,,,,,,,,
324,1240511,9429036324637,19 Sep 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1240511,1240511,,"Level One, 18 New St, Nelson
, New Zealand","Robin French Limited, Level One, 18 New St, Nelson
, New Zealand",,,,,,,,,,,,
325,2115295,9429032811735,03 Apr 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2115295,2115295,,"23-1 Elliot Ave, Glenfield, Auckland
, New Zealand","23-1 Elliot Ave, Glenfield, Auckland
, New Zealand",,,,,,,,,,,,
326,194722,9429040072722,09 Sep 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco194722,194722,,"91 Wordsworth St, Cambridge
, New Zealand","-
, New Zealand",,,,,,,,,,,,
327,694494,9429038423833,02 Nov 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco694494,694494,,"C/- Ward Wilson, 10 Athol Street, Queenstown
, New Zealand","C/- Ward Wilson, 10 Athol Street, Queenstown
, New Zealand",,,,,,,,,,,,
328,123068,9429031983570,04 Jul 1949,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco123068,123068,,"C/o Craig Stephenson & Leeming, 303 Durham St P O Box 1726, Christchurch
, New Zealand",,,,,,,,,,,,,
329,1678151,9429034603383,01 Sep 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1678151,1678151,,"260 West Tamaki Rd, Glendowie, Auckland
, New Zealand","260 West Tamaki Rd, Glendowie
, New Zealand",,,,,,,,,,,,
330,240267,9429039950772,27 Jun 1984,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco240267,240267,,"Iles & Campbell, Marama Arcade, Heu Heu Street, Taupo
, New Zealand",,,,,,,,,,,,,
331,58044,9429040696409,22 Apr 1959,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco58044,58044,,"7th Floor, Southpac Tower, Cnr Queen & Custom Streets, Auckland 1
, New Zealand",,,,,,,,,,,,,
332,94696,9429040488424,13 Jun 1975,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco94696,94696,,"First Floor, 4 Vinery Lane, Whangarei
, New Zealand","4 Vinery Lane, Whangarei
, New Zealand",,,,,,,,,,,,
333,1808918,9429034149867,28 Apr 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1808918,1808918,,"Kendons Scott Macdonald Ltd, 119 Blenheim Road Riccarton, Christchurch
, New Zealand","Kendons Scott Macdonald Ltd, 119 Blenheim Road Riccarton, Christchurch
, New Zealand",,,,,,,,,,,,
334,437290,9429039314345,10 Jul 1989,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco437290,437290,,"15 Rossgrove Terrace, Mt Albert, Auckland
, New Zealand",,,,,,,,,,,,,
335,3031306,9429031455619,23 Jul 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3031306,3031306,,"Office 2,wickham House, 5th Avenue, Hamilton, 3210
, New Zealand","Office 2,wickham House, 5th Avenue, Hamilton, 3210
, New Zealand",,,,,,,,,,,,
336,7733,9429040952871,01 Jul 1952,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco7733,7733,,"23a Parkvale Rd, Wellington
, New Zealand",,,,,,,,,,,,,
337,2217636,9429032356441,12 Mar 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2217636,2217636,,"Mcintyre & Assoc Ltd, Chartered Accountants, Level 2, 77 Centennial Ave, Alexandra
, New Zealand","Mcintyre & Assoc Ltd, Chartered Accountants, Level 2, 77 Centennial Ave, Alexandra
, New Zealand",,,,,,,,,,,,
338,1229384,9429036389285,31 Jul 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1229384,1229384,,"6/105 Woodglen Road, Glen Eden, Auckland 1007
, New Zealand","6/105 Woodglen Road, Glen Eden, Auckland 1007
, New Zealand",,,,,,,,,,,,
339,1368001,9429035841944,06 Aug 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1368001,1368001,,"28, Rondane Place,, Tirohanga, Lower Hutt
, New Zealand","28, Rondane Place,, Tirohanga,, Lower Hutt
, New Zealand",,,,,,,,,,,,
340,1578775,9429035071341,25 Nov 2004,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1578775,1578775,,"3/187 Fitzherbert Ave, West End, Palmerston North, 4410
, New Zealand","3/187 Fitzherbert Ave, West End, Palmerston North, 4410
, New Zealand",,,,,,,,,,,,
341,199347,9429040038902,01 Oct 1980,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco199347,199347,,"5th Level,, Touche Ross Centre,, Cnr Bryce & Anglesea Streets,, Hamilton.
, New Zealand","-
, New Zealand",,,,,,,,,,,,
342,972376,9429037518943,17 Aug 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco972376,972376,,"C/-te Puke Mobil, Jellicoe Street, Te Puke
, New Zealand","C/-te Puke Mobil, Jellicoe Street, Te Puke
, New Zealand",,,,,,,,,,,,
343,1669994,9429034635421,29 Jul 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1669994,1669994,,"75 Costley St, Carterton
, New Zealand","75 Costley St, Carterton
, New Zealand",,,,,,,,,,,,
344,674747,9429038488313,10 Apr 1995,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco674747,674747,,"98 Hobson Road, Lucas Heights, Auckland, 0632
, New Zealand","98 Hobson Road, Lucas Heights, Auckland, 0632
, New Zealand",,,,,,,,,,,,
345,973348,9429037516260,05 Aug 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco973348,973348,,"Temm And Associates, Level 1, 33-35 Ponsonby Road, Ponsonby, Auckland
, New Zealand","Temm And Associates, Level 1, 33-35 Ponsonby Road, Ponsonby, Auckland
, New Zealand",,,,,,,,,,,,
346,1122631,9429036975082,22 Mar 2001,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1122631,1122631,,"Kincaid Road, Rd 1, Kaikoura
, New Zealand","Kincaid Road, Rd 1, Kaikoura
, New Zealand",,,,,,,,,,,,
347,6262111,9429046051301,03 Apr 2017,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6262111,6262111,,"AGRIFOCUS LTD, 117 Spey Street, Invercargill, Invercargill, 9810
, New Zealand","AGRIFOCUS LTD, 117 Spey Street, Invercargill, Invercargill, 9810
, New Zealand",,,,,,,,,,,,
348,2328295,9429031888226,29 Sep 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2328295,2328295,,"Level 18, Asb Bank Centre, 135 Albert Street
, New Zealand","Level 18, Asb Bank Centre, 135 Albert Street
, New Zealand",,,,,,,,,,,,
349,1916135,9429033564227,08 Mar 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1916135,1916135,,"49/2 Cawley Street, Ellerslie, Auckland
, New Zealand","49/2 Cawley Street, Ellerslie, Auckland
, New Zealand",,,,,,,,,,,,
350,1907086,9429033621524,02 Feb 2007,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1907086,1907086,,"Storey & Associates Limited, 234 Broadway Avenue, Palmerston North, Palmerston North, 4414
, New Zealand","Storey & Associates Limited, 234 Broadway Avenue, Palmerston North, Palmerston North, 4414
, New Zealand",,,,,,,,,,,,
351,368176,9429039529237,13 Oct 1987,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco368176,368176,,"23 Geraldine Place, Kohimaramara
, New Zealand",,,,,,,,,,,,,
352,11332,9429040938721,03 Apr 1958,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco11332,11332,,"27 Dixon Street, Wellington
, New Zealand",,,,,,,,,,,,,
353,2239649,9429032270891,08 May 2009,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2239649,2239649,,"1/5 Holmes Road, Manurewa, Manukau
, New Zealand","1/5 Holmes Road, Manurewa, Manukau
, New Zealand",,,,,,,,,,,,
354,1214992,9429036470914,28 May 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1214992,1214992,,"52-64 Victoria Street West, Auckland City
, New Zealand","52-64 Victoria Street West, Auckland City
, New Zealand",,,,,,,,,,,,
355,808855,9429038318443,07 May 1996,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco808855,808855,,"1859 Kereru Road, Rd 1, Hastings, 4171
, New Zealand","C/- Ogier Chartered Accountants Limited, 96 Ford Road, Onekawa, Napier, 4110
, New Zealand",,,,,,,,,,,,
356,1826091,9429034074039,06 Jun 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1826091,1826091,,"Abacus Administration Limited, 53-61 Whitaker Street, Te Aroha 2971
, New Zealand","Abacus Administration Limited, 53-61 Whitaker Street, Te Aroha 2971
, New Zealand",,,,,,,,,,,,
357,1204242,9429036534265,15 Apr 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1204242,1204242,,"C/-mcdonald Vague, Level 5, 80 Greys Avenue, Auckland
, New Zealand","C/-mcdonald Vague, Level 5, 80 Greys Avenue, Auckland
, New Zealand",,,,,,,,,,,,
358,123483,9429031981866,14 Mar 1951,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco123483,123483,,"Messrs Price Waterhouse & Co, 10th Floor Amp Bldg, Cathedral Square, Christchurch
, New Zealand",,,,,,,,,,,,,
359,83076,9429040568461,14 Dec 1971,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco83076,83076,,"7a Tapsell Rd, Rotorua
, New Zealand",,,,,,,,,,,,,
360,28417,9429040852690,03 Oct 1973,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco28417,28417,,"126a Pretoria Street, Lower Hutt
, New Zealand","126a Pretoria Street, Lower Hutt
, New Zealand",,,,,,,,,,,,
361,1180570,9429036670796,20 Dec 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1180570,1180570,,"291 North Road, Clevedon, R.d.2, Papakura, Auckland
, New Zealand","291 North Road, Clevedon, R.d.2, Papakura, Auckland
, New Zealand",,,,,,,,,,,,
362,2134195,9429032732726,23 May 2008,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2134195,2134195,,"Prosser Quirke Ltimited, 6 Blake Street, Rangiora, Rangiora, 7400
, New Zealand","Prosser Quirke Ltimited, 6 Blake Street, Rangiora, Rangiora, 7400
, New Zealand",,,,,,,,,,,,
