,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,FRA Reporting Month:
265,1491151,9429035492641,12 Mar 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1491151,1491151,,"26a, Windermere Cres, Blockhouse Bay, Auckland
, New Zealand","26a, Windermere Cres, Blockhouse Bay, Auckland
, New Zealand",,,,,,,,
266,533938,9429039025340,07 Jan 1992,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco533938,533938,,"7 Cloverfields Drive, 7 Cloverfields Drive, Waimauku, 0812
, New Zealand","7 Cloverfields Drive, 7 Cloverfields Drive, Waimauku, 0812
, New Zealand",,,,,,,,
267,1773278,9429034284841,23 Feb 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1773278,1773278,,"Lowthers Auckland Limited, 34 Shortland Street, Auckland Central, Auckland, 1010
, New Zealand","Lowthers Auckland Limited, 34 Shortland Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,
268,6260265,9429046043856,29 Mar 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6260265,6260265,,"19 Lacebark Drive, Rd 1, Taupo, 3377
, New Zealand","19 Lacebark Drive, Rd 1, Taupo, 3377
, New Zealand",,,,,,,,
269,187616,9429040114682,31 Jan 1962,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco187616,187616,,"22 Rosewarne Crescent,, Glendene.
, New Zealand",,,,,,,,,
270,189532,9429040107493,07 Oct 1968,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco189532,189532,,"47 Ward St, Waharoa
, New Zealand",,,,,,,,,
271,4463486,9429030202627,29 May 2013,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4463486,4463486,,"82 Wharf Road, Rd 4, Pukekohe, 2679
, New Zealand","82 Wharf Road, Rd 4, Pukekohe, 2679
, New Zealand",,,,,,,,
272,94280,9429040489445,30 Apr 1975,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco94280,94280,,"26 Stanley Ave, Te Aroha
, New Zealand",,,,,,,,,
273,111789,9429032131659,14 Jul 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco111789,111789,,"Iga Store, 84 Waima Rd, Titirangi, Auckland
, New Zealand",,,,,,,,,
274,1266246,9429036186259,23 Dec 2002,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1266246,1266246,,"146 Nelson Crescent, Napier
, New Zealand","146 Nelson Crescent, Napier
, New Zealand",,,,,,,,
275,2183216,9429032512946,24 Oct 2008,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2183216,2183216,,"Level One, 53 King Street, Frankton, Hamilton
, New Zealand","Level One, 53 King Street, Frankton, Hamilton
, New Zealand",,,,,,,,
276,2436375,9429031622493,17 Mar 2010,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2436375,2436375,,"Diprose Miller Limited, 53-61 Whitaker Street, Te Aroha, 3342
, New Zealand","Diprose Miller Limited, 53-61 Whitaker Street, Te Aroha, 3342
, New Zealand",,,,,,,,
277,89806,9429040521121,17 Dec 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco89806,89806,,"6 Flanshaw Rd, Te Atatu South, Auckland
, New Zealand",,,,,,,,,
278,410251,9429039397782,22 Sep 1988,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco410251,410251,,"23 Crawford Street, Dunedin
, New Zealand","23 Crawford Street, Dunedin
, New Zealand",,,,,,,,
279,2215580,9429032365726,12 Mar 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2215580,2215580,,"133 Branxholm Street, Roxburgh, Roxburgh, 9500
, New Zealand","McIntyre Flannery Tait Limited, 133 Branxholm Street, Roxburgh, Roxburgh, 9500
, New Zealand",,,,,,,,
280,2104412,9429032867121,07 Mar 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2104412,2104412,,"140 Swamp Rd, Loburn, Rangiora R D 2
, New Zealand","140 Swamp Rd, Loburn, Rangiora R D 2
, New Zealand",,,,,,,,
281,1854803,9429033926308,06 Sep 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1854803,1854803,,"21b Sanders Ave, Takapuna, Auckland
, New Zealand","21b Sanders Ave, Takapuna, Auckland
, New Zealand",,,,,,,,
282,189211,9429040106489,30 Apr 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco189211,189211,,"Ernst & Whinney House, Fifth Floor, Corner Victoria & London Streets, Hamilton
, New Zealand",,,,,,,,,
283,2288994,9429032100730,12 Aug 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2288994,2288994,,"24 Roderick Street, Otumoetai, Tauranga, 3110
, New Zealand","24 Roderick Street, Otumoetai, Tauranga, 3110
, New Zealand",,,,,,,,
284,66052,9429040662848,11 Mar 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco66052,66052,,"6 Loop Rd, Orewa
, New Zealand",,,,,,,,,
285,362720,9429039548177,23 Oct 1987,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco362720,362720,,"Endeavour Chartered Accountants Ltd, Cnr Wainui Road & The Esplanade, Gisborne, 4010
, New Zealand","Endeavour Chartered Accountants Ltd, Cnr Wainui Road & The Esplanade, Gisborne, 4010
, New Zealand",,,,,,,,
286,2175866,9429032546385,25 Sep 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2175866,2175866,,"Molloy & Associates C A Limited, 100 Main Road, Greymouth
, New Zealand","98 Carters Road, Amberley, 7410
, New Zealand",,,,,,,,
287,7465696,9429047450967,14 May 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7465696,7465696,,"239 Bethlehem Road, Bethlehem, Tauranga, 3110
, New Zealand","239 Bethlehem Road, Bethlehem, Tauranga, 3110
, New Zealand",,,,,,,,
288,2320931,9429031929059,10 Sep 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2320931,2320931,,"C/o Gilligan Rowe & Associates Limited, Level 6/135 Broadway, Newmarket, Auckland
, New Zealand","C/o Gilligan Rowe & Associates Limited, Level 6/135 Broadway, Newmarket, Auckland
, New Zealand",,,,,,,,
289,2059569,9429033026244,10 Dec 2007,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2059569,2059569,,"25 Maire Street, Hawera, 4610
, New Zealand","25 Maire Street, Hawera, 4610
, New Zealand",,,,,,,,
290,1196731,9429036578238,04 Jun 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1196731,1196731,,"5 Upham Road, Panmure, Auckland
, New Zealand","5 Upham Road, Panmure, Auckland
, New Zealand",,,,,,,,
291,662965,9429038540356,15 Nov 1995,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco662965,662965,,"48 Coulton Street, St Johns
, New Zealand","33 Moncrieff Ave, Manurewa
, New Zealand",,,,,,,,
292,93036,9429040499505,14 Nov 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco93036,93036,,"779 New North Rd, Mt Albert, Auckland 3
, New Zealand",,,,,,,,,
293,200920,9429040021720,09 Jul 1982,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco200920,200920,,"178 Kolmar Road, Papatoetoe, Auckland
, New Zealand",,,,,,,,,
294,3685015,9429030851818,14 Dec 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3685015,3685015,,"BENDALL & ASSOCIATES LTD, Unit 22 150 Cavendish Road, Casebrook, Christchurch, 8051
, New Zealand","BENDALL & ASSOCIATES LTD, Unit 22 150 Cavendish Road, Casebrook, Christchurch, 8051
, New Zealand",,,,,,,,
295,2511991,9429031500951,09 Jun 2010,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2511991,2511991,,"Darvill Mellors & Co Limited, Level 1, 12 Allen Street, Wellington, 6010
, New Zealand","Darvill Mellors & Co Limited, Level 1, 12 Allen Street, Wellington, 6010
, New Zealand",,,,,,,,
296,2229988,9429032302363,15 Apr 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2229988,2229988,,"P S Alexander & Associates Ltd, Unit 1, Amuri Park, 25 Churchill Street, Christchurch, 8013
, New Zealand","P S Alexander & Associates Ltd, Unit 1, Amuri Park, 25 Churchill Street, Christchurch, 8013
, New Zealand",,,,,,,,
297,1026946,9429037302221,30 Mar 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1026946,1026946,,"19 St Albans Grove, Lower Hutt
, New Zealand","19 St Albans Grove, Lower Hutt
, New Zealand",,,,,,,,
298,1083029,9429037119089,29 Sep 2000,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1083029,1083029,,"75 Warspite Avenue, Porirua
, New Zealand","75 Warspite Avenue, Porirua
, New Zealand",,,,,,,,
299,80702,9429040581019,07 Dec 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco80702,80702,,"Official Assignee, 2nd Fl Lorne Towers, Lorne St, Auckland
, New Zealand",,,,,,,,,
300,2128798,9429032754353,10 Jun 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2128798,2128798,,"Level 1, 121 Beach Road, Auckland Central 1010
, New Zealand","Level 1, 121 Beach Road, Auckland Central 1010
, New Zealand",,,,,,,,
301,552843,9429038965548,17 Jul 1992,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco552843,552843,,"C/- Trifunovich & Co, Chartered, Accountants, 2nd Floor, 24 Manukau, Rd, Newmarket, Auckland
, New Zealand","C/- Trifunovich & Co, Chartered, Accountants, 2nd Floor, 24 Manukau, Rd, Newmarket, Auckland
, New Zealand",,,,,,,,
302,359054,9429039560865,15 Sep 1987,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco359054,359054,,"Official Assignee, Second Floor Asb Building, 500 Victoria Street, Hamilton
, New Zealand","13 Jervois Street, Kawerau
, New Zealand",,,,,,,,
303,5470581,9429041425077,25 Sep 2014,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5470581,5470581,,"M R Doole, 134 Thompson Road, Bluff Hill, Napier, 4110
, New Zealand","M R Doole, 134 Thompson Road, Bluff Hill, Napier, 4110
, New Zealand",,,,,,,,
304,1922436,9429033524610,21 Mar 2007,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1922436,1922436,,"Offices of Gary Denton, 173 Main Road, Tawa, Wellington, 5028
, New Zealand","Offices of Gary Denton, 173 Main Road, Tawa, Wellington, 5028
, New Zealand",,,,,,,,
305,193304,9429040080567,12 Jun 1973,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco193304,193304,,"Graham Brown & Co Ltd, Chartered Accountants, 45-49 Tirau Street, Putaruru
, New Zealand","Graham Brown & Co Ltd, Chartered Accountants, 45-49 Tirau Street, Putaruru
, New Zealand",,,,,,,,
306,2071376,9429032992403,13 Dec 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2071376,2071376,,"C/-donaldson Chartrered Accountants Ltd, Level One, 162 Dee Street, Invercargill
, New Zealand","C/-donaldson Chartrered Accountants Ltd, Level One, 162 Dee Street, Invercargill
, New Zealand",,,,,,,,
307,1491960,9429035487975,10 Mar 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1491960,1491960,,"6b Havelock Street, Brooklyn, Wellington
, New Zealand","6b Havelock Street, Brooklyn, Wellington
, New Zealand",,,,,,,,
308,6041029,9429042441229,05 Jul 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6041029,6041029,,"MACAN AGENCY, 93 Whau Valley Road, Whangarei, 0112
, New Zealand","MACAN AGENCY, 93 Whau Valley Road, Whangarei, 0112
, New Zealand",,,,,,,,
309,503168,9429039121196,02 Apr 1991,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco503168,503168,,"Kendons Chartered Accountants Ltd, 69 Rutherford Street, Lower Hutt, 5010
, New Zealand","Kendons Chartered Accountants Ltd, 69 Rutherford Street, Lower Hutt, 5010
, New Zealand",,,,,,,,
310,660748,9429038552175,14 Dec 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco660748,660748,,"11a Easter Parade, Oratia, Auckland
, New Zealand","11a Easter Parade, Oratia, Auckland
, New Zealand",,,,,,,,
311,1919788,9429033541594,14 Mar 2007,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1919788,1919788,,"AgBiz Accountants Limited, 2 Kirkwood Street, Cambridge, Cambridge, 3434
, New Zealand","AgBiz Accountants Limited, 2 Kirkwood Street, Cambridge, Cambridge, 3434
, New Zealand",,,,,,,,
312,1197437,9429036573608,21 Mar 2002,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1197437,1197437,,"142 Hart Road, Rd 12, Rakaia, 7782
, New Zealand","142 Hart Road, Rd 12, Rakaia, 7782
, New Zealand",,,,,,,,
313,1860357,9429033896250,31 Aug 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1860357,1860357,,"20 Hulme Street, Palmerston North
, New Zealand","20 Hulme Street, Palmerston North
, New Zealand",,,,,,,,
314,518910,9429039071200,02 Sep 1991,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco518910,518910,,"14 West Street, Auckland
, New Zealand","14 West Street, Auckland
, New Zealand",,,,,,,,June
315,1572580,9429035100478,05 Nov 2004,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1572580,1572580,,"70 Racecourse Road, Whitianga, Whitianga, 3510
, New Zealand","70 Racecourse Road, Whitianga, Whitianga, 3510
, New Zealand",,,,,,,,
316,2335136,9429031855174,05 Oct 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2335136,2335136,,"144 King Street, Pukekohe, Pukekohe, 2120
, New Zealand","144 King Street, Pukekohe, Pukekohe, 2120
, New Zealand",,,,,,,,
317,1468827,9429035617563,12 Dec 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1468827,1468827,,"88 Whangaparaoa Road, Whangaparaoa
, New Zealand","88 Whangaparaoa Road, Whangaparaoa
, New Zealand",,,,,,,,
318,196893,9429040059662,27 Apr 1977,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco196893,196893,,"Official Assignee, 500 Victoria Street, Hamilton
, New Zealand","-
, New Zealand",,,,,,,,
319,83980,9429040563152,01 May 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco83980,83980,,"2 Pompallier Tce, Ponsonby, Auckland
, New Zealand",,,,,,,,,
320,1907056,9429033618883,07 Feb 2007,Removed,NZ Limited Company,Yes,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco1907056,1907056,,"2 Motupipi Street, Takaka, 7110
, New Zealand","2 Motupipi Street, Takaka, 7110
, New Zealand",,,,,,,,
321,43573,9429040746326,31 Aug 1935,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco43573,43573,,"MAQ Chartered Accountants Ltd, 4/121, Port Road, Whangarei, 0110
, New Zealand","MAQ Chartered Accountants Ltd, 4/121, Port Road, Whangarei, 0110
, New Zealand",,,,,,,,
322,172891,9429040161990,17 Jan 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco172891,172891,,"C/o Messrs Capper Mcdonald, Taranaki Farmers Building, Cnr Broadway & Regan Streets, Stratford
, New Zealand","-
, New Zealand",,,,,,,,
323,111773,9429032129755,10 Jul 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco111773,111773,,"Ground Floor, 11 Huron St, Takapuna, Auckland
, New Zealand",,,,,,,,,
324,2304532,9429032010565,24 Aug 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2304532,2304532,,"25 Lemington Road, Westmere, Auckland
, New Zealand","25 Lemington Road, Westmere, Auckland
, New Zealand",,,,,,,,
325,1572869,9429035098737,09 Nov 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1572869,1572869,,"Whk, Level 6, 51-53 Shortland Street, Auckland 1010
, New Zealand","Whk, Level 6, 51-53 Shortland Street, Auckland 1010
, New Zealand",,,,,,,,
326,2112892,9429032824926,31 Mar 2008,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2112892,2112892,,"M & H 2015 Limited, 27c William Pickering Drive, Albany, North Shore, 0632
, New Zealand","M & H 2015 Limited, 27c William Pickering Drive, Albany, North Shore, 0632
, New Zealand",,,,,,,,
327,189153,9429040105543,28 Mar 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco189153,189153,,"31 Owhatiura Drive, Rotorua
, New Zealand",,,,,,,,,
328,3718437,9429030804197,17 Feb 2012,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3718437,3718437,,"48b Vernon Terrace, Hillsborough, Christchurch, 8022
, New Zealand","48b Vernon Terrace, Hillsborough, Christchurch, 8022
, New Zealand",,,,,,,,
329,946435,9429037658595,17 Feb 1999,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco946435,946435,,"Level 5, 345 Queen Street, Auckland
, New Zealand","Level 5, 345 Queen Street, Auckland
, New Zealand",,,,,,,,
330,107066,9429040379111,13 Nov 1979,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco107066,107066,,"52 Rayner Road, Piha, Rd 2, New Lynn, 0772
, New Zealand","52 Rayner Road, Piha, Rd 2, New Lynn, 0772
, New Zealand",,,,,,,,
331,103380,9429040413709,05 Jul 1978,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco103380,103380,,"13th Floor Tower Two, Shortland Centre, Shortland Street, Auckland
, New Zealand",,,,,,,,,
332,194505,9429040073354,26 Jun 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco194505,194505,,"288 Beach Road, Onerahi, Whangarei
, New Zealand","288 Beach Road, Onerahi, Whangarei
, New Zealand",,,,,,,,
333,4271520,9429030356672,07 Feb 2013,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4271520,4271520,,"17 Neal Avenue, Glenfield, Auckland, 0629
, New Zealand","17 Neal Avenue, Glenfield, Auckland, 0629
, New Zealand",,,,,,,,
334,2086939,9429032940848,25 Jan 2008,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2086939,2086939,,"Hall & Parsons Ca Ltd, 145 Kitchener Road, Milford, Auckland, 0620
, New Zealand","145 Kitchener Road, Milford, Auckland, 0620
, New Zealand",,,,,,,,
335,1939101,9429033416410,02 May 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1939101,1939101,,"Level 1, 145 Manukau Road, Epsom, Auckland
, New Zealand","Level 1, 145 Manukau Road, Epsom, Auckland
, New Zealand",,,,,,,,
336,913186,9429037821807,01 Jul 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco913186,913186,,"Ingham Mora Limited, Second Floor, 60 Durham Street, Tauranga, 3110
, New Zealand","Ingham Mora Limited, Second Floor, 60 Durham Street, Tauranga, 3110
, New Zealand",,,,,,,,
337,162388,9429040227894,03 Apr 1967,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco162388,162388,,"C/- Coopers & Lybrand, Chartered Accountants, 202-204n Warren Street, Hastings
, New Zealand","-
, New Zealand",,,,,,,,
338,69854,9429040643779,23 Dec 1965,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco69854,69854,,"578 Pollen Street, Thames
, New Zealand","578 Pollen Street, Thames
, New Zealand",,,,,,,,
339,2005094,9429033096506,08 Oct 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2005094,2005094,,"31 Trafalgar Square Shoping Centre, Wanganui
, New Zealand","31 Trafalgar Square Shoping Centre, Wanganui
, New Zealand",,,,,,,,
340,641717,9429038634222,18 Jul 1994,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco641717,641717,,"Ahuroa Road, Ahuroa
, New Zealand","Ahuroa Road, Ahuroa
, New Zealand",,,,,,,,
341,5310641,9429041283349,17 Jun 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5310641,5310641,,"5 Bittern Place, Henderson, Auckland, 0610
, New Zealand","13 Milich Terrace, Te Atatu South, Auckland, 0610
, New Zealand",,,,,,,,
342,156878,9429040257846,17 Dec 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco156878,156878,,"Messrs Kpmg Peat Marwick, Cnr Spey & Deveron Streets, Invercargill
, New Zealand",,,,,,,,,
343,2364087,9429031760331,18 Nov 2009,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2364087,2364087,,"Watershed Chartered Accountants, Level 1 Caro House, 137 Alexandra Street, Hamilton, 3204
, New Zealand","Watershed Chartered Accountants, Level 1 Caro House, 137 Alexandra Street, Hamilton, 3204
, New Zealand",,,,,,,,
344,50287,9429040726106,01 Apr 1953,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco50287,50287,,"40 First View Avenue, Beachlands, Auckland
, New Zealand",,,,,,,,,
345,129646,9429031920285,20 Dec 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco129646,129646,,"Markham & Partners, 188-192 Armagh St, Christchurch
, New Zealand",,,,,,,,,
346,149337,9429034064955,19 Jun 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco149337,149337,,"44 York Place, Dunedin
, New Zealand","-
, New Zealand",,,,,,,,
347,1888641,9429033734361,14 Dec 2006,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1888641,1888641,,"C/- PwC, 15 Customs Street West, Auckland Central, Auckland, 1010
, New Zealand","C/- PwC, 15 Customs Street West, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,
348,1164087,9429036760893,09 Oct 2001,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1164087,1164087,,"60 Tawera Road, Rotorua
, New Zealand","60 Tawera Road, Rotorua
, New Zealand",,,,,,,,
349,502072,9429039124920,11 Mar 1991,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco502072,502072,,"199-205 Ellerslie Panmure Highway, Auckland
, New Zealand",,,,,,,,,
350,1016460,9429037356835,23 Feb 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1016460,1016460,,"192 Collingwood Street, Hamilton
, New Zealand","192 Collingwood Street, Hamilton
, New Zealand",,,,,,,,
351,162011,9429040228419,23 Sep 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco162011,162011,,"Ingram Thompson & Berry, 213 Queen Street East, Hastings
, New Zealand",,,,,,,,,
352,825542,9429038242335,03 Sep 1996,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco825542,825542,,"29 Tarawera Road, St Heliers, Auckland
, New Zealand","29 Tarawera Road, St Heliers, Auckland
, New Zealand",,,,,,,,
353,5332541,9429041300909,03 Jul 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5332541,5332541,,"Koller & Company Ltd, 352 Manchester Street, Christchurch Central, Christchurch, 8013
, New Zealand","Koller & Company Ltd, 352 Manchester Street, Christchurch Central, Christchurch, 8013
, New Zealand",,,,,,,,March
354,57169,9429040699363,01 Jul 1958,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco57169,57169,,"Office Of Blake Cox Park, 433 Pollen Street, Thames
, New Zealand",,,,,,,,,
355,1969864,9429033223759,27 Jul 2007,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1969864,1969864,,"Morrison Creed Advisory, 52 Victoria Avenue, Palmerston North, 4410
, New Zealand","Morrison Creed Advisory, 52 Victoria Avenue, Palmerston North, 4410
, New Zealand",,,,,,,,
356,180025,9429040138558,13 Mar 1957,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco180025,180025,,"C/o Dey Reilly And Co, Wesley Chambers, Victoria St P O Box 556, Hamilton
, New Zealand",,,,,,,,,
357,976825,9429037495695,08 Sep 1999,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco976825,976825,,"6 Boston Road, Mt Eden, Auckland
, New Zealand","6 Boston Road, Mt Eden, Auckland
, New Zealand",,,,,,,,
