,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,FRA Reporting Month:,Reports,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,ACN Number:
251,17328,9429040911441,06 Apr 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco17328,17328,,"Co M&s Eastwood & Eastwood, 35 Perry St Masterton Box 84
, New Zealand",,,,,,,,,,,,,
252,102333,9429040423470,20 Jan 1978,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco102333,102333,,"117 Willow Street, Tauranga
, New Zealand",,,,,,,,,,,,,
253,671719,9429038498992,22 Mar 1995,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco671719,671719,,"7 Tornado Place,, Chatswood, Auckland
, New Zealand","7 Tornado Place, Chatswood, Auckland, Auckland
, New Zealand",,,,,,,,,,,,
254,7930830,9429048039673,24 Mar 2020,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7930830,7930830,,"Mark Chiu, Level 2, 354 Lambton Quay, Wellington, 6146
, New Zealand","Mark Chiu, Level 2, 354 Lambton Quay, Wellington, 6146
, New Zealand",,,,,,,,,,,,
255,8825209,9429051475475,19 Jul 2023,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8825209,8825209,,"Nimita Prasad, 4 Tiel Lane, Papakura, Papakura, 2110
, New Zealand","Nimita Prasad, 4 Tiel Lane, Papakura, Papakura, 2110
, New Zealand",,,,,,,,,,,,
256,3297988,9429031196376,14 Mar 2011,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3297988,3297988,,"ACCOUNTING & TAXATION CENTRE LIMITED, 13-17 Putaitai Street, Stoke, Nelson, 7041
, New Zealand","ACCOUNTING & TAXATION CENTRE LIMITED, 13-17 Putaitai Street, Stoke, Nelson, 7041
, New Zealand",,,,,,,,,,,,
257,161397,9429040233482,08 Jul 1963,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco161397,161397,,"C/- Coopers & Lybrand, Chartered Accountants, Cnr Bower & Raffle Streets, Napier
, New Zealand","Same As Registered Office
, New Zealand",,,,,,,,,,,,
258,68824,9429040651026,02 Jul 1965,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco68824,68824,,"Withers Blg, Neville St, Warkworth
, New Zealand","Withers Building, 23 Neville St, Warkworth
, New Zealand",,,,,,,,,,,,
259,107053,9429040377292,12 Nov 1979,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco107053,107053,,"13 Short St, Matamata
, New Zealand",,,,,,,,,,,,,
260,1559983,9429035163084,22 Sep 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1559983,1559983,,"28 Seaside Ave, Waterview, Auckland
, New Zealand","28 Seaside Ave, Waterview, Auckland
, New Zealand",,,,,,,,,,,,
261,168790,9429040184425,05 Aug 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco168790,168790,,"38 Halifax St, Nelson
, New Zealand","-
, New Zealand",,,,,,,,,,,,
262,1534463,9429035284352,13 Jul 2004,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1534463,1534463,,"711 Rainbow Avenue, Parkvale, Hastings, 4122
, New Zealand","711 Rainbow Avenue, Parkvale, Hastings, 4122
, New Zealand",,,,,,,,,,,,
263,1581749,9429035054009,29 Nov 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1581749,1581749,,"20 Freyberg St, St Kilda, Dunedin
, New Zealand","20 Freyberg St, St Kilda, Dunedin
, New Zealand",,,,,,,,,,,,
264,1306997,9429035969655,03 Jun 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1306997,1306997,,"Peter Hong & Associates, Level 1, 68 Oxford Tce, Christchurch
, New Zealand","Peter Hong & Associates, Level 1, 68 Oxford Tce, Christchurch
, New Zealand",,,,,,,,,,,,
265,8172090,9429049164473,22 Mar 2021,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8172090,8172090,,"Daniel Luca, 12 Lytton Street, Wadestown, Wellington, 6012
, New Zealand","Daniel Luca, 12 Lytton Street, Wadestown, Wellington, 6012
, New Zealand",,,,,,,,,,,,
266,1531426,9429035301264,06 Jul 2004,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1531426,1531426,,"Sumpter Baughen Chartered Accountants Limited, 4 Vinery Lane, Whangarei, 0140
, New Zealand","Sumpter Baughen Chartered Accountants Limited, 4 Vinery Lane, Whangarei, 0140
, New Zealand",,,,,,,,,,,,
267,1118648,9429036994304,22 Feb 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1118648,1118648,,"C/-t.l. Reilly & Associates, 116 Mana Espalande, Paremata, Porirua City
, New Zealand","C/-t.l. Reilly & Associates, 116 Mana Esplanade, Paremata, Porirua City
, New Zealand",,,,,,,,,,,,
268,1766379,9429034313633,07 Feb 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1766379,1766379,,"1/30 Kowhai Road, Mairangi Bay, Auckland
, New Zealand","1/30 Kowhai Road, Mairangi Bay, Auckland
, New Zealand",,,,,,,,,,,,
269,69051,9429040649047,10 Aug 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco69051,69051,,"3049 Gt North Rd, Box 15-037, New Lynn, Auckland 7
, New Zealand",,,,,,,,,,,,,
270,1534761,9429035282914,12 Jul 2004,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1534761,1534761,,"Suite 3, 277 Te Irirangi Drive, Flat Bush, Auckland, 2019
, New Zealand","6b Civic Place, Waiuku, Waiuku, 2123
, New Zealand",,,,,,,,,,,,
271,126123,9429031955546,26 Apr 1960,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco126123,126123,,"1 Rimu St, Christchurch
, New Zealand",,,,,,,,,,,,,
272,5836819,9429042040330,28 Oct 2015,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5836819,5836819,,"TvA Limited, Chartered Accountants, 45 Queen Street, Blenheim, Blenheim, 7201
, New Zealand","TvA Limited, Chartered Accountants, 45 Queen Street, Blenheim, Blenheim, 7201
, New Zealand",,,,,,,,,,,,
273,1181644,9429036665198,20 Dec 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1181644,1181644,,"1/28 Uxbridge Road, Howick, Auckland
, New Zealand","1/28 Uxbridge Road, Howick, Auckland
, New Zealand",,,,,,,,,,,,
274,1766350,9429034310694,08 Feb 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1766350,1766350,,"28 Seaside Ave, Waterview, Auckland
, New Zealand","28 Seaside Ave, Waterview, Auckland
, New Zealand",,,,,,,,,,,,
275,587842,9429038850158,27 Apr 1993,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco587842,587842,,"Hayes Knight, Parnell House, 470 Parnell Road, Auckland
, New Zealand","Hayes Knight, Parnell House, 470 Parnell Road, Auckland
, New Zealand",,,,,,,,,,,,
276,1557951,9429035172567,12 Oct 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1557951,1557951,,"143 Queen Street, Northcote
, New Zealand","143 Queen Street, Northcote
, New Zealand",,,,,,,,,,,,
277,329821,9429039655004,11 Dec 1986,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco329821,329821,,"4 Warwick Street, Western Springs, Auckland
, New Zealand","4 Warwick Street, Western Springs, Auckland
, New Zealand",,,,,,,,,,,,
278,129490,9429031923033,12 Oct 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco129490,129490,,"Co Allott Reeves & Co, 120 St Asaph St, Christchurch
, New Zealand",,,,,,,,,,,,,
279,179595,9429040141046,21 Sep 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco179595,179595,,"52 King St, Frankton Jnct
, New Zealand",,,,,,,,,,,,,
280,5707590,9429041766637,28 May 2015,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5707590,5707590,,"24a Lewis Street, Blockhouse Bay, Auckland, 0600
, New Zealand","24a Lewis Street, Blockhouse Bay, Auckland, 0600
, New Zealand",,,,,,,,,,,,
281,38023,9429040777511,23 Jul 1981,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco38023,38023,,"Dg & Jd Lynch Limited, 34 Whitehouse Lane, Titahi Bay
, New Zealand","Dg & Jd Lynch Limited, 34 Whitehouse Lane, Titahi Bay
, New Zealand",,,,,,,,,,,,
282,4100879,9429030451049,12 Nov 2012,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco4100879,4100879,,"11 Grantham Close, Gate Pa, Tauranga, 3112
, New Zealand","11 Grantham Close, Gate Pa, Tauranga, 3112
, New Zealand",,,,,,,,,,,,
283,1501172,9429035459385,07 Apr 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1501172,1501172,,"C/o 8 Normanton St, Glenfield, North Shore City
, New Zealand","C/o 8 Normanton St, Glenfield, North Shore City
, New Zealand",,,,,,,,,,,,
284,101441,9429040433134,17 Aug 1977,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco101441,101441,,"3 Stonex Road, Papatoetoe, Auckland
, New Zealand","3 Stonex Road, Papatoetoe, Auckland
, New Zealand",,,,,,,,,,,,
285,1454513,9429035651697,24 Nov 2003,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1454513,1454513,,"36 Cockayne Cres, Sunnynook, Auckland
, New Zealand","36 Cockayne Cres, Sunnynook, Auckland
, New Zealand",,,,,,,,,,,,
286,2170060,9429032573923,29 Sep 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2170060,2170060,,"6 Richardson Street, Whakatane
, New Zealand","6 Richardson Street, Whakatane
, New Zealand",,,,,,,,,,,,
287,40163,9429040754741,21 Mar 1983,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco40163,40163,,"Coal Corp House, Level 7, 17-21 Dixon Street, Wellington
, New Zealand",,,,,,,,,,,,,
288,4522,9429040964119,29 Mar 1945,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco4522,4522,,"Deloitte Haskins & Sells, Southpac House, 1 Victoria Street, Wellington 6000
, New Zealand",,,,,,,,,,,,,
289,2209690,9429032391350,17 Feb 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2209690,2209690,,"Mathieson Chartered Accountants Ltd, 123 Burnett Street, Ashburton, 7700
, New Zealand","Mathieson Chartered Accountants Ltd, 123 Burnett Street, Ashburton, 7700
, New Zealand",,,,,,,,,,,,
290,1569698,9429035115892,17 Nov 2004,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1569698,1569698,,"162 Dee Street, Invercargill
, New Zealand","162 Dee Street, Invercargill
, New Zealand",,,,,,,,,,,,
291,931691,9429037734404,30 Oct 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco931691,931691,,"105 Port Street East, Feilding
, New Zealand","105 Port Street East, Feilding
, New Zealand",,,,,,,,,,,,
292,147863,9429040303383,23 Oct 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco147863,147863,,"1a Belmont Lane, Dunedin
, New Zealand",,,,,,,,,,,,,
293,53536,9429040713625,28 Mar 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco53536,53536,,"470 Parnell Rd, Auckland 1
, New Zealand",,,,,,,,,,,,,
294,48941,9429040730035,11 Jun 1951,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco48941,48941,,"18a Mcarthur Ave, St Heliers, Auckland
, New Zealand",,,,,,,,,,,,,
295,975134,9429037504458,18 Aug 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco975134,975134,,"112 Riverside Road, Orewa
, New Zealand","112 Riverside Road, Orewa
, New Zealand",,,,,,,,,,,,
296,2174905,9429032549966,29 Sep 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2174905,2174905,,"Vazey Child, 3 London Street, Hamilton
, New Zealand","Vazey Child, 3 London Street, Hamilton
, New Zealand",,,,,,,,,,,,
297,185013,9429040126890,30 Apr 1962,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco185013,185013,,"C/o Stubbs Dougherty And Co.,, Hikurangi House,, Miriama Street,, Taumarunui.
, New Zealand","-
, New Zealand",,,,,,,,,,,,
298,7588,9429040954530,26 Feb 1952,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco7588,7588,,"Co 11a Marion St, Wellington Box 1396
, New Zealand",,,,,,,,,,,,,
299,859076,9429038078019,21 May 1997,Removed,NZ Limited Company,No,Not specified,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco859076,859076,,"Flat 2 / 34 Hansons Lane, Riccarton, Christchurch
, New Zealand","Flat 2 / 34 Hansons Lane, Riccarton, Christchurch
, New Zealand",,,,,,,,,,,,
300,85753,9429040548234,22 Nov 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco85753,85753,,"44 Queen St, Auckland 1
, New Zealand",,,,,,,,,,,,,
301,1660364,9429034664667,06 Jul 2005,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1660364,1660364,,"71 Etherton Road, Weymouth
, New Zealand","71 Etherton Road, Weymouth
, New Zealand",,,,,,,,,,,,
302,5147162,9429041196243,01 May 2014,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5147162,5147162,,"PwC, 109 Ward Street, Hamilton Central, Hamilton, 3204
, New Zealand","PwC, 109 Ward Street, Hamilton Central, Hamilton, 3204
, New Zealand",,,,,,,,,,,,
303,4432518,9429030237933,03 May 2013,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4432518,4432518,,"Chatfield & Co Limited, Level 10, 44 Khyber Pass Road, Grafton, Auckland, 1150
, New Zealand","Chatfield & Co Limited, Level 10, 44 Khyber Pass Road, Grafton, Auckland, 1150
, New Zealand",,,,,,,,,,,,
304,1489035,9429035505433,22 Mar 2004,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1489035,1489035,,"110 Wellington Street, Freemans Bay, Auckland, 1011
, New Zealand","110 Wellington Street, Freemans Bay, Auckland, 1011
, New Zealand",,,,,,,,,,,,
305,136214,9429031844604,27 Jan 1975,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco136214,136214,,"Young & Sharr, 3/137 Hereford Street, Christchurch
, New Zealand","Young & Sharr, 3/137 Hereford Street, Christchurch
, New Zealand",,,,,,,,,,,,
306,93189,9429040498218,03 Dec 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco93189,93189,,"C/o Official Assignee, 2nd Flr Lorne Twrs, Lorne St, Auckland
, New Zealand",,,,,,,,,,,,,
307,4214758,9429030384071,18 Jan 2013,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco4214758,4214758,,"Adair Craik Chartered Accountants Ltd, 78 Reservoir Road, Oamaru, Oamaru North, 9400
, New Zealand","Adair Craik Chartered Accountants Ltd, 78 Reservoir Road, Oamaru, Oamaru North, 9400
, New Zealand",,,,,,,,,,,,
308,632144,9429038679872,30 May 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco632144,632144,,"4 Charles Fox Place, St Johns, Auckland
, New Zealand","4 Charles Fox Place, St Johns, Auckland
, New Zealand",,,,,,,,,,,,
309,1958988,9429033291468,24 Jul 2007,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1958988,1958988,,"Gilligan Rowe & Associates LP, Level 6, 135 Broadway, Newmarket, Auckland, 1023
, New Zealand","Gilligan Rowe & Associates LP, Level 6, 135 Broadway, Newmarket, Auckland, 1023
, New Zealand",,,,,,,,,,,,
310,5651087,9429041673676,25 Mar 2015,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5651087,5651087,,"688b Old Te Aroha Road, Rd 1, Matamata, 3471
, New Zealand","688b Old Te Aroha Road, Rd 1, Matamata, 3471
, New Zealand",,,,,,,,,,,,
311,2102778,9429032872842,12 Mar 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2102778,2102778,,"B D O Waikato Limited, 1026 Victoria Street, Whitiora, Hamilton, 3200
, New Zealand","B D O Waikato Limited, 1026 Victoria Street, Whitiora, Hamilton, 3200
, New Zealand",,,,,,,,,,,,
312,184712,9429040127224,21 Nov 1961,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco184712,184712,,"Co M/s Rex Needham & Co, 21 Vialou St Box 804, Hamilton
, New Zealand",,,,,,,,,,,,,
313,8484813,9429050860340,27 Sep 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8484813,8484813,,"51 Broadhurst Road, Flat Bush, Auckland, 2019
, New Zealand","51 Broadhurst Road, Flat Bush, Auckland, 2019
, New Zealand",,,,,,,,,,,,
314,62904,9429040676838,18 Apr 1962,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco62904,62904,,"10th Floor, National Mutual Centre, 41 Shortland St, Auckland 1
, New Zealand",,,,,,,,,,,,,
315,265122,9429039869838,26 Mar 1985,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco265122,265122,,"Robertson Young & Co, King Street, Te Kuiti
, New Zealand","Robertson Young & Co, King Street, Te Kuiti
, New Zealand",,,,,,,,,,,,
316,168352,9429040185644,30 Mar 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco168352,168352,,"38 Halifax St, Nelson
, New Zealand",,,,,,,,,,,,,
317,1023969,9429037317874,21 Mar 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1023969,1023969,,"C/-hk Taylor, 1 Cowan St, Ponsonby Auckland
, New Zealand","C/-hk Taylor, 1 Cowan St, Ponsonby Auckland
, New Zealand",,,,,,,,,,,,
318,1950542,9429033346410,05 Jun 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1950542,1950542,,"C/o Gilligan Rowe & Associates, Level 6, 135 Broadway, Newmarket, Auckland
, New Zealand","C/o Gilligan Rowe & Associates, Level 6, 135 Broadway, Newmarket, Auckland
, New Zealand",,,,,,,,,,,,
319,959733,9429037587352,12 May 1999,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco959733,959733,,"Mc Grath Nicol + Partners (N Z) Limited, Level 17, 34 Shortland Street, Auckland
, New Zealand","Mc Grath Nicol + Partners (N Z) Limited, Level 17, 34 Shortland Street, Auckland
, New Zealand","DOWNEY, Kerryn Mark",MCGRATHNICOL LIMITED,64 9 9265110,,27 Nov 2008,All of the property and assets of each Debtor as charged by the global security deed,,"Notice of End of Receivership 
      						
      							
      								Filed
    							
    							
							
							 29 Nov 2011",,,,
320,547156,9429038985935,23 Jun 1992,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco547156,547156,,"Craig and Associates Limited, 8 Telford Avenue, Mount Eden, Auckland, 1041
, New Zealand","Craig and Associates Limited, 8 Telford Avenue, Mount Eden, Auckland, 1041
, New Zealand",,,,,,,,,,,,
321,6195242,9429045877049,06 Jan 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6195242,6195242,,"C M Saint-Fleur, 24 Blake Greens, Silverdale, Silverdale, 0932
, New Zealand","C M Saint-Fleur, 24 Blake Greens, Silverdale, Silverdale, 0932
, New Zealand",,,,,,,,,,,,
322,1004035,9429037423568,26 Nov 1999,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1004035,1004035,,"14c Briarley Street, Tauranga South, Tauranga, 3112
, New Zealand","14c Briarley Street, Tauranga South, Tauranga, 3112
, New Zealand",,,,,,,,,,,,
323,915971,9429037806224,10 Jul 1998,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco915971,915971,,"C/-my Accountant Ltd, Level 1, 6 Church Street, Nelson
, New Zealand","C/-my Accountant Ltd, Level 1, 6 Church Street, Nelson
, New Zealand",,,,,,,,,,,,
324,135495,9429031855891,29 Apr 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco135495,135495,,"C/o Official Assignee, Cnr Gloucester St And Oxford St, Private Bag, Christchurch
, New Zealand",,,,,,,,,,,,,
325,3527552,9429030968653,16 Sep 2011,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3527552,3527552,,"Cross Group, 320 Dee Street, Avenal, Invercargill, 9810
, New Zealand","Cross Group, 320 Dee Street, Avenal, Invercargill, 9810
, New Zealand",,,,,,,,,,,,
326,1068642,9429037144449,09 Oct 2000,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1068642,1068642,,"C/- Meltzer Mason Heath, Level 5, 345 Queen Street, Auckland
, New Zealand","C/- Meltzer Mason Heath, Level 5, 345 Queen Street, Auckland
, New Zealand",,,,,,,,,,,,
327,1587670,9429035029663,14 Dec 2004,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1587670,1587670,,"23 Strathaven Place, Atawhai, Nelson
, New Zealand","23 Strathaven Place, Atawhai, Nelson
, New Zealand",,,,,,,,,,,,
328,6257577,9429046031570,06 Apr 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6257577,6257577,,"161 Cashel Street, Christchurch Central, Christchurch 8011
, New Zealand","161 Cashel Street, Christchurch Central, Christchurch 8011
, New Zealand",,,,,,,,,,,,
329,7739076,9429047696617,25 Sep 2019,Removed,NZ Limited Company,No,No,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco7739076,7739076,,"LAY ASSOCIATES (ROLLESTON) LTD, 78a Rolleston Drive, Rolleston, Rolleston, 7614
, New Zealand","LAY ASSOCIATES (ROLLESTON) LTD, 78a Rolleston Drive, Rolleston, Rolleston, 7614
, New Zealand",,,,,,,,,,,,
330,526694,9429039046697,31 Jan 1992,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco526694,526694,,"4 Riccarton Road, Christchurch
, New Zealand",,,,,,,,,,,,,
331,346257,9429039601773,03 Jun 1987,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco346257,346257,,"Level 12, 17 Albert Street, Auckland, 1010
, New Zealand","Level 12, 17 Albert Street, Auckland, 1010
, New Zealand",,,,,,,,,,,,
332,1567667,9429035125891,26 Oct 2004,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1567667,1567667,,"18 Watermill Lane, Silverdale., Auckland, 0932
, New Zealand","18 Watermill Lane, Silverdale., Auckland, 0932
, New Zealand",,,,,,,,,,,,
333,21,9429037274177,07 May 1973,Removed,Overseas NonASIC Company,No,,,httpsapp.companiesoffice.govt.nzco21,21,,,,,,,,,,,,,"5 Paton Avenue, Papatoetoe, Auckland
,",,
334,191722,9429040093291,21 Jun 1963,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco191722,191722,,"Mc Indoe & Murphy, Victoria St, Dargaville
, New Zealand","-
, New Zealand",,,,,,,,,,,,
335,47225,9429040734583,31 Mar 1949,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco47225,47225,,"Parnell House, 470 Parnell Road, Auckland
, New Zealand","Parnell House, 470 Parnell Road, Auckland
, New Zealand",,,,,,,,,,,,
336,75802,9429040611167,20 Dec 1968,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco75802,75802,,"407 Glenfield Rd, Auckland 1
, New Zealand",,,,,,,,,,,,,
337,1999434,9429033102498,04 Oct 2007,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1999434,1999434,,"28 Mcdiarmid Crescent, Huntly, 3700
, New Zealand","28 Mcdiarmid Crescent, Huntly, 3700
, New Zealand",,,,,,,,,,,,
338,251820,9429039913890,22 Aug 1984,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco251820,251820,,"Level 2, Arthur Young House, 109-113 Powderham Street, New Plymouth
, New Zealand","-
, New Zealand",,,,,,,,,,,,
339,1674716,9429034616048,05 Aug 2005,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1674716,1674716,,"Mallett Angelo Quinn Ltd, 1st Floor, 5 Hunt Street, Whangarei
, New Zealand","Beverley Callaghan, 51a Albert Street, Kawakawa, 0210
, New Zealand",,,,,,,,,,,,
340,54408,9429040708607,26 Oct 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco54408,54408,,"52 Arney Road, Auckland 5
, New Zealand",,,,,,,,,,,,,
341,1592460,9429035003045,10 Jan 2005,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1592460,1592460,,"65 Red Beach Road, Red Beach
, New Zealand","65 Red Beach Road, Red Beach
, New Zealand",,,,,,,,,,,,
