,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,Directors,address.Type of entity,Country of Origin:,FRA Reporting Month:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Vacated:,Brief description of propertyin receivership:,Reports,Status:,Liquidator:
268,4001858,9429030519503,10 Sep 2012,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco4001858,4001858,,"TFS CHARTERED ACCOUNTANTS LIMITED, 214 Main Road, Tawa, Wellington, 5028
, New Zealand","TFS CHARTERED ACCOUNTANTS LIMITED, 214 Main Road, Tawa, Wellington, 5028
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
269,6855613,9429046798657,30 May 2018,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6855613,6855613,,"161 Cashel Street, Christchurch Central, Christchurch 8011
, New Zealand","161 Cashel Street, Christchurch Central, Christchurch 8011
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
270,125694,9429031961264,26 Aug 1958,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco125694,125694,,"Level 8, Westpac Tower, 120 Albert Street, Auckland
, New Zealand","Level 8, Westpac Tower, 120 Albert Street, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
271,2210073,9429032392227,19 Feb 2009,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco2210073,2210073,,"KPMG, 18 Viaduct Harbour Avenue, Auckland Central, Auckland, 1010
, New Zealand","KPMG, 18 Viaduct Harbour Avenue, Auckland Central, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
272,1139819,9429036892617,23 May 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1139819,1139819,,"Robertson Bixley & Assoc, Cnr East & Wood Sts, Papakura, Auckland
, New Zealand","Robertson Bixley & Assoc, Cnr East & Wood Sts, Papakura, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
273,2029462,9429033065595,29 Oct 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2029462,2029462,,"Walker Townsend Limited, Level 5, 64 Khyber Pass Rd, Newmarket, Auckland, 1023
, New Zealand","Walker Townsend Limited, Level 5, 64 Khyber Pass Rd, Newmarket, Auckland, 1023
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
274,341011,9429039618498,21 May 1987,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco341011,341011,,"Bdo Spicers (christchurch) Ltd, Spicer House, 148 Victoria Street, Christchurch
, New Zealand","Bdo Spicers (christchurch) Ltd, Level 6, 148 Victoria Street, Christchurch
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
275,3035320,9429031452182,30 Jul 2010,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco3035320,3035320,,"22 Wernham Place, Northcote, Auckland, 0626
, New Zealand","22 Wernham Place, Northcote, Auckland, 0626
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
276,6736794,9429046629302,13 Mar 2018,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6736794,6736794,,"Chris Bennett, Apartment 1305, 145 Nelson Street, Auckland Central, Auckland, 1010
, New Zealand","Chris Bennett, Apartment 1305, 145 Nelson Street, Auckland Central, Auckland, 1010
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
277,923228,9429037772048,16 Sep 1998,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco923228,923228,,"1325c Eruera Street, Rotorua
, New Zealand","Po Box 2096, Rotorua
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
278,198205,9429040045139,12 Apr 1979,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco198205,198205,,"210 Old Taupo Rd, Rotorua
, New Zealand",,,,,,,,,,,,,,,,,
279,147174,9429040307190,08 Jul 1966,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco147174,147174,,"C H Pratt, 38 Clyde St, Balclutha
, New Zealand","-
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
280,146805,9429040307398,10 Dec 1964,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco146805,146805,,"Clarke Craw & Partners, Cnr Clark St & High St, Dunedin
, New Zealand","-
, New Zealand",,,,,,,,,,,,,,,,
281,896255,9429037902797,12 Mar 1998,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco896255,896255,,"Level One, 567 Wairakei Road, Christchurch, 8053, 0000
, New Zealand","Level One, 567 Wairakei Road, Christchurch, 8053, 0000
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
282,978208,9429037487713,06 Sep 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco978208,978208,,"114 Coronation Road, Mangere, Auckland
, New Zealand","114 Coronation Road, Mangere, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
283,647326,9429038609176,16 Sep 1994,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco647326,647326,,"15 Swanson St, Auckland Central
, New Zealand","15 Swanson Street, Auckland Central
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
284,978895,9429037486662,14 Sep 1999,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco978895,978895,,"Level 5, 80 Greys Ave, Auckland City
, New Zealand","Level 5, 80 Greys Ave, Auckland City
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
285,1762345,9429034330258,27 Jan 2006,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1762345,1762345,,"C/-affleck & Dodd Limited, Level 1, 65 Centennial Avenue, Alexandra
, New Zealand","C/-affleck & Dodd Limited, Level 1, 65 Centennial Avenue, Alexandra
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
286,61685,9429040683560,05 Jul 1961,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco61685,61685,,"11 Rangitoto View Road, Howick
, New Zealand",,,,,,,,,,,,,,,,,
287,2149498,9429032665697,08 Jul 2008,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2149498,2149498,,"C/-soo & Associates, 1 Hammond Place, Birkenhead, Auckland
, New Zealand","C/-soo & Associates, 1 Hammond Place, Birkenhead, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
288,72670,9429040629063,12 May 1967,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco72670,72670,,"C/o Sumpter And Baughen 1st Floor, 4 Vinery Lane, Whangarei
, New Zealand",,,,,,,,,,,,,,,,,
289,1232015,9429036374069,13 Aug 2002,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1232015,1232015,,"Taurus Group Ltd, Level 1, 22 Foster Street, Christchurch, 8011
, New Zealand","Taurus Group Ltd, Level 1, 22 Foster Street, Christchurch, 8011
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
290,1633337,9429034774045,26 May 2005,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1633337,1633337,,"Jb Lloyd Chartered Accountants Limited, 7 Totara Street, Mount Maunganui
, New Zealand","Jb Lloyd Chartered Accountants Limited, 7 Totara Street, Mount Maunganui
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
291,6618733,9429046523877,19 Dec 2017,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6618733,6618733,,"20 Keppoch Court, Dannemora, Auckland, 2016
, New Zealand","20 Keppoch Court, Dannemora, Auckland, 2016
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
292,90751,9429040512310,24 Dec 1924,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco90751,90751,,"Level 13, Ceramco House, 57 Fort Street, Auckland 1
, New Zealand",,,,,,,,,,,,,,,,,
293,1945672,9429033379807,28 May 2007,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1945672,1945672,,"268 Cranford Street, St Albans, Christchurch, 8052
, New Zealand","268 Cranford Street, St Albans, Christchurch, 8052
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
294,1371916,9429035832294,15 Aug 2003,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1371916,1371916,,"Lay Dodd Partners, 3 Owens Road, Epsom, Auckland
, New Zealand","Lay Dodd Partners, 3 Owens Road, Epsom, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
295,1012238,9429037381097,10 Feb 2000,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1012238,1012238,,"94 Langdale Avenue, Paraparaumu
, New Zealand","94 Langdale Avenue, Paraparaumu
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
296,25414,9429040869513,04 Oct 1971,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco25414,25414,,"8th Floor, World Trade Centre, Sturdee St, Wellington
, New Zealand",,,,,,,,,,,,,,,,,
297,1489446,9429035504153,05 Mar 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1489446,1489446,,"31a Beaubank Rd, Kelston, Waitakere City, Auckland
, New Zealand","31a Beaubank Rd, Kelston, Waitakere City, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
298,558637,9429038944239,04 Aug 1992,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco558637,558637,,"68 Mead St, Avondale, Auckland
, New Zealand","68 Mead St, Avondale, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
299,2152060,9429032655605,11 Jul 2008,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2152060,2152060,,"22 Riverhills Avenue, Pakuranga Heights, Auckland, 2010
, New Zealand","22 Riverhills Avenue, Pakuranga Heights, Auckland, 2010
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
300,97746,9429040463568,14 Apr 1976,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco97746,97746,,"31 Beaumonts Way, Manurewa
, New Zealand",,,,,,,,,,,,,,,,,
301,80226,9429040586885,02 Oct 1970,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco80226,80226,,"36 Cheltenham Rd, Devonport, Auckland 9
, New Zealand",,Showing 2 of 2 directors,,,,,,,,,,,,,,,
302,1537599,9429035271222,20 Jul 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1537599,1537599,,"12 Pattie Street, Petone, Wellington
, New Zealand","12 Pattie Street, Petone, Wellington
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
303,672652,9429038493836,01 Apr 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco672652,672652,,"Rear Suite, Level 1, 29 Kings Crescent, Lower Hutt
, New Zealand","Rear Suite, Level 1, 29 Kings Crescent, Lower Hutt
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
304,110255,9429032146196,22 Dec 1980,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco110255,110255,,"487 Parnell Road, Auckland
, New Zealand",,,,,,,,,,,,,,,,,
305,1171155,9429036721443,30 Oct 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1171155,1171155,,"21 Centorian Dr., Mairangi Bay, Auckland
, New Zealand","21 Centorian Dr., Mairangi Bay, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
306,1829113,9429034048726,13 Jun 2006,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1829113,1829113,,"495 Lower Styx Rd, Christchurch 8083
, New Zealand","495 Lower Styx Rd, Christchurch 8083
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
307,2333451,9429031860734,15 Oct 2009,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2333451,2333451,,"89a Browne Street, Waitara, Waitara, 4320
, New Zealand","89a Browne Street, Waitara, Waitara, 4320
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
308,174734,9429040150321,11 Sep 1941,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco174734,174734,,"Rangitahi St, Otorohanga
, New Zealand",,,,,,,,,,,,,,,,,
309,133199,9429031882972,25 Jun 1958,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco133199,133199,,"C/o Messrs Touche Ross & Co, Chartered Accountants, 291 Madras Street, Christchurch
, New Zealand",,,,,,,,,,,,,,,,,
310,1562131,9429035153023,30 Sep 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1562131,1562131,,"Uhy Haines Norton (auckland) Limited, 22 Catherine Street, Henderson, Auckland 0650
, New Zealand","Uhy Haines Norton (auckland) Limited, 22 Catherine Street, Henderson, Auckland 0650
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
311,1239047,9429036334230,24 Sep 2002,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1239047,1239047,,"4b Glenwood Ave, Birkenhead
, New Zealand","4b Glenwood Ave, Birkenhead
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
312,244319,9429039938107,24 Apr 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco244319,244319,,"25 Mcclintock Rd, Massey, Auckland 8
, New Zealand","-
, New Zealand",,,,,,,,,,,,,,,,
313,547049,9429038989728,13 Apr 1992,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco547049,547049,,"16 Newcastle Terrace, Mt Albert, Auckland
, New Zealand","16 Newcastle Terrace, Mt Albert, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
314,5924,9429040960678,04 Nov 1948,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco5924,5924,,"32 Lynmouth Avenue, Karori, Wellington
, New Zealand",,Showing 2 of 2 directors,,,,,,,,,,,,,,,
315,7640876,9429047601826,30 Aug 2019,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco7640876,7640876,,"SIDEKICK TIMARU LIMITED, 156-158 Stafford Street, Timaru, 7910
, New Zealand","SIDEKICK TIMARU LIMITED, 156-158 Stafford Street, Timaru, 7910
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
316,42596,9429040749662,15 Aug 1930,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco42596,42596,,"17 Hall St, Pukekohe
, New Zealand",,Showing 2 of 2 directors,,,,,,,,,,,,,,,
317,4817819,9429041011195,28 Nov 2013,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco4817819,4817819,,"661 Puketarata Road, Rd 4, Otorohanga, 3974
, New Zealand","661 Puketarata Road, Rd 4, Otorohanga, 3974
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
318,8164066,9429049049800,01 Mar 2021,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco8164066,8164066,,"Chris Donovan, 16 Clayden Drive, Gulf Harbour, Auckland, 0930
, New Zealand","Chris Donovan, 16 Clayden Drive, Gulf Harbour, Auckland, 0930
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
319,3829317,9429030664159,16 May 2012,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco3829317,3829317,,"Hopper Developments, Shop 4, 14 Tamariki Avenue, Orewa, Orewa, 0931
, New Zealand","Hopper Developments, Shop 4, 14 Tamariki Avenue, Orewa, Orewa, 0931
, New Zealand",Showing 2 of 3 directors,,,,,,,,,,,,,,,
320,100088,9429040444383,16 Feb 1977,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco100088,100088,,"8th Floor Quay Tower, 29 Customs St, Auckland
, New Zealand",,,,,,,,,,,,,,,,,
321,8406823,9429050673964,14 Jul 2022,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco8406823,8406823,,"25 Landon Avenue, Mangere East, Auckland, 2024
, New Zealand","25 Landon Avenue, Mangere East, Auckland, 2024
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
322,36914,9429040789064,09 Sep 1980,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco36914,36914,,"64 Seabury Ave, Foxton Beach
, New Zealand",,,,,,,,,,,,,,,,,
323,1131196,9429036938728,24 Apr 2001,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1131196,1131196,,"C/o Forsyth & Associates Ltd, Unit 5, 15 Accent Drive, East Tamaki, Auckland
, New Zealand","C/o Forsyth & Associates Ltd, Unit 5, 15 Accent Drive, East Tamaki, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
324,192573,9429040088747,30 Aug 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco192573,192573,,"7 Bank St, Te Awamutu
, New Zealand",,,,,,,,,,,,,,,,,
325,1528598,9429035316923,22 Jun 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1528598,1528598,,"Pricewaterhousecoopers, Level 8, 188 Quay Street, Auckland
, New Zealand","Pricewaterhousecoopers, Level 8, 188 Quay Street, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
326,1512525,9429035399056,07 May 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1512525,1512525,,"4 Market Grove, Lower Hutt
, New Zealand","4 Market Grove, Lower Hutt
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
327,2366127,9429031755252,24 Nov 2009,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco2366127,2366127,,"Cary Mossman Limited, 206w Lyndon Road, Hastings 4122
, New Zealand","Cary Mossman Limited, 206w Lyndon Road, Hastings 4122
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
328,2188997,9429032485868,12 Nov 2008,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2188997,2188997,,"32 Ribbonwood Crescent, Manukau
, New Zealand","32 Ribbonwood Crescent, Manukau
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
329,3043825,9429031440288,03 Aug 2010,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco3043825,3043825,,"159 Mays Rd, St Albans, Christchurch, 8014
, New Zealand","159 Mays Rd, St Albans, Christchurch, 8014
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
330,20495,9429040896434,22 Nov 1967,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco20495,20495,,"80a Queens Drive, Lower Hutt
, New Zealand",,,,,,,,,,,,,,,,,
331,5606505,9429041621561,23 Feb 2015,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5606505,5606505,,"Caroline Greenwood Evans, 44 Nandina Lane, Pukekohe, Pukekohe, 2120
, New Zealand","Caroline Greenwood Evans, 44 Nandina Lane, Pukekohe, Pukekohe, 2120
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
332,27501,9429040856360,06 Apr 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco27501,27501,,"Level 7, Aa Centre, 342 - 352 Lambton Quay, Wellington
, New Zealand",,,,,,,,,,,,,,,,,
333,1292623,9429036030163,14 Apr 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1292623,1292623,,"5 Sabulite Road, Kelston, Auckland, 1007
, New Zealand","5 Sabulite Road, Kelston, Auckland, 1007
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
334,335667,9429039636911,04 May 1987,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco335667,335667,,"Matheson Rae Chartered Accountants Limited, Level One, 1 Papanui Road, Merivale, Christchurch, 8014
, New Zealand","Matheson Rae Chartered Accountants Limited, Level One, 1 Papanui Road, Merivale, Christchurch, 8014
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
335,1406162,9429035752363,22 Sep 2003,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1406162,1406162,,"C/-ferrier Hodgson & Co, Level 16, 45 Queen Street, Auckland
, New Zealand","C/-ferrier Hodgson & Co, Level 16, 45 Queen Street, Auckland
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
336,86833,9429040544168,04 Apr 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco86833,86833,,"25 Tainui Road, Titirangi
, New Zealand",,,,,,,,,,,,,,,,,
337,133761,9429031873406,19 Jul 1972,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco133761,133761,,"208 Oxford Tce, Christchurch
, New Zealand",,,,,,,,,,,,,,,,,
338,1793811,9429034217764,30 Mar 2006,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco1793811,1793811,,"110 Moore Street, Howick, Auckland, 2014
, New Zealand","110 Moore Street, Howick, Auckland, 2014
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
339,81265,9429040578767,26 Mar 1971,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco81265,81265,,"99a Tamaki Dve, Auckland 5
, New Zealand",,,,,,,,,,,,,,,,,
340,2199141,9429032436334,23 Dec 2008,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco2199141,2199141,,"387 Wakefield Quay, Stepneyville, Nelson, 7010
, New Zealand","387 Wakefield Quay, Stepneyville, Nelson, 7010
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
341,1208449,9429036509485,13 May 2002,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1208449,1208449,,"200 Arhmah Street, Central, Christchurch
, New Zealand","6 Park Tce, Lyttleton, Christchurch
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
342,5864284,9429042112372,11 Dec 2015,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5864284,5864284,,"C/- Finlay Dykzeul Limited, Chartered Accountants, 314 Maunganui Road, Mount Maunganui, 3116
, New Zealand","C/- Finlay Dykzeul Limited, Chartered Accountants, 314 Maunganui Road, Mount Maunganui, 3116
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
343,1550350,9429035208105,31 Aug 2004,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1550350,1550350,,"222 Lincoln Road, Christchurch
, New Zealand","222 Lincoln Road, Christchurch
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
344,87686,9429040537788,22 Jun 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco87686,87686,,"Black Swamp Road, R D 5, Wellsford
, New Zealand","Black Swamp Road, R D 5, Wellsford
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
345,822547,9429038257513,20 Aug 1996,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco822547,822547,,"128 Thomas Street, Waikouaiti
, New Zealand","Calvert & Co, 5th Floor Trust Bank Otago Building, 106 George Street, Dunedin
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
346,6099848,9429042552765,05 Sep 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6099848,6099848,,"31 Grange Street, Winton, Winton, 9720
, New Zealand","31 Grange Street, Winton, Winton, 9720
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
347,1956855,9429033303550,19 Jun 2007,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco1956855,1956855,,"76 Powrie Street, Glenfield, Auckland, 0629
, New Zealand","76 Powrie Street, Glenfield, Auckland, 0629
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
348,197614,9429040049052,07 Jun 1978,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco197614,197614,,"117 Willow Street,, Tauranga.
, New Zealand",,,,,,,,,,,,,,,,,
349,3822357,9429030669024,11 May 2012,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco3822357,3822357,,"70 Russley Road, Russley, Christchurch, 8042
, New Zealand","70 Russley Road, Russley, Christchurch, 8042
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
350,1029093,9429037292010,06 Apr 2000,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1029093,1029093,,"Stewart & Co Ltd, 323 Great South Road, Penrose
, New Zealand","Stewart & Co Ltd, 323 Great South Road, Penrose
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
351,1488981,9429035506331,08 Mar 2004,Removed,NZ Limited Company,Yes,Not specified,httpsapp.companiesoffice.govt.nzco1488981,1488981,,"C/o Pricewaterhousecoopers, 5 Sir Gil Simpson Drive, Christchurch, 8053
, New Zealand","C/o Pricewaterhousecoopers, 5 Sir Gil Simpson Drive, Christchurch, 8053
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
352,1526021,9429035329046,29 Jun 2004,Removed,NZ Limited Company,Yes,No,httpsapp.companiesoffice.govt.nzco1526021,1526021,,"Unit 14, 12 Fredrick Street, Wanaka, 9381
, New Zealand","Unit 14, 12 Fredrick Street, Wanaka, 9381
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
353,2091523,9429032920611,18 Feb 2008,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco2091523,2091523,,"35-39 Shirley Road, Papatoetoe, Auckland
, New Zealand","35-39 Shirley Road, Papatoetoe, Auckland
, New Zealand",Showing 2 of 2 directors,,,,,,,,,,,,,,,
354,5057700,9429041147894,24 Mar 2014,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco5057700,5057700,,"Level 6, 59 High Street, Auckland Central, Auckland, 1010
, New Zealand","Level 6, 59 High Street, Auckland Central, Auckland, 1010
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
355,6063868,9429042483106,01 Aug 2016,Removed,NZ Limited Company,No,No,httpsapp.companiesoffice.govt.nzco6063868,6063868,,"A Team Labour Hire Ltd, 218 Walnut Avenue, Ashburton, Ashburton, 7700
, New Zealand","A Team Labour Hire Ltd, 218 Walnut Avenue, Ashburton, Ashburton, 7700
, New Zealand",Showing 1 of 1 directors,,,,,,,,,,,,,,,
356,87158,9429040539454,08 May 1973,Removed,NZ Limited Company,No,Not specified,httpsapp.companiesoffice.govt.nzco87158,87158,,"89 Revell St, Hokitika
, New Zealand",,,,,,,,,,,,,,,,,
