,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Receiver:,Organisation:,Phone:,Email:,Appointed:,Vacated:,Brief description of propertyin receivership:,Reports
188,1687917,9429034565353,06 Sep 2005,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1687917,1687917,,"accountants @whanga limited, Cnr Cament &port Roads Whangamata, Whangamata, Coromandel, 3620
, New Zealand","accountants @whanga limited, Cnr Cament &port Roads Whangamata, Whangamata, Coromandel, 3620
, New Zealand",,,,,,,,,
189,1079141,9429037126131,25 Sep 2000,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1079141,1079141,,"35 May Street, Mount Maunganui, 3116
, New Zealand","35 May Street, Mount Maunganui, 3116
, New Zealand",,,,,,,,,
190,6310333,9429046188915,14 Jun 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6310333,6310333,,"33k Rimu Street, Eastbourne, Lower Hutt, 5013
, New Zealand","33k Rimu Street, Eastbourne, Lower Hutt, 5013
, New Zealand",,,,,,,,,
191,108233,9429032255959,11 Dec 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco108233,108233,,"2 Bledisloe St, Papatoetoe
, New Zealand",,,,,,,,,,
192,111169,9429032137316,01 May 1981,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco111169,111169,,"18 Fencible Drive, Howick
, New Zealand",,,,,,,,,,
193,59090,9429040693323,23 Dec 1959,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco59090,59090,,"C/o G W Morrison, 41 Seddon Place, Pukekohe
, New Zealand",,,,,,,,,,
194,173963,9429040151915,05 Feb 1925,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco173963,173963,,"Anchor House, 80 London St, Hamilton
, New Zealand",,,,,,,,,,
195,2354991,9429031797207,30 Oct 2009,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2354991,2354991,,"2 Wavy Knowes Drive, Waldronville, Dunedin, 9018
, New Zealand","2 Wavy Knowes Drive, Waldronville, Dunedin, 9018
, New Zealand",,,,,,,,,
196,98234,9429040458410,11 Jun 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco98234,98234,,"22 Seine Rd, Milford, Auckland
, New Zealand",,,,,,,,,,
197,1749846,9429034377475,19 Dec 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1749846,1749846,,"C/-initiom Limited, 14 Knox Street, Hamilton
, New Zealand","C/-initiom Limited, 14 Knox Street, Hamilton
, New Zealand",,,,,,,,,
198,892281,9429037923693,22 Jan 1998,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco892281,892281,,"Level 10, 52 Swanson Street, Auckland, 1010
, New Zealand","Level 10, 52 Swanson Street, Auckland, 1010
, New Zealand",,,,,,,,,
199,1075161,9429037131432,21 Sep 2000,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1075161,1075161,,"27 Camberwell Place, Christchurch
, New Zealand","27 Camberwell Place, Christchurch
, New Zealand",,,,,,,,,
200,196291,9429040062921,19 Jul 1976,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco196291,196291,,"32 Willow St, Tauranga
, New Zealand",,,,,,,,,,
201,71824,9429040635293,31 Oct 1983,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco71824,71824,,"10 Davis Crescent, Newmarket
, New Zealand",,,,,,,,,,
202,78415,9429040595856,05 Feb 1970,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco78415,78415,,"110 Paratai Drive, Orakei
, New Zealand","110 Paratai Drive, Orakei
, New Zealand",,,,,,,,,
203,190745,9429040101095,21 Apr 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco190745,190745,,"R D 3, Tauranga
, New Zealand",,,,,,,,,,
204,187670,9429040115191,21 Feb 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco187670,187670,,"C/o Mr K F Newman, Arawa St, Matamata
, New Zealand",,,,,,,,,,
205,74818,9429040617824,03 Jul 1968,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco74818,74818,,"Campbell Tyson Limited, 17 Hall St, Pukekohe, Auckland, 2120
, New Zealand","Campbell Tyson Limited, 17 Hall St, Pukekohe, Auckland, 2120
, New Zealand",,,,,,,,,
206,32141,9429040830780,26 Mar 1976,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco32141,32141,,"82 Courtenay Pl, Wellington
, New Zealand",,,,,,,,,,
207,199161,9429040034805,21 Jul 1980,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco199161,199161,,"Ingrid Derbyshire, 492 Gladstone Road, Te Hapara, Gisborne, 4010
, New Zealand","Ingrid Derbyshire, 492 Gladstone Road, Te Hapara, Gisborne, 4010
, New Zealand",,,,,,,,,
208,1187211,9429036633135,01 Feb 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1187211,1187211,,"Pene Johnstone Accounting, Cnr Austin St & Cadbury Road, Onekawa, Napier
, New Zealand","Pene Johnstone Accounting, Cnr Austin St & Cadbury Road, Onekawa, Napier
, New Zealand",,,,,,,,,
209,80363,9429040584805,22 Oct 1970,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco80363,80363,,"Official Assignee, 6th Floor Justice Dept, 3 Kingston St, Auckland
, New Zealand",,,,,,,,,,
210,2301506,9429032028003,13 Aug 2009,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2301506,2301506,,"C/-quigg Partners, Level 7, 28 Brandon Street, Wellington
, New Zealand","C/-quigg Partners, Level 7, 28 Brandon Street, Wellington
, New Zealand",,,,,,,,,
211,3201189,9429031301152,23 Nov 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3201189,3201189,,"SBA Riccarton, 62 Riccarton Road, Christchurch, 8011
, New Zealand","SBA Riccarton, 62 Riccarton Road, Christchurch, 8011
, New Zealand",,,,,,,,,
212,707335,9429038383489,08 Dec 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 5 directors,httpsapp.companiesoffice.govt.nzco707335,707335,,"C/-hislop Wilson Iles, The Carlton, Centre, 100 Carlton Gore Rd, Newmarket, Auckland
, New Zealand","C/-hislop Wilson Iles, The Carlton, Centre, 100 Carlton Gore Rd, Newmarket, Auckland
, New Zealand",,,,,,,,,
213,2102774,9429032872491,05 Mar 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2102774,2102774,,"4 Rosalie Terrace, Kelvin Grove, Palmerston North, 4414
, New Zealand","4 Rosalie Terrace, Kelvin Grove, Palmerston North, 4414
, New Zealand",,,,,,,,,
214,8539526,9429050991259,30 Nov 2022,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco8539526,8539526,,"63 Ririnui Place, Maungatapu, Tauranga, 3112
, New Zealand","63 Ririnui Place, Maungatapu, Tauranga, 3112
, New Zealand",,,,,,,,,
215,2501329,9429031516327,26 May 2010,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2501329,2501329,,"95 Manukau Road, Epsom, Auckland
, New Zealand","95 Manukau Road, Epsom, Auckland
, New Zealand",,,,,,,,,
216,1958358,9429033293561,28 Jun 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1958358,1958358,,"Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand","Robertson Bixley Limited, 33 Coles Crescent, Papakura, 2110
, New Zealand",,,,,,,,,
217,469886,9429039219565,03 May 1990,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco469886,469886,,"192 Manchester Street, Christchurch
, New Zealand","192 Manchester Street, Christchurch
, New Zealand",,,,,,,,,
218,2140685,9429032703351,11 Jun 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2140685,2140685,,"18 Rangitiki Crescent, Lynfield, Auckland, 1042
, New Zealand","18 Rangitiki Crescent, Lynfield, Auckland, 1042
, New Zealand",,,,,,,,,
219,21364,9429040890425,20 Sep 1968,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco21364,21364,,"Mobile Financial Services Ltd, 173 Salisbury St, Ashhurst
, New Zealand","Mobile Financial Services Limited, 173 Salisbury Street, Ashhurst
, New Zealand",,,,,,,,,
220,1937385,9429033429243,01 May 2007,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1937385,1937385,,"5 Hunt Street, Whangarei, Whangarei, 0110
, New Zealand","5 Hunt Street, Whangarei, Whangarei, 0110
, New Zealand",,,,,,,,,
221,19126,9429040902494,01 Sep 1966,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco19126,19126,,"98 Aorangi St, Feilding
, New Zealand",,,,,,,,,,
222,1259749,9429036223893,27 Nov 2002,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1259749,1259749,,"11a Bishop Street, Green Bay, Auckland 1007
, New Zealand","11a Bishop Street, Green Bay, Auckland 1007
, New Zealand",,,,,,,,,
223,2410068,9429031654142,24 Feb 2010,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2410068,2410068,,"188 Ngahina Road, Rd1, Whakatane, Nz
, New Zealand","188 Ngahina Road, Rd1, Whakatane, Nz
, New Zealand",,,,,,,,,
224,2152886,9429032654097,24 Jul 2008,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2152886,2152886,,"C/-a.m.s. Limited, 44 York Place, Dunedin
, New Zealand","C/-a.m.s. Limited, 44 York Place, Dunedin
, New Zealand",,,,,,,,,
225,53822,9429040711577,13 Jun 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco53822,53822,,"Parnell Hse, 470 Parnell Rd, Auckland 1
, New Zealand",,,,,,,,,,
226,5960549,9429042299325,18 Apr 2016,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5960549,5960549,,"KC PARTNERS CHARTERE, Level 1, Unit 13, 123 Ormiston Road, Botany Junction,, Auckland, 2016
, New Zealand","10 Cornwall Road, Mangere, Auckland, 2022
, New Zealand",,,,,,,,,
227,6544232,9429046453129,15 Nov 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6544232,6544232,,"35 Mahoney Drive, Albany, Auckland, 0632
, New Zealand","35 Mahoney Drive, Albany, Auckland, 0632
, New Zealand",,,,,,,,,
228,2163046,9429032605860,14 Aug 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2163046,2163046,,"Gw Scott & Associates Limited, Chartered Accountants, 23 Empire Street, Cambridge
, New Zealand","Gw Scott & Associates Limited, Chartered Accountants, 23 Empire Street, Cambridge
, New Zealand",,,,,,,,,
229,6002610,9429042364481,23 May 2016,Removed,NZ Limited Company,Yes,No,Showing 2 of 4 directors,httpsapp.companiesoffice.govt.nzco6002610,6002610,,"7 Sophia Place, Karaka, Papakura, 2113
, New Zealand","7 Sophia Place, Karaka, Papakura, 2113
, New Zealand",,,,,,,,,
230,3202808,9429031298933,23 Nov 2010,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3202808,3202808,,"4 Waiata Avenue, Remuera, Auckland, 1050
, New Zealand","4 Waiata Avenue, Remuera, Auckland, 1050
, New Zealand",,,,,,,,,
231,190216,9429040101613,28 Aug 1969,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco190216,190216,,"Pakes Building, 269 Tutanekai Street, Rotorua
, New Zealand","-
, New Zealand",,,,,,,,,
232,109611,9429032154764,10 Oct 1980,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco109611,109611,,"35 Waiohua Road, One Tree Hill, Auckland
, New Zealand",,,,,,,,,,
233,1792586,9429034223758,22 Mar 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1792586,1792586,,"C/-ross Alleman & Co, 46 Taupiri Street, Te Kuiti
, New Zealand","C/-ross Alleman & Co, 46 Taupiri Street, Te Kuiti
, New Zealand",,,,,,,,,
234,131357,9429031901376,07 Jul 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco131357,131357,,"291 Madras St, Christchurch
, New Zealand",,,,,,,,,,
235,179051,9429040139968,08 Feb 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco179051,179051,,"7 Bank St, Te Awamutu
, New Zealand",,,,,,,,,,
236,845483,9429038147050,17 Mar 1997,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco845483,845483,,"Level 5, 57 Fort Street, Auckland
, New Zealand","Level 5, 57 Fort Street, Auckland
, New Zealand",,,,,,,,,
237,74392,9429040621395,16 Feb 1959,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco74392,74392,,"640 Great South Road, Manukau City, Auckland
, New Zealand",,,,,,,,,,
238,19579,9429040900841,16 Feb 1967,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco19579,19579,,"T A Carr, 9 Tollemache Place, Tauranga
, New Zealand",,,,,,,,,,
239,200809,9429040020549,24 May 1982,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco200809,200809,,"D P Middleton, Chartered Accountant, 231 Rodney St, Wellsford
, New Zealand",,,,,,,,,,
240,1351746,9429035873006,18 Jul 2003,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1351746,1351746,,"73 Youngson Road, Rd 8, Tauranga, 3180
, New Zealand","73 Youngson Road, Rd 8, Tauranga, 3180
, New Zealand",,,,,,,,,
241,113403,9429032103885,11 Feb 1982,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco113403,113403,,"Ardmore Rd, R D, Papakura
, New Zealand",,,,,,,,,,
242,7095222,9429047098633,25 Oct 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7095222,7095222,,"Donald Ramsay, 96 Bruce Avenue, Glenview, Hamilton, 3206
, New Zealand","Donald Ramsay, 96 Bruce Avenue, Glenview, Hamilton, 3206
, New Zealand",,,,,,,,,
243,1762675,9429034327128,03 Feb 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1762675,1762675,,"3a/10 Hobson Street, Auckland Cbd 1001
, New Zealand","3a/10 Hobson Street, Auckland Cbd 1001
, New Zealand",,,,,,,,,
244,1177927,9429036684618,03 Dec 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1177927,1177927,,"285 Cashel Street, Cbd, Christchurch
, New Zealand","285 Cashel Street, Cbd, Cristchurch
, New Zealand",,,,,,,,,
245,122057,9429031990820,29 May 1940,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco122057,122057,,"6 Ridgetop Rise, Rd 2, Blenheim, 7272
, New Zealand","6 Ridgetop Rise, Rd 2, Blenheim, 7272
, New Zealand",,,,,,,,,
246,396939,9429039440556,02 Jun 1988,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco396939,396939,,"48 Sydney Street, Petone
, New Zealand",,,,,,,,,,
247,1103861,9429037067342,23 Nov 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1103861,1103861,,"1155 Two Chain Road, Swannnanoa, Christchurch
, New Zealand","1155 Two Chain Road, Swannnanoa, Christchurch
, New Zealand",,,,,,,,,
248,1814210,9429034122587,10 May 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1814210,1814210,,"11 Rowe Road, Rd 44, Urenui
, New Zealand","11 Rowe Road, Rd 44, Urenui
, New Zealand",,,,,,,,,
249,2354739,9429031799010,10 Nov 2009,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2354739,2354739,,"105a Newell Road, Rd3, Hamilton
, New Zealand","105a Newell Road, Rd3, Hamilton
, New Zealand",,,,,,,,,
250,375446,9429039505866,12 Feb 1988,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco375446,375446,,"17 Donald Street, Whangarei
, New Zealand","17 Donald Street, Whangarei
, New Zealand",,,,,,,,,
251,2194469,9429032461244,05 Dec 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2194469,2194469,,"174-178 Glenda Drive, Frankton, Queenstown 9300
, New Zealand","174-178 Glenda Drive, Frankton, Queenstown 9300
, New Zealand",,,,,,,,,
252,147537,9429040305103,06 Aug 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco147537,147537,,"77 Union St, Milton
, New Zealand",,,,,,,,,,
253,2362068,9429031766104,17 Nov 2009,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2362068,2362068,,"Unit E, 46 Stanley Street, Auckland, 1010
, New Zealand","Unit E, 46 Stanley Street, Auckland, 1010
, New Zealand",,,,,,,,,
254,4964479,9429041101629,19 Feb 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4964479,4964479,,"17 Milne Terrace, Island Bay, Wellington, 6023
, New Zealand","17 Milne Terrace, Island Bay, Wellington, 6023
, New Zealand",,,,,,,,,
255,1026761,9429037301811,11 Apr 2000,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1026761,1026761,,"1b Pisces Road, Glen Eden, Auckland, 0602
, New Zealand","1b Pisces Road, Glen Eden, Auckland, 0602
, New Zealand",,,,,,,,,
256,80812,9429040581156,21 Dec 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco80812,80812,,"56 Oshannessey St, Papakura
, New Zealand",,,,,,,,,,
257,2056531,9429033033174,19 Nov 2007,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2056531,2056531,,"72 Rowan Avenue, Aranui, Christchurch
, New Zealand","72 Rowan Avenue, Aranui, Christchurch
, New Zealand",,,,,,,,,
258,7216733,9429047223325,15 Jan 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7216733,7216733,,"Jamie Keehan, 12 Ashwood Avenue, Taupo, 3330
, New Zealand","Jamie Keehan, 12 Ashwood Avenue, Taupo, 3330
, New Zealand",,,,,,,,,
259,5343081,9429041299869,03 Jul 2014,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5343081,5343081,,"611 Mackay Street, Thames, Thames, 3500
, New Zealand","26 Mangorei Road, Strandon, New Plymouth, 4312
, New Zealand",,,,,,,,,
260,1204099,9429036534586,18 Apr 2002,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1204099,1204099,,"DPA Chartered Accountants, 77 Titiraupenga Street, Taupo, Taupo, 3330
, New Zealand","DPA Chartered Accountants, 77 Titiraupenga Street, Taupo, Taupo, 3330
, New Zealand",,,,,,,,,
261,133242,9429031881463,01 Nov 1971,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco133242,133242,,"37 Sparks Road, Christchurch
, New Zealand",,,,,,,,,,
262,1607782,9429034910801,11 Mar 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1607782,1607782,,"Merlo Burgess & Co Ltd, Level 2, 3 Margot Street, Newmarket, Auckland
, New Zealand","Merlo Burgess & Co Ltd, Level 2, 3 Margot Street, Newmarket, Auckland
, New Zealand",,,,,,,,,
263,27100,9429040858876,21 Dec 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco27100,27100,,"Cross Dent And Co, 73-75 Queens Drive, Lower Hutt
, New Zealand",,,,,,,,,,
264,641845,9429038634727,20 Jul 1994,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco641845,641845,,"72 St Georges Bay Road, Parnell, Auckland
, New Zealand","72 St Georges Bay Road, Parnell, Auckland
, New Zealand",,,,,,,,,
265,315079,9429039701992,26 Aug 1986,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco315079,315079,,"60 Celtic Crescent, Ellerslie, Auckland 1005
, New Zealand","60 Celtic Crescent, Ellerslie, Auckland 1005
, New Zealand",,,,,,,,,
266,6332451,9429046229663,06 Jul 2017,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6332451,6332451,,"39 Pemberton Avenue, Bayview, Auckland, 0629
, New Zealand","39 Pemberton Avenue, Bayview, Auckland, 0629
, New Zealand",,,,,,,,,
267,3304588,9429031190824,08 Mar 2011,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3304588,3304588,,"4b Ebenezer Way, Clendon Park, Manukau, 2103
, New Zealand","4b Ebenezer Way, Clendon Park, Manukau, 2103
, New Zealand",,,,,,,,,
268,1549819,9429035211044,27 Aug 2004,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1549819,1549819,,"332 Macwhinney Drive, Rd 1, Drury, 2577
, New Zealand","332 Macwhinney Drive, Rd 1, Drury, 2577
, New Zealand",,,,,,,,,
269,2206136,9429032410273,09 Feb 2009,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2206136,2206136,,"Ingham Mora Limited, Second Floor, 60 Durham Street, Tauranga, 3110
, New Zealand","Ingham Mora Limited, Second Floor, 60 Durham Street, Tauranga, 3110
, New Zealand",,,,,,,,,
270,78601,9429040595061,04 Mar 1970,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco78601,78601,,"C/-drk Chartered Accountants Ltd, 83b Ingram Road, Rd 3, Drury, 2579
, New Zealand","65 Old Coach Way, Rd 3, Drury, 2579
, New Zealand",,,,,,,,,
271,691482,9429038432767,22 Sep 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco691482,691482,,"Proser Quirke & Co.,, 6 Blake Street, Rangiora
, New Zealand","Prosser Quirke & Co.,, 6 Blake Street,, Rangiora
, New Zealand",,,,,,,,,
272,6970496,9429046954589,09 Aug 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco6970496,6970496,,"Danny Kearns, 42a Stonebridge Way, Prebbleton, Prebbleton, 7604
, New Zealand","Danny Kearns, 42a Stonebridge Way, Prebbleton, Prebbleton, 7604
, New Zealand",,,,,,,,,
273,3549551,9429030948150,15 Sep 2011,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3549551,3549551,,"RMY Legal, 136-138 Powderham Street, New Plymouth, 4310
, New Zealand","RMY Legal, 136-138 Powderham Street, New Plymouth, 4310
, New Zealand",,,,,,,,,
274,1022165,9429037328245,07 Apr 2000,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1022165,1022165,,"Suite 4, 2b/1 William Pickering Drive, Albany
, New Zealand","Suite 4, 2b/1 William Pickering Drive, Albany
, New Zealand",,,,,,,,,
275,70316,9429040642345,01 Apr 1966,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco70316,70316,,"The Offices Of Kelly Riggs Ltd, Chartered Accountants (ground Floor), 11 Massey Avenue, Pukekohe
, New Zealand","The Offices Of Kelly Riggs Ltd, Chartered Accountants, 11 Massey Ave, Pukekohe
, New Zealand",,,,,,,,,
276,74781,9429040619286,27 Jun 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco74781,74781,,"C/o Lester Mckinstry & Co, 4th Floor Dingwall Bldgs, 87 Queen St, Auckland
, New Zealand",,,,,,,,,,
277,198090,9429040050201,21 Feb 1979,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco198090,198090,,"G H Clout, 4 Horomatangi St, Taupo
, New Zealand",,,,,,,,,,
278,30965,9429040836416,30 May 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco30965,30965,,"232 Riddiford Street, Newtown, Wellington
, New Zealand",,,,,,,,,,
279,73736,9429040624716,28 Nov 1967,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco73736,73736,,"Level 5, Elders House, 60 Khyber Pass Road, Grafton
, New Zealand",,,,,,,,,,
280,1768316,9429034303795,15 Feb 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1768316,1768316,,"109 Cook Street, City, Auckland
, New Zealand","109 Cook Street, City, Auckland
, New Zealand",,,,,,,,,
281,189635,9429040107349,25 Nov 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco189635,189635,,"D L Nairn, Kusabs No 2 Bldg, Tutanekai St, Rotorua
, New Zealand","-
, New Zealand",,,,,,,,,
282,191248,9429040096780,02 Nov 1970,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco191248,191248,,"Gary C Meek, Chartered Accountant, 457 Pollen Street, Thames
, New Zealand","-
, New Zealand",,,,,,,,,
283,62507,9429040678757,22 Dec 1961,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco62507,62507,,"C/o Official Assignee, 2nd Floor Lorne Towers, 10-14 Lorne St, Auckland 1
, New Zealand",,,,,,,,,,
