,Company number:,NZBN:,Incorporation Date:,Company Status:,Entity type:,Constitution filed:,Ultimate holding company,Directors,Company record link:,company_id,address.Registered office address,address.Registered Office,address.Address for service,FRA Reporting Month:,Country of Origin:,address.Principal place of business in NZ,address.Address of person authorised to accept service in NZ,Receiver:,Organisation:,Phone:,Email:,Appointed:,Brief description of propertyin receivership:,Reports,Appointed By:
217,197304,9429040052441,12 Dec 1977,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco197304,197304,,"Chapman & Britten, 1st Floor, 81 Horomatangi Street, Taupo
, New Zealand","Chapman & Britten, 1st Floor, 81 Horomatangi Street, Taupo
, New Zealand",,,,,,,,,,,,
218,155618,9429040262857,19 Sep 1960,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco155618,155618,,"C/o Mr I G Elder, 72 Main St, Gore
, New Zealand",,,,,,,,,,,,,
219,122571,9429031987851,26 Mar 1947,Removed,NZ Limited Company,No,Not specified,Showing 2 of 6 directors,httpsapp.companiesoffice.govt.nzco122571,122571,,"C/o Transpac Holdings Limited, 60 Lunns Road, Sockburn, Christchurch
, New Zealand","C/o Transpac Holdings Limited, 60 Lunns Road, Sockburn, Christchurch
, New Zealand",,,,,,,,,,,,
220,147880,9429040304311,10 Nov 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco147880,147880,,"C/o Pedofsky Ibbotson & Cooney, 69 Tarbert St, Alexandra
, New Zealand",,,,,,,,,,,,,
221,183783,9429040129853,23 Dec 1960,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco183783,183783,,"30 Kensington St, Putaruru
, New Zealand",,,,,,,,,,,,,
222,1369383,9429035838128,09 Sep 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1369383,1369383,,"18 Byron Avenue, Takapuna, North Shore City 0622
, New Zealand","18 Byron Avenue, Takapuna, North Shore City 0622
, New Zealand",,,,,,,,,,,,
223,6886,9429040958088,29 Aug 1950,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco6886,6886,,"C/- M C Sexton, Chartered Accountant, 41a Princess Street, Palmerston North
, New Zealand","C/- M C Sexton, Chartered Accountant, 41a Princess Street, Palmerston North
, New Zealand",,,,,,,,,,,,
224,15670,9429040918372,25 Oct 1963,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco15670,15670,,"Level 7, D B Tower, 111 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,,
225,4662362,9429030051638,20 Sep 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4662362,4662362,,"3/75 Melrose Road, Mount Roskill, Auckland, 1041
, New Zealand","3/75 Melrose Road, Mount Roskill, Auckland, 1041
, New Zealand",,,,,,,,,,,,
226,636329,9429038659799,15 Jun 1994,Removed,NZ Limited Company,No,Not specified,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco636329,636329,,"241a Kamo Road, Whangarei
, New Zealand","241a Kamo Road, Whangarei
, New Zealand",,,,,,,,,,,,
227,1447243,9429035665755,13 Nov 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1447243,1447243,,"82 Jellicoe Road, Manurewa, Auckland
, New Zealand","82 Jellico Road, Manurewa, Auckland
, New Zealand",,,,,,,,,,,,
228,43862,9429040745220,03 Nov 1936,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco43862,43862,,"47 Pohutukawa Road, Beachlands
, New Zealand","47 Pohutukawa Road, Beachlands
, New Zealand",,,,,,,,,,,,
229,3824,9429040966441,10 May 1939,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco3824,3824,,"15 Goodwin Avenue, Morrinsville, Morrinsville, 3300
, New Zealand","15 Goodwin Avenue, Morrinsville, Morrinsville, 3300
, New Zealand",,,,,,,,,,,,
230,1888710,9429033730554,04 Dec 2006,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1888710,1888710,,"53-55 Manchester Street, Feilding 4702
, New Zealand","53-55 Manchester Street, Feilding 4702
, New Zealand",,,,,,,,,,,,
231,872375,9429038014406,04 Sep 1997,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco872375,872375,,"8a Caulfield Place, Awapuni, Palmerston North, 4412
, New Zealand","8a Caulfield Place, Awapuni, Palmerston North, 4412
, New Zealand",,,,,,,,,,,,
232,4205,9429040965512,09 Oct 1942,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco4205,4205,,"11 Frederick St, Wellington
, New Zealand",,,,,,,,,,,,,
233,208898,9429039991775,28 Sep 1983,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco208898,208898,,"The Offices Of Jaggar-smith & Partners, Kowhai House, Warkworth Street, Warkworth
, New Zealand","The Offices Of Jaggar-smith & Partners, Kowhai House, Warkworth Street, Warkworth
, New Zealand",,,,,,,,,,,,
234,449113,9429039278999,18 Oct 1989,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco449113,449113,,"C/- G Elliot, 10 College Avenue, Christchurch
, New Zealand",,,,,,,,,,,,,
235,77130,9429040605166,25 Jul 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco77130,77130,,"Cnr Felix St & Mt Smart Rd, Te Papapa
, New Zealand",,,,,,,,,,,,,
236,960663,9429037579814,19 May 1999,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco960663,960663,,"Ramesh Kumar, 48 Orchard Road, Ngatea
, New Zealand","Ramesh Kumar, 48 Orchard Road, Ngatea
, New Zealand",,,,,,,,,,,,
237,1814514,9429034121153,10 May 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1814514,1814514,,"C/-sudburys Limited, 20 Commerce Street, Whangarei 0110
, New Zealand","C/-sudburys Limited, 20 Commerce Street, Whangarei 0110
, New Zealand",,,,,,,,,,,,
238,1114865,9429037012113,08 Feb 2001,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1114865,1114865,,"Lee & Holden Chartered Accountants Ltd, 3049 Great North Road, New Lynn, Auckland
, New Zealand","Lee & Holden Chartered Accountants Ltd, 3049 Great North Road, New Lynn, Auckland
, New Zealand",,,,,,,,,,,,
239,4471400,9429030194632,18 Jul 2013,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4471400,4471400,,"36 Collie Street, Manurewa, Auckland, 2102
, New Zealand","36 Collie Street, Manurewa, Auckland, 2102
, New Zealand",,,,,,,,,,,,
240,1704420,9429034509821,03 Oct 2005,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1704420,1704420,,"27 Sanctuary Point, Pakuranga, Auckland
, New Zealand","27 Sanctuary Point, Pakuranga, Auckland
, New Zealand",,,,,,,,,,,,
241,1325449,9429035943204,19 Jun 2003,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1325449,1325449,,"3 Hueglow Rise, West Harbour, Waitakere 0618
, New Zealand","3 Hueglow Rise, West Harbour, Waitakere 0618
, New Zealand",,,,,,,,,,,,
242,54045,9429040711881,07 Aug 1956,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco54045,54045,,"3103 Great North Road, Auckland
, New Zealand",,,,,,,,,,,,,
243,692018,9429038431371,25 Aug 1995,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco692018,692018,,"81 Walter Strevens Drive, Takanini
, New Zealand","81 Walter Strevens Drive, Takanini
, New Zealand",,,,,,,,,,,,
244,51521,9429040721491,30 Jul 1954,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco51521,51521,,"Nz Insurance Building, 507 Lake Rd, Takapuna
, New Zealand",,,,,,,,,,,,,
245,3953,9429040964942,17 Jan 1940,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco3953,3953,,"Level 1, 75 Queens Drive, Lower Hutt
, New Zealand","Level 1, 75 Queens Drive, Lower Hutt
, New Zealand",,,,,,,,,,,,
246,4772259,9429040992464,11 Nov 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4772259,4772259,,"Flat 4, 35a Greenmount Drive, East Tamaki, Auckland, 2013
, New Zealand","Flat 4, 35a Greenmount Drive, East Tamaki, Auckland, 2013
, New Zealand",,,,,,,,,,,,
247,1685570,9429034575871,31 Aug 2005,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1685570,1685570,,"36 Bennett Street, Paeroa, Paeroa, 3600
, New Zealand","36 Bennett Street, Paeroa, Paeroa, 3600
, New Zealand",,,,,,,,,,,,
248,1838151,9429034006764,06 Jul 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1838151,1838151,,"47 Whitmore Road, Mt Roskill, Auckland
, New Zealand","47 Whitmore Road, Mt Roskill, Auckland
, New Zealand",,,,,,,,,,,,
249,7039973,9429047032637,19 Sep 2018,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7039973,7039973,,"Timothy Montgomery, 170 Ohauiti Road, Hairini, Tauranga, 3112
, New Zealand","Timothy Montgomery, 170 Ohauiti Road, Hairini, Tauranga, 3112
, New Zealand",,,,,,,,,,,,
250,36793,9429040792422,01 Aug 1980,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco36793,36793,,"7th Floor, Ibm Centre, 155-161 The Terrace, Wellington
, New Zealand",,,,,,,,,,,,,
251,92391,9429040504407,03 Sep 1974,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco92391,92391,,"Westland Accountancy Ltd, 4 Tarapuhi Street, Greymouth
, New Zealand","Westland Accountancy Ltd, 4 Tarapuhi Street, Greymouth
, New Zealand",,,,,,,,,,,,
252,108834,9429032245592,08 Jul 1980,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco108834,108834,,"Level 8, Westpac Tower, 120 Albert St, Auckland
, New Zealand","Level 8, Westpac Tower, 120 Albert St, Auckland
, New Zealand",,,,,,,,,,,,
253,4005320,9429030517431,11 Sep 2012,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4005320,4005320,,"1195 Middle Road, Rd 11, Hastings, 4178
, New Zealand","1195 Middle Road, Rd 11, Hastings, 4178
, New Zealand",,,,,,,,,,,,
254,57299,9429040699394,11 Aug 1958,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco57299,57299,,"Markham & Partners, Mainline Building, 58 Symonds St, Auckland
, New Zealand",,,,,,,,,,,,,
255,58569,9429040693750,28 Aug 1959,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco58569,58569,,"C/o M/s Green & Batenburg, 11 Anzac St, Takapuna
, New Zealand",,,,,,,,,,,,,
256,128563,9429031928786,13 Jul 1965,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco128563,128563,,"Peat Marwick, Floor 15 Clarendon Tower, 78 Worcester Street, Christchurch
, New Zealand",,,,,,,,,,,,,
257,1857808,9429033910901,05 Sep 2006,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1857808,1857808,,"Lewthwaite & Associates Ltd, Unit 19, 150 Cavendish Road, Christchurch, 8051
, New Zealand","Lewthwaite & Associates Ltd, Unit 19, 150 Cavendish Road, Christchurch, 8051
, New Zealand",,,,,,,,,,,,
258,2299069,9429032046021,13 Aug 2009,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2299069,2299069,,"74 Francis Avenue, St Albans, Christchurch
, New Zealand","74 Francis Avenue, St Albans, Christchurch
, New Zealand",,,,,,,,,,,,
259,245,9429040977133,21 Dec 1978,Removed,Overseas NonASIC Company,No,,Showing 2 of 3 directors,httpsapp.companiesoffice.govt.nzco245,245,,,,,Australia,"M J Cunningham, 34 Church St, Devonport, Auckland 9
,",,,,,,,,,
260,68158,9429040653549,26 Mar 1965,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco68158,68158,,"2 Crummer Rd, Ponsonby
, New Zealand","2 Crummer Rd, Ponsonby
, New Zealand",,,,,,,,,,,,
261,1986557,9429033126807,18 Sep 2007,Removed,NZ Limited Company,Yes,DELOITTE LIMITED,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1986557,1986557,,"Deloitte, 80 Queen Street, Auckland Central, Auckland, 1010
, New Zealand","Deloitte, 80 Queen Street, Auckland Central, Auckland, 1010
, New Zealand",,,,,,,,,,,,
262,63407,9429040675244,07 Aug 1962,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco63407,63407,,"2a Kipling Ave Epsom, Auckland
, New Zealand",,,,,,,,,,,,,
263,5461109,9429041414125,16 Sep 2014,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco5461109,5461109,,"7/50, Sronedon Drive, East Tamaki, 2013
, New Zealand","7/50, Sronedon Drive, East Tamaki, 2013
, New Zealand",,,,,,,,,,,,
264,88700,9429040526546,14 Sep 1973,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco88700,88700,,"Third Floor Dilworth Bldgs, Customs St, Auckland
, New Zealand",,,,,,,,,,,,,
265,100270,9429040439617,11 Mar 1977,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco100270,100270,,"C/o Mcelroy Speakman & Co, Level 6, 2 Whitaker Place, Auckland
, New Zealand",,,,,,,,,,,,,
266,2126446,9429032764116,06 May 2008,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco2126446,2126446,,"Markhams Christchurch Limited, 116 Marshland Road, Shirley, Christchurch, 8061
, New Zealand","Markhams Christchurch Limited, 116 Marshland Road, Christchurch, 8061
, New Zealand",,,,,,,,,,,,
267,1941951,9429033399621,15 May 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1941951,1941951,,"8b Homersham Place, Burnside, Christchurch, 8053
, New Zealand","8b Homersham Place, Burnside, Christchurch, 8053
, New Zealand",,,,,,,,,,,,
268,1179865,9429036674664,20 Dec 2001,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1179865,1179865,,"M G Smart Ltd, T/a Smart Accounting, 238 Barrington Street, Christchurch
, New Zealand","M G Smart Ltd, T/a Smart Accounting, 238 Barrington Street, Christchurch
, New Zealand",,,,,,,,,,,,
269,14071,9429040925899,30 Nov 1961,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco14071,14071,,"J T L Pike Accountants, 294 Jackson Street, Petone, Lower Hutt, 5012
, New Zealand","J T L Pike Accountants, 294 Jackson Street, Petone, Lower Hutt, 5012
, New Zealand",,,,,,,,,,,,
270,90883,9429040514925,23 Apr 1974,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco90883,90883,,"1st Floor, 290 Queen St, Auckland 1
, New Zealand",,,,,,,,,,,,,
271,814790,9429038293498,18 Jun 1996,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco814790,814790,,"Patten Brumby, 627 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand","Patten Brumby, 627 Te Atatu Road, Te Atatu Peninsula, Auckland, 0610
, New Zealand",,,,,,,,,,,,
272,2261947,9429032200287,19 Jun 2009,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2261947,2261947,,"75 Barclay Road, Rd 21, Stratford, 4391
, New Zealand","75 Barclay Road, Rd 21, Stratford, 4391
, New Zealand",,,,,,,,,,,,
273,4626619,9429030076235,02 Sep 2013,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco4626619,4626619,,"Himanshu Jasvantray Trivedi, Flat 2, 28 Alfriston Road, Manurewa East, Auckland, 2102
, New Zealand","Himanshu Jasvantray Trivedi, Flat 2, 28 Alfriston Road, Manurewa East, Auckland, 2102
, New Zealand",,,,,,,,,,,,
274,435211,9429039319890,24 May 1989,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco435211,435211,,"172 Ellett Road, Karaka
, New Zealand","172 Ellet Road, Karaka
, New Zealand",,,,,,,,,,,,
275,5900577,9429042220039,21 Mar 2016,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco5900577,5900577,,"BBR LIMITED, 48 Broadway, Newmarket, Auckland, 1023
, New Zealand","BBR LIMITED, 48 Broadway, Newmarket, Auckland, 1023
, New Zealand",,,,,,,,,,,,
276,117959,9429032024678,15 Jul 1983,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco117959,117959,,"18 Fencible Drive, Howick, Auckland
, New Zealand",,,,,,,,,,,,,
277,82270,9429040572376,25 Aug 1971,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco82270,82270,,"C/o Mdh Fish, Hurstmer Hse, 128 Hurstmere Rd, Takapuna 9
, New Zealand",,,,,,,,,,,,,
278,184965,9429040126876,09 Apr 1962,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco184965,184965,,"Coopers & Lybrand, 143 Durham Street, Tauranga
, New Zealand","-
, New Zealand",,,,,,,,,,,,
279,1105354,9429037059378,12 Dec 2000,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1105354,1105354,,"W E Mallett, Chartered Accountant, 5 Hunt Street, Whangarei
, New Zealand","W E Mallett, Chartered Accountant, 5 Hunt Street, Whangarei
, New Zealand",,,,,,,,,,,,
280,699815,9429038405921,20 Oct 1995,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco699815,699815,,"Lower Ground Floor, 18 Turner Street, Auckland 1
, New Zealand","Lower Ground Floor, 18 Turner Street, Auckland 1
, New Zealand",,,,,,,,,,,,
281,1933908,9429033449814,17 Apr 2007,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1933908,1933908,,"18 Avonbrook Lane, Pukekohe, 2120
, New Zealand","18 Avonbrook Lane, Pukekohe, 2120
, New Zealand",,,,,,,,,,,,
282,1306817,9429035969815,23 May 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1306817,1306817,,"412 Lake Road, Takapuna, Auckland, 0622
, New Zealand","412 Lake Road, Takapuna, North Shore City, 0622
, New Zealand",,,,,,,,,,,,
283,1103044,9429037072506,28 Nov 2000,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1103044,1103044,,"1 Mount Albert Road, Mount Albert, Auckland, 1025
, New Zealand","1 Mount Albert Road, Mount Albert, Auckland, 1025
, New Zealand",,,,,,,,,,,,
284,192243,9429040091945,18 Apr 1972,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco192243,192243,,"Office Of Gary C Meek, Chartered Accountant, 460 Pollen Street, Thames
, New Zealand","-
, New Zealand",,,,,,,,,,,,
285,158359,9429040245348,24 Jun 1982,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco158359,158359,,"Mcintyre Dick & Partners, 160 Spey Street, Invercargill, 9810
, New Zealand","Mcintyre Dick & Partners, 160 Spey Street, Invercargill, 9810
, New Zealand",,,,,,,,,,,,
286,67306,9429040656977,05 Oct 1964,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco67306,67306,,"18 Toroa St, Torbay, Auckland 10
, New Zealand",,,,,,,,,,,,,
287,1695254,9429034540794,16 Sep 2005,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1695254,1695254,,"105 Trafalgar Street, Nelson
, New Zealand","105 Trafalgar Street, Nelson
, New Zealand",,,,,,,,,,,,
288,84033,9429040563626,15 Jul 1968,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco84033,84033,,"C/o Ross Melville Bridgman, 5th Floor Achilles House, 47 Custom St Box 881, Auckland
, New Zealand",,,,,,,,,,,,,
289,1278176,9429036115440,21 Mar 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1278176,1278176,,"Wilson Impact Ltd, 1301 Amohau Street, Rotorua, 3010
, New Zealand","Wilson Impact Ltd, 1301 Amohau Street, Rotorua, 3010
, New Zealand",,,,,,,,,,,,
290,424055,9429039355263,10 Feb 1989,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco424055,424055,,"C/- Gordon H. Clout,, 10 Tui Street,, Taupo.
, New Zealand","-
, New Zealand",,,,,,,,,,,,
291,162755,9429040223032,06 Nov 1968,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco162755,162755,,"Atkinson Shepherd Hensman Limited, Chartered Accountants, 107 Market Street South, Hastings
, New Zealand","Same As Registered Office
, New Zealand",,,,,,,,,,,,
292,609258,9429038775772,09 May 1994,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco609258,609258,,"329 Vinegar Hill Road, Kamo, Whangarei
, New Zealand","329 Vinegar Hill Road, Kamo, Whangarei
, New Zealand",,,,,,,,,,,,
293,1133235,9429036930210,19 Apr 2001,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1133235,1133235,,"21 Crosby Road, West Harbour, Auckland, 0618
, New Zealand","21 Crosby Road, West Harbour, Auckland, 0618
, New Zealand",,,,,,,,,,,,
294,1194839,9429036589968,20 Mar 2002,Removed,NZ Limited Company,Yes,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1194839,1194839,,"Borich & Associates Limited, Level 2, 60 Grafton Road, Grafton, Auckland
, New Zealand","Borich & Associates Limited, Level 2, 60 Grafton Road, Grafton, Auckland
, New Zealand",,,,,,,,,,,,
295,7389857,9429047401259,16 Apr 2019,Removed,NZ Limited Company,No,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco7389857,7389857,,"William Sturme, 376 Manawahe Road, Rd 4, Matata, 3194
, New Zealand","William Sturme, 376 Manawahe Road, Rd 4, Matata, 3194
, New Zealand",,,,,,,,,,,,
296,647765,9429038607707,01 May 1995,Removed,NZ Limited Company,No,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco647765,647765,,"57 Orr Crescent, Lower Hutt
, New Zealand","57 Orr Crescent, Lower Hutt
, New Zealand",,,,,,,,,,,,
297,2191325,9429032476699,28 Nov 2008,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco2191325,2191325,,"12 South Belt, Solway, Masterton, 5810
, New Zealand","12 South Belt, Solway, Masterton, 5810
, New Zealand",,,,,,,,,,,,
298,1945545,9429033377018,25 May 2007,Removed,NZ Limited Company,Yes,No,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco1945545,1945545,,"137b Oceanbeach Road, Mount Maunganui
, New Zealand","137b Oceanbeach Road, Mount Maunganui
, New Zealand",,,,,,,,,,,,
299,1874314,9429033817705,10 Oct 2006,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1874314,1874314,,"C/-porirua Chartered Accountants Ltd, 1st Floor, 22 Prosser Street, Porirua
, New Zealand","C/-porirua Chartered Accountants Ltd, 1st Floor, 22 Prosser Street, Porirua
, New Zealand",,,,,,,,,,,,
300,8994,9429040948768,30 Nov 1954,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco8994,8994,,"C/o M/s Chapman Ross & Co, Main Rd, Upper Hutt
, New Zealand",,,,,,,,,,,,,
301,7916,9429040951911,22 Dec 1952,Removed,NZ Limited Company,No,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7916,7916,,"C/o Ryan Thomas & Co, Tui St, Taihape
, New Zealand",,,,,,,,,,,,,
302,131435,9429031902342,07 Aug 1969,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco131435,131435,,"Co Pyne Gould & Co, Tancred St, Ashburton
, New Zealand",,,,,,,,,,,,,
303,44326,9429040744285,31 Aug 1938,Removed,NZ Limited Company,Yes,Not specified,Showing 1 of 1 directors,httpsapp.companiesoffice.govt.nzco44326,44326,,"C/- Slight Lala & Co, 15 Jack Conway Ave, Manukau City
, New Zealand","C/- Slight Lala & Company, 15 Jack Conway Avenue, Manukau City
, New Zealand",,,,,,,,,,,,
304,178552,9429040141749,13 Apr 1955,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco178552,178552,,"C/o Mcculloch Lally & Co, Bridge St, Tokoroa
, New Zealand",,,,,,,,,,,,,
305,1650238,9429034696927,17 Jun 2005,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1650238,1650238,,"Level 3, Burns House, 10 George Street, Dunedin, 9016
, New Zealand","Level 3, Burns House, 10 George Street, Dunedin, 9016
, New Zealand",,,,,,,,,,,,
306,7749396,9429047707139,29 Oct 2019,Removed,NZ Limited Company,No,No,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco7749396,7749396,,"2 Flemington Place, Nawton, Hamilton, 3200
, New Zealand","2 Flemington Place, Nawton, Hamilton, 3200
, New Zealand",,,,,,,,,,,,
307,1287821,9429036056385,31 Mar 2003,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco1287821,1287821,,"51a Sprott Road, Kohimarama, Auckland
, New Zealand","51a Sprott Road, Kohimarama, Auckland
, New Zealand",,,,,,,,,,,,
308,195669,9429040065823,02 Oct 1975,Removed,NZ Limited Company,No,Not specified,,httpsapp.companiesoffice.govt.nzco195669,195669,,"C/o Kunac Taylor & Co, Alexandra St, Hamilton
, New Zealand",,,,,,,,,,,,,
309,29110,9429040846712,06 Mar 1974,Removed,NZ Limited Company,Yes,Not specified,Showing 2 of 2 directors,httpsapp.companiesoffice.govt.nzco29110,29110,,"263 Wakefield Street, Wellington
, New Zealand","263 Wakefield Street, Wellington
, New Zealand",,,,,,,,,,,,
